CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G63755105,NIQ,NIQ GLOBAL INTELLIGENCE PLC,957394,957394,15.03M,15.03M,NEW,6.4%
531229748,LLYVA,LIBERTY MEDIA CORP DEL,368121,128000,34.71M,12.07M,+53.3%,14.8%
530307107,LBRDA,LIBERTY BROADBAND CORP,635155,0,40.22M,0,NO CHANGE,17.1%
090572207,BIO,BIO RAD LABS INC,92100,0,25.82M,0,NO CHANGE,11%
530307305,LBRDK,LIBERTY BROADBAND CORP,5540,0,352.01K,0,NO CHANGE,0.15%
G9503X111,WALDW,WALDENCAST PLC,333333,0,12.33K,0,NO CHANGE,<.01%
66987E206,NG,NOVAGOLD RES INC,0,-1307396,0,-5.35M,CLOSE,0%
531229722,LLYVK,LIBERTY MEDIA CORP DEL,1173090,-127800,113.75M,-12.39M,-9.8%,48.4%
047726302,BATRK,ATLANTA BRAVES HLDGS INC,120955,-600186,5.03M,-24.96M,-83.2%,2.1%
Total,,,,,234.94M,-15.6M,-6.3%,100%
