CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
84921RAB6,SPOT,SPOTIFY USA INC,19903000,14903000,27.63M,20.69M,+298.1%,0.56%
67066G104,NVDA,NVIDIA CORPORATION,1777136,91668,309.54M,15.97M,+5.4%,6.3%
594918104,MSFT,MICROSOFT CORP,541383,27707,274.31M,14.04M,+5.4%,5.6%
G6363K106,NETD,NABORS ENERGY TRANSITION COR,1235200,1235200,13.81M,13.81M,NEW,0.28%
03831W108,APP,APPLOVIN CORP,19717,19717,12.81M,12.81M,NEW,0.26%
023135106,AMZN,AMAZON COM INC,706853,53852,161.91M,12.33M,+8.2%,3.3%
G5304D106,KCHV,KOCHAV DEFENSE ACQUI CO,1139786,1139786,11.4M,11.4M,NEW,0.23%
037833100,AAPL,APPLE INC,1080876,48641,250.91M,11.29M,+4.7%,5.1%
704551AD2,BTU,PEABODY ENGR CORP,13982000,7832000,20.14M,11.28M,+127.3%,0.41%
G3933N116,GTERA,GLOBA TERRA ACQUISITION COR,884205,884205,8.78M,8.78M,NEW,0.18%
G5S86M100,LPAA,LAUNCH ONE ACQUISITION CORP,944988,731847,9.8M,7.59M,+343.4%,0.2%
90353TAJ9,UBER,UBER TECHNOLOGIES INC,6920000,5920000,8.6M,7.36M,+592%,0.17%
G6004G100,MACI,MELAR ACQUISITION CORP. I,891304,688050,9.32M,7.2M,+338.5%,0.19%
G6375X104,NMP,NMP ACQUISITION CORP,1018598,1018598,7.16M,7.16M,NEW,0.15%
770700102,HOOD,ROBINHOOD MKTS INC,56370,56370,7.03M,7.03M,NEW,0.14%
92939UAP1,WEC,WEC ENERGY GROUP INC,35834000,5942000,41.19M,6.83M,+19.9%,0.83%
G4375F108,HYAC,HAYMAKER ACQUISITION CORP IV,987401,569307,11.01M,6.35M,+136.2%,0.22%
G9717M109,WTG,WINTERGREEN ACQUISITION CORP,635500,635500,6.33M,6.33M,NEW,0.13%
30303M102,META,META PLATFORMS INC,157973,7921,116.69M,5.85M,+5.3%,2.4%
G4R12K123,GSRFU,GSR IV ACQUISITION CORP,555025,555025,5.6M,5.6M,NEW,0.11%
G1069P103,BSAA,BEST SPAC I ACQUISITION CORP,542000,542000,5.37M,5.37M,NEW,0.11%
G3106N109,EQV,EQV VENTURES ACQUISITION COR,591262,515871,6.11M,5.33M,+684.3%,0.12%
387328AF4,GVA,GRANITE CONSTR INC,3483000,3483000,5.25M,5.25M,NEW,0.11%
11135F101,AVGO,BROADCOM INC,342570,17615,101.88M,5.24M,+5.4%,2.1%
G82617104,SOCA,SOLARIUS CAPITAL ACQU CORP,592244,592244,5.01M,5.01M,NEW,0.1%
665531AJ8,NOG,NORTHERN OIL & GAS INC,5000000,5000000,5.01M,5.01M,NEW,0.1%
G4791J106,INAC,INDIGO ACQUISITION CORP,499001,499001,4.95M,4.95M,NEW,0.1%
594972AQ4,MSTR,STRATEGY INC,2500000,2500000,4.77M,4.77M,NEW,0.1%
02079K305,GOOGL,ALPHABET INC,423672,21445,90.2M,4.57M,+5.3%,1.8%
166764100,CVX,CHEVRON CORP NEW,140172,27924,22.51M,4.48M,+24.9%,0.46%
G6005T127,MKLYU,MCKINLEY ACQUISITION CORP,393874,393874,3.93M,3.93M,NEW,0.08%
G04819101,APAD,A PARADISE ACQUISITION CORP,465961,465961,3.86M,3.86M,NEW,0.08%
G2851K120,DMIIU,DRUGS MADE IN AMER ACQ II CO,379700,379700,3.79M,3.79M,NEW,0.08%
18915MAC1,NET,CLOUDFLARE INC,16000000,2997000,19.5M,3.65M,+23%,0.4%
88160R101,TSLA,TESLA INC,204381,10707,68.24M,3.57M,+5.5%,1.4%
G8559L104,603520,STARRY SEA ACQUISITION CORP,347871,347871,3.48M,3.48M,NEW,0.07%
595017BG8,MCHP,MICROCHIP TECHNOLOGY INC.,3550000,3550000,3.45M,3.45M,NEW,0.07%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,133557,6819,67.18M,3.43M,+5.4%,1.4%
477839AB0,JBTM,JBT MAREL CORPORATION,3353000,3353000,3.38M,3.38M,NEW,0.07%
02079K107,GOOG,ALPHABET INC,340118,15650,72.63M,3.34M,+4.8%,1.5%
G8192J102,SPEG,SILVER PEGASUS ACQUISITION C,421726,421726,3.32M,3.32M,NEW,0.07%
23804L103,DDOG,DATADOG INC,23545,23545,3.22M,3.22M,NEW,0.07%
852234103,XYZ,BLOCK INC,40027,40027,3.19M,3.19M,NEW,0.06%
G81354105,SBXD,SILVERBOX CORP IV,293259,293259,3.07M,3.07M,NEW,0.06%
465741AN6,ITRI,ITRON INC,2930000,2930000,3.05M,3.05M,NEW,0.06%
G7117W107,PACH,PIONEER ACQUISITION I CORP,301302,301302,2.99M,2.99M,NEW,0.06%
88162GAB9,TTEK,TETRA TECH INC NEW,2700000,2700000,2.98M,2.98M,NEW,0.06%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,165642,18631,26.21M,2.95M,+12.7%,0.53%
G67751100,ORIQ,ORIGIN INVT CORP I,321411,321411,2.86M,2.86M,NEW,0.06%
465741AQ9,ITRI,ITRON INC,2500000,2500000,2.8M,2.8M,NEW,0.06%
532457108,LLY,ELI LILLY & CO,57904,3539,42.43M,2.59M,+6.5%,0.86%
G63221124,MBVIU,M3-BRIGADE ACQUISITION VI CO,257725,257725,2.58M,2.58M,NEW,0.05%
46625H100,JPM,JPMORGAN CHASE & CO.,200274,8208,60.37M,2.47M,+4.3%,1.2%
57636Q104,MA,MASTERCARD INCORPORATED,60123,4057,35.78M,2.41M,+7.2%,0.73%
14020U100,CGCV,CAPITAL GROUP CONSERVATIVE E,80000,80000,2.41M,2.41M,NEW,0.05%
G1368E106,BLUW,BLUE WTR ACQUISITION CORP. I,268576,268576,2.36M,2.36M,NEW,0.05%
G87890102,TVAI,THAYER VENTURES ACQ CORP II,234926,234926,2.34M,2.34M,NEW,0.05%
060505104,BAC,BANK AMERICA CORP,496315,43443,25.21M,2.21M,+9.6%,0.51%
G21301109,CCIX,CHURCHILL CAPITAL CORP IX,208632,208632,2.19M,2.19M,NEW,0.04%
G2254C121,CCII,COHEN CIRCLE ACQUISIT CORP I,215071,215071,2.17M,2.17M,NEW,0.04%
G2296A109,BRR,COLUMBUS CIRCLE CAP CORP. I,231045,211045,2.33M,2.13M,+1055.2%,0.05%
682189AU9,ON,ON SEMICONDUCTOR CORP,3313000,2281000,3.08M,2.12M,+221%,0.06%
G6791A126,OTGAU,OTG ACQUISITION CORP. I,210464,210464,2.11M,2.11M,NEW,0.04%
G1000R101,AAM,AA MISSION ACQUISITION CORP,1262697,201314,13.16M,2.1M,+19%,0.27%
29084Q100,EME,EMCOR GROUP INC,3260,3260,2.06M,2.06M,NEW,0.04%
931142103,WMT,WALMART INC,319683,21085,31.02M,2.05M,+7.1%,0.63%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,32429,32429,2.02M,2.02M,NEW,0.04%
784730AB9,SSRM,SSR MINING IN,8500000,1500000,11.12M,1.96M,+21.4%,0.23%
92826C839,V,VISA INC,123721,5470,43.52M,1.92M,+4.6%,0.88%
68389X105,ORCL,ORACLE CORP,120700,8287,27.42M,1.88M,+7.4%,0.56%
64110L106,NFLX,NETFLIX INC,30949,1545,37.39M,1.87M,+5.3%,0.76%
G2847J104,DMAA,DRUGS MADE IN AMER ACQUTN CO,1100447,180660,11.29M,1.85M,+19.6%,0.23%
G7314B104,QSEA,QUARTZSEA ACQUISITION CORP,641777,184640,6.43M,1.85M,+40.4%,0.13%
