CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
718172109,PM,PHILIP MORRIS INTL INC,353330,262973,57.31M,42.65M,+291%,7%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,1635074,1635074,40.16M,40.16M,NEW,4.9%
023135106,AMZN,AMAZON COM INC,370066,106910,81.26M,23.47M,+40.6%,9.9%
303250104,FICO,FAIR ISAAC CORP,27343,9280,40.92M,13.89M,+51.4%,5%
03769M106,APO,APOLLO GLOBAL MGMT INC,408041,86937,54.38M,11.59M,+27.1%,6.7%
024061103,AXL,AMERICAN AXLE & MFG HLDGS IN,1430403,1430403,8.6M,8.6M,NEW,1.1%
92840M102,VST,VISTRA CORP,329190,20400,64.49M,4M,+6.6%,7.9%
369604301,GE,GE AEROSPACE,117800,13216,35.44M,3.98M,+12.6%,4.3%
30303M102,META,META PLATFORMS INC,39363,4413,28.91M,3.24M,+12.6%,3.5%
35909R108,ULCC,FRONTIER GROUP HLDGS INC,658192,658192,2.91M,2.91M,NEW,0.36%
70614W100,PTON,PELOTON INTERACTIVE INC,313201,313201,2.82M,2.82M,NEW,0.34%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,140025,6478,45.31M,2.1M,+4.9%,5.5%
21037T109,CEG,CONSTELLATION ENERGY CORP,73751,-6082,24.27M,-2M,-7.6%,3%
G3730V105,FTAI,FTAI AVIATION LTD,362169,-19044,60.43M,-3.18M,-5%,7.4%
G8068L108,SN,SHARKNINJA INC,396187,-43187,40.87M,-4.45M,-9.8%,5%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,240338,-20415,67.12M,-5.7M,-7.8%,8.2%
03831W108,APP,APPLOVIN CORP,54603,-12296,39.23M,-8.84M,-18.4%,4.8%
87422Q109,TLN,TALEN ENERGY CORP,161638,-25688,68.76M,-10.93M,-13.7%,8.4%
464287614,IWF,ISHARES TR,65961,-30027,30.9M,-14.06M,-31.3%,3.8%
042068205,ARM,ARM HOLDINGS PLC,0,-135144,0,-21.86M,CLOSE,0%
741623102,PRMB,PRIMO BRANDS CORPORATION,0,-740238,0,-21.93M,CLOSE,0%
88579Y101,MMM,3M CO,0,-145288,0,-22.12M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,0,-148345,0,-23.44M,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,586427,-821432,23.48M,-32.89M,-58.3%,2.9%
31620M106,FIS,FIDELITY NATL INFORMATION SV,0,-414224,0,-33.72M,CLOSE,0%
36162J106,GEO,GEO GROUP INC NEW,0,-1602862,0,-38.39M,CLOSE,0%
Total,,,,,817.55M,-84.11M,-10.6%,100%
