CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78468R663,BIL,SPDR SERIES TRUST,157545,91553,14.45M,8.4M,+138.7%,15.9%
697435105,PANW,PALO ALTO NETWORKS INC,15582,15582,3.17M,3.17M,NEW,3.5%
002121101,ATEN,A10 NETWORKS INC,153490,153490,2.79M,2.79M,NEW,3.1%
46222L108,IONQ,IONQ INC,22000,22000,1.35M,1.35M,NEW,1.5%
21900C308,CRMD,CORMEDIX INC,420551,111794,4.89M,1.3M,+36.2%,5.4%
369604301,GE,GE AEROSPACE,9565,4138,2.88M,1.24M,+76.2%,3.2%
032797300,AVXL,ANAVEX LIFE SCIENCES CORP,245221,128675,2.18M,1.15M,+110.4%,2.4%
30303M102,META,META PLATFORMS INC,11506,1384,8.45M,1.02M,+13.7%,9.3%
316092352,FBCG,FIDELITY COVINGTON TRUST,14675,14675,787.46K,787.46K,NEW,0.87%
023135106,AMZN,AMAZON COM INC,7709,2371,1.69M,520.6K,+44.4%,1.9%
64110L106,NFLX,NETFLIX INC,340,340,407.63K,407.63K,NEW,0.45%
67066G104,NVDA,NVIDIA CORPORATION,64996,1190,12.13M,222.03K,+1.9%,13.4%
78470P507,FISR,SSGA ACTIVE TR,7727,7727,201.33K,201.33K,NEW,0.22%
097023105,BA,BOEING CO,927,927,200.07K,200.07K,NEW,0.22%
45783Y442,ZALT,INNOVATOR ETFS TRUST,14985,5006,477.72K,159.59K,+50.2%,0.53%
45783Y178,IBUF,INNOVATOR ETFS TRUST,46965,5365,1.34M,152.85K,+12.9%,1.5%
78464A854,SPLG,SPDR SERIES TRUST,29411,1395,2.3M,109.28K,+5%,2.5%
097023905,BA,BOEING CO,484,484,97.77K,97.77K,NEW,0.11%
464287614,IWF,ISHARES TR,4224,175,1.98M,81.97K,+4.3%,2.2%
464288240,ACWX,ISHARES TR,9813,957,637.94K,62.21K,+10.8%,0.7%
78464A672,SPTI,SPDR SERIES TRUST,74507,1633,2.15M,47.19K,+2.2%,2.4%
464287226,AGG,ISHARES TR,17486,419,1.75M,42K,+2.5%,1.9%
464287481,IWP,ISHARES TR,5173,188,736.69K,26.77K,+3.8%,0.81%
713448108,PEP,PEPSICO INC,4412,0,619.62K,0,NO CHANGE,0.68%
539830109,LMT,LOCKHEED MARTIN CORP,1212,0,605.04K,0,NO CHANGE,0.67%
