CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
884903808,TRI,THOMSON REUTERS CORP,488245,488245,75.84M,75.84M,NEW,0.16%
34959E109,FTNT,FORTINET INC,1974442,776705,166.01M,65.31M,+64.8%,0.35%
343498101,FLO,FLOWERS FOODS INC,4295812,2499194,56.06M,32.61M,+139.1%,0.12%
115236101,BRO,BROWN & BROWN INC,1699669,293692,159.41M,27.55M,+20.9%,0.33%
209115104,ED,CONSOLIDATED EDISON INC,1749662,246178,175.88M,24.75M,+16.4%,0.37%
075887109,BDX,BECTON DICKINSON & CO,971263,127975,181.79M,23.95M,+15.2%,0.38%
770700102,HOOD,ROBINHOOD MKTS INC,155414,155414,22.25M,22.25M,NEW,0.05%
29530P102,ERIE,ERIE INDTY CO,461531,68230,146.84M,21.71M,+17.3%,0.31%
115637209,BF.B,BROWN FORMAN CORP,5409112,799222,146.48M,21.64M,+17.3%,0.31%
832696405,SJM,SMUCKER J M CO,1562259,188868,169.66M,20.51M,+13.8%,0.36%
579780206,MKC,MCCORMICK & CO INC,2389571,277257,159.89M,18.55M,+13.1%,0.33%
001055102,AFL,AFLAC INC,1731482,163791,193.41M,18.3M,+10.4%,0.4%
580135101,MCD,MCDONALDS CORP,787600,58895,239.34M,17.9M,+8.1%,0.5%
189054109,CLX,CLOROX CO DEL,1297016,136135,159.92M,16.79M,+11.7%,0.33%
194162103,CL,COLGATE PALMOLIVE CO,2047542,202379,163.68M,16.18M,+11%,0.34%
191216100,KO,COCA COLA CO,3170485,239678,210.27M,15.9M,+8.2%,0.44%
H1467J104,CB,CHUBB LIMITED,693910,55195,195.86M,15.58M,+8.6%,0.41%
171340102,CHD,CHURCH & DWIGHT CO INC,1767767,176037,154.91M,15.43M,+11.1%,0.32%
494368103,KMB,KIMBERLY-CLARK CORP,1373295,123369,170.76M,15.34M,+9.9%,0.36%
440452100,HRL,HORMEL FOODS CORP,5769398,581006,142.73M,14.37M,+11.2%,0.3%
002824100,ABT,ABBOTT LABS,1639013,106409,219.53M,14.25M,+6.9%,0.46%
337738108,FISV,FISERV INC,231938,102105,29.9M,13.16M,+78.6%,0.06%
049560105,ATO,ATMOS ENERGY CORP,1112097,70355,189.89M,12.01M,+6.8%,0.4%
742718109,PG,PROCTER AND GAMBLE CO,1547415,77098,237.76M,11.85M,+5.2%,0.5%
313745101,FRT,FEDERAL RLTY INVT TR NEW,1797002,96271,182.05M,9.75M,+5.7%,0.38%
756109104,O,REALTY INCOME CORP,3067894,155677,186.5M,9.46M,+5.3%,0.39%
345370860,F,FORD MTR CO,1573312,770482,18.82M,9.21M,+96%,0.04%
49177J102,KVUE,KENVUE INC,7766831,540182,126.06M,8.77M,+7.5%,0.26%
16359R103,CHE,CHEMED CORP NEW,75405,18901,33.76M,8.46M,+33.5%,0.07%
31428X106,FDX,FEDEX CORP,73872,35825,17.42M,8.45M,+94.2%,0.04%
780287108,RGLD,ROYAL GOLD INC,225400,41382,45.21M,8.3M,+22.5%,0.09%
852234103,XYZ,BLOCK INC,110830,110830,8.01M,8.01M,NEW,0.02%
303075105,FDS,FACTSET RESH SYS INC,409052,25509,117.19M,7.31M,+6.7%,0.25%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,116419,93555,8.01M,6.44M,+409.2%,0.02%
31620M106,FIS,FIDELITY NATL INFORMATION SV,211046,94836,13.92M,6.25M,+81.6%,0.03%
317585404,FISI,FINANCIAL INSTNS INC,459798,223478,12.51M,6.08M,+94.6%,0.03%
749607107,RLI,RLI CORP,515819,92381,33.64M,6.03M,+21.8%,0.07%
