CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
09261X102,BXSL,BLACKSTONE SECD LENDING FD,153101,71131,3.99M,1.85M,+86.8%,1.9%
00258Y104,ABX,ABACUS GLOBAL MGMT INC,607530,283406,3.48M,1.62M,+87.4%,1.7%
594918104,MSFT,MICROSOFT CORP,16227,2209,8.4M,1.14M,+15.8%,4%
67066G104,NVDA,NVIDIA CORPORATION,50244,5969,9.37M,1.11M,+13.5%,4.4%
25459W862,SPXL,DIREXION SHS ETF TR,3886,3886,823.41K,823.41K,NEW,0.39%
037833100,AAPL,APPLE INC,33283,3178,8.47M,809.21K,+10.6%,4%
06759X107,MCI,BARINGS CORPORATE INVS,36000,36000,747.36K,747.36K,NEW,0.35%
931142103,WMT,WALMART INC,15526,6116,1.6M,630.31K,+65%,0.76%
128125101,CSQ,CALAMOS STRATEGIC TOTAL RETU,32301,32301,623.09K,623.09K,NEW,0.3%
30303M102,META,META PLATFORMS INC,3826,837,2.81M,614.63K,+28%,1.3%
01989A704,ASCE,ALLSPRING EXCHANGE TRADED FU,22359,22359,589.83K,589.83K,NEW,0.28%
023135106,AMZN,AMAZON COM INC,19850,2649,4.36M,581.64K,+15.4%,2.1%
458140100,INTC,INTEL CORP,16956,16956,568.88K,568.88K,NEW,0.27%
88160R101,TSLA,TESLA INC,15716,1179,6.99M,524.31K,+8.1%,3.3%
06761A103,MPV,BARINGS PARTN INVS,26000,26000,523.9K,523.9K,NEW,0.25%
00724F101,ADBE,ADOBE INC,2884,1360,1.02M,479.79K,+89.2%,0.48%
31428X106,FDX,FEDEX CORP,1860,1860,438.54K,438.54K,NEW,0.21%
33739Q705,KNG,FIRST TR EXCHANGE-TRADED FD,8805,8805,434.19K,434.19K,NEW,0.21%
742718109,PG,PROCTER AND GAMBLE CO,4863,2703,747.17K,415.3K,+125.1%,0.35%
02079K305,GOOGL,ALPHABET INC,13403,1660,3.26M,403.53K,+14.1%,1.5%
37045V100,GM,GENERAL MTRS CO,6321,6321,385.38K,385.38K,NEW,0.18%
19247X100,RNP,COHEN & STEERS REIT & PFD &,17000,17000,382.16K,382.16K,NEW,0.18%
69331C108,PCG,PG&E CORP,24083,24083,363.17K,363.17K,NEW,0.17%
532457108,LLY,ELI LILLY & CO,1285,475,980.72K,362.52K,+58.6%,0.47%
92343E102,VRSN,VERISIGN INC,1288,1288,360.09K,360.09K,NEW,0.17%
651639106,NEM,NEWMONT CORP,4108,4108,346.35K,346.35K,NEW,0.16%
46131H107,VVR,INVESCO SR INCOME TR,100000,100000,346K,346K,NEW,0.16%
46625H100,JPM,JPMORGAN CHASE & CO.,7310,1076,2.31M,339.4K,+17.3%,1.1%
445658107,JBHT,HUNT J B TRANS SVCS INC,2527,2527,339.05K,339.05K,NEW,0.16%
98980L101,ZM,ZOOM COMMUNICATIONS INC,4078,4078,336.44K,336.44K,NEW,0.16%
922475108,VEEV,VEEVA SYS INC,1126,1126,335.45K,335.45K,NEW,0.16%
55087P104,LYFT,LYFT INC,15125,15125,332.9K,332.9K,NEW,0.16%
009066101,ABNB,AIRBNB INC,2735,2735,332.08K,332.08K,NEW,0.16%
58933Y105,MRK,MERCK & CO INC,10279,3945,862.68K,331.09K,+62.3%,0.41%
091941104,BGT,BLACKROCK FLOATING RATE INC,27000,27000,328.05K,328.05K,NEW,0.16%
G3223R108,EG,EVEREST GROUP LTD,931,931,326.1K,326.1K,NEW,0.15%
91324P102,UNH,UNITEDHEALTH GROUP INC,2144,944,740.19K,325.9K,+78.7%,0.35%
G87110105,FTI,TECHNIPFMC PLC,7976,7976,314.65K,314.65K,NEW,0.15%
369550108,GD,GENERAL DYNAMICS CORP,1747,915,595.63K,311.96K,+110%,0.28%
199908104,FIX,COMFORT SYS USA INC,373,373,307.79K,307.79K,NEW,0.15%
713448108,PEP,PEPSICO INC,3888,2183,546K,306.57K,+128%,0.26%
45337C102,INCY,INCYTE CORP,3597,3597,305.06K,305.06K,NEW,0.14%
60855R100,MOH,MOLINA HEALTHCARE INC,1586,1586,303.5K,303.5K,NEW,0.14%
G54950103,LIN,LINDE PLC,626,626,297.5K,297.5K,NEW,0.14%
H2906T109,GRMN,GARMIN LTD,1204,1204,296.41K,296.41K,NEW,0.14%
281020107,EIX,EDISON INTL,5177,5177,286.16K,286.16K,NEW,0.14%
67059N108,NTNX,NUTANIX INC,3787,3787,281.71K,281.71K,NEW,0.13%
58506Q109,MEDP,MEDPACE HLDGS INC,546,546,280.73K,280.73K,NEW,0.13%
67090S108,NCDL,NUVEEN CHURCHILL DIRECT LEND,20336,20336,280.64K,280.64K,NEW,0.13%
872540109,TJX,TJX COS INC NEW,1941,1941,280.57K,280.57K,NEW,0.13%
00090Q103,ADT,ADT INC DEL,31992,31992,278.65K,278.65K,NEW,0.13%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,609,609,277.7K,277.7K,NEW,0.13%
595112103,MU,MICRON TECHNOLOGY INC,5452,1645,912.24K,275.24K,+43.2%,0.43%
717081103,PFE,PFIZER INC,10798,10798,275.14K,275.14K,NEW,0.13%
30212P303,EXPE,EXPEDIA GROUP INC,2941,1273,628.71K,272.13K,+76.3%,0.3%
695156109,PKG,PACKAGING CORP AMER,1240,1240,270.32K,270.32K,NEW,0.13%
693475105,PNC,PNC FINL SVCS GROUP INC,2589,1341,520.21K,269.45K,+107.5%,0.25%
98980G102,ZS,ZSCALER INC,1597,892,478.41K,267.21K,+126.5%,0.23%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,2474,2474,266.72K,266.72K,NEW,0.13%
69047Q102,OVV,OVINTIV INC,6581,6581,265.74K,265.74K,NEW,0.13%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,94678,4079,6.15M,265.13K,+4.5%,2.9%
512807306,LRCX,LAM RESEARCH CORP,1978,1978,264.79K,264.79K,NEW,0.13%
