CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,40494,25576,20.97M,13.25M,+171.4%,2.2%
88160R101,TSLA,TESLA INC,1177647,2238,523.72M,995.28K,+0.2%,55.5%
389930207,BTC,GRAYSCALE BITCOIN MINI TR ET,674710,18771,34.16M,950.38K,+2.9%,3.6%
19260Q107,COIN,COINBASE GLOBAL INC,108755,2542,36.7M,857.9K,+2.4%,3.9%
09175A206,BMNR,BITMINE IMMERSION TECNOLOGIE,13546,13546,703.44K,703.44K,NEW,0.07%
166764100,CVX,CHEVRON CORP NEW,7944,3382,1.23M,525.19K,+74.1%,0.13%
25460G286,TSLL,DIREXION SHS ETF TR,1419078,21345,29.96M,450.59K,+1.5%,3.2%
38747R801,CONL,GRANITESHARES ETF TR,11402,11402,426.44K,426.44K,NEW,0.05%
92647N527,UITB,VICTORY PORTFOLIOS II,107713,8463,5.12M,402.16K,+8.5%,0.54%
38964R203,ETH,GRAYSCALE ETHEREUM MINI TR E,777720,8203,30.47M,321.39K,+1.1%,3.2%
458140100,INTC,INTEL CORP,8036,8036,269.62K,269.62K,NEW,0.03%
595112103,MU,MICRON TECHNOLOGY INC,1488,1488,248.93K,248.93K,NEW,0.03%
023135106,AMZN,AMAZON COM INC,37695,1088,8.28M,238.89K,+3%,0.88%
00214Q302,ARKG,ARK ETF TR,8044,8044,223.38K,223.38K,NEW,0.02%
032108664,HACK,AMPLIFY ETF TR,2570,2570,223.08K,223.08K,NEW,0.02%
770700102,HOOD,ROBINHOOD MKTS INC,1558,1558,223.07K,223.07K,NEW,0.02%
65339F101,NEE,NEXTERA ENERGY INC,2853,2853,215.37K,215.37K,NEW,0.02%
33740F722,FJUN,FIRST TR EXCHNG TRADED FD VI,3630,3630,203.1K,203.1K,NEW,0.02%
78464A870,XBI,SPDR SERIES TRUST,2003,2003,200.66K,200.66K,NEW,0.02%
921937835,BND,VANGUARD BD INDEX FDS,15012,1854,1.12M,137.88K,+14.1%,0.12%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,26651,2051,1.52M,117.11K,+8.3%,0.16%
33939L845,QDEF,FLEXSHARES TR,68624,994,5.49M,79.5K,+1.5%,0.58%
381430529,GBIL,GOLDMAN SACHS ETF TR,37943,780,3.8M,78.18K,+2.1%,0.4%
67066G104,NVDA,NVIDIA CORPORATION,222764,406,41.56M,75.75K,+0.2%,4.4%
29287L205,PWRD,TCW ETF TRUST,16025,708,1.57M,69.17K,+4.6%,0.17%
97717X578,XSOE,WISDOMTREE TR,239415,1751,9.08M,66.43K,+0.7%,0.96%
922908637,VV,VANGUARD INDEX FDS,3454,192,1.06M,59.1K,+5.9%,0.11%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,50924,1005,2.93M,57.81K,+2%,0.31%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,35066,212,7.57M,45.75K,+0.6%,0.8%
47103U845,JAAA,JANUS DETROIT STR TR,23920,800,1.21M,40.62K,+3.5%,0.13%
92203J407,BNDX,VANGUARD CHARLOTTE FDS,11104,748,549.2K,37K,+7.2%,0.06%
921937827,BSV,VANGUARD BD INDEX FDS,7254,402,572.4K,31.72K,+5.9%,0.06%
