CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
722304102,PDD,PDD HOLDINGS INC,2544478,910150,336.3M,120.29M,+55.7%,39.3%
88557W101,QFIN,QIFU TECHNOLOGY INC,1083980,977849,31.2M,28.14M,+921.4%,3.6%
36165L108,GDS,GDS HLDGS LTD,2407953,630339,93.19M,24.39M,+35.5%,10.9%
01609W102,BABA,ALIBABA GROUP HLDG LTD,162241,94600,29M,16.91M,+139.9%,3.4%
00108J109,ACMR,ACM RESH INC,2003225,413000,78.39M,16.16M,+26%,9.1%
89677Q107,TCOM,TRIP COM GROUP LTD,268100,122100,20.16M,9.18M,+83.6%,2.4%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,665269,237466,25.01M,8.93M,+55.5%,2.9%
46267X108,IQ,IQIYI INC,11802100,3477300,30.21M,8.9M,+41.8%,3.5%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,1009219,522800,13.09M,6.78M,+107.5%,1.5%
482497104,BEKE,KE HLDGS INC,2015307,149000,38.29M,2.83M,+8%,4.5%
44332N106,HTHT,H WORLD GROUP LTD,344135,54100,13.46M,2.12M,+18.7%,1.6%
52490G102,LEGN,LEGEND BIOTECH CORP,161800,54300,5.28M,1.77M,+50.5%,0.62%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,367374,14400,19.5M,764.21K,+4.1%,2.3%
90114C107,TUYA,TUYA INC,129522,129522,319.92K,319.92K,NEW,0.04%
90138A103,VNET,VNET GROUP INC,11947969,-277335,123.42M,-2.86M,-2.3%,14.4%
056752108,BIDU,BAIDU INC,0,-470623,0,-40.36M,CLOSE,0%
Total,,,,,856.81M,204.27M,+39.9%,100%
