CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
21873S108,CRWV,COREWEAVE INC,2007382,2007382,274.71M,274.71M,NEW,9.2%
26884L109,EQT,EQT CORP,2346705,1894224,127.73M,103.1M,+418.6%,4.3%
11135F101,AVGO,BROADCOM INC,219909,219890,72.55M,72.54M,+1157315.8%,2.4%
17253J106,CIFR,CIPHER MINING INC,2874151,2874151,36.19M,36.19M,NEW,1.2%
199908104,FIX,COMFORT SYS USA INC,37015,37015,30.54M,30.54M,NEW,1%
629377508,NRG,NRG ENERGY INC,540820,183864,87.59M,29.78M,+51.5%,2.9%
833445109,SNOW,SNOWFLAKE INC,124914,124914,28.17M,28.17M,NEW,0.95%
15101Q207,CLS,CELESTICA INC,1284149,92828,316.39M,22.87M,+7.8%,10.6%
37637K108,GTLB,GITLAB INC,491965,491965,22.18M,22.18M,NEW,0.75%
19247G107,COHR,COHERENT CORP,415351,182833,44.74M,19.69M,+78.6%,1.5%
44812J104,HUT,HUT 8 CORP,1481712,554672,51.58M,19.31M,+59.8%,1.7%
Q4982L109,IREN,IREN LIMITED,3621974,355826,169.98M,16.7M,+10.9%,5.7%
000360206,AAON,AAON INC,491586,157088,45.93M,14.68M,+47%,1.5%
29084Q100,EME,EMCOR GROUP INC,18633,18633,12.1M,12.1M,NEW,0.41%
88080T104,WULF,TERAWULF INC,855995,855995,9.78M,9.78M,NEW,0.33%
04010E109,AGX,ARGAN INC,145103,34541,39.19M,9.33M,+31.2%,1.3%
038222105,AMAT,APPLIED MATLS INC,152521,41757,31.23M,8.55M,+37.7%,1%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,1316500,483991,22.5M,8.27M,+58.1%,0.76%
093712107,BE,BLOOM ENERGY CORP,2138170,93753,180.83M,7.93M,+4.6%,6.1%
52476L109,LGN,LEGENCE CORP,195010,195010,6.01M,6.01M,NEW,0.2%
40609P105,HNRG,HALLADOR ENERGY COMPANY,320759,292577,6.28M,5.73M,+1038.2%,0.21%
05603J108,BKV,BKV CORP,170652,170652,3.95M,3.95M,NEW,0.13%
023135106,AMZN,AMAZON COM INC,4922,4833,1.08M,1.06M,+5430.3%,0.04%
87288V101,TSSI,TSS INC DEL,404190,51041,7.32M,924.35K,+14.5%,0.25%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,680,176,189.92K,49.15K,+34.9%,<.01%
02079K107,GOOG,ALPHABET INC,4785,0,1.17M,0,NO CHANGE,0.04%
594918104,MSFT,MICROSOFT CORP,374,-92,193.71K,-47.65K,-19.7%,<.01%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-623,0,-88.4K,CLOSE,0%
482480100,KLAC,KLA CORP,19786,-3725,21.34M,-4.02M,-15.8%,0.72%
67066G104,NVDA,NVIDIA CORPORATION,97259,-34171,18.15M,-6.38M,-26%,0.61%
89346D107,TAC,TRANSALTA CORP,0,-633587,0,-6.84M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,11502,-60191,2.8M,-14.63M,-84%,0.09%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-1349657,0,-23.04M,CLOSE,0%
512807306,LRCX,LAM RESEARCH CORP,285406,-196924,38.22M,-26.37M,-40.8%,1.3%
767292105,RIOT,RIOT PLATFORMS INC,3373928,-1767293,64.21M,-33.63M,-34.4%,2.2%
21037T109,CEG,CONSTELLATION ENERGY CORP,578614,-136149,190.4M,-44.8M,-19%,6.4%
G3323L100,FN,FABRINET,68217,-125364,24.87M,-45.71M,-64.8%,0.84%
87422Q109,TLN,TALEN ENERGY CORP,256638,-119790,109.17M,-50.96M,-31.8%,3.7%
92537N108,VRT,VERTIV HOLDINGS CO,1404721,-349000,211.92M,-52.65M,-19.9%,7.1%
04626A103,ALAB,ASTERA LABS INC,902810,-278221,176.77M,-54.48M,-23.6%,5.9%
92840M102,VST,VISTRA CORP,979063,-389275,191.82M,-76.27M,-28.4%,6.4%
N97284108,NBIS,NEBIUS GROUP N.V.,1202695,-1025429,135.03M,-115.12M,-46%,4.5%
595112103,MU,MICRON TECHNOLOGY INC,799839,-1087839,133.83M,-182.02M,-57.6%,4.5%
36828A101,GEV,GE VERNOVA INC,41740,-342929,25.67M,-210.87M,-89.1%,0.86%
Total,,,,,2.97B,-183.77M,-8.2%,100%
