CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
36828A101,GEV,GE VERNOVA INC,32537,30172,20.01M,18.55M,+1275.8%,3.9%
80004C200,SNDK,SANDISK CORP,101782,101782,11.42M,11.42M,NEW,2.2%
770700102,HOOD,ROBINHOOD MKTS INC,77341,77341,11.07M,11.07M,NEW,2.1%
83406F102,SOFI,SOFI TECHNOLOGIES INC,179605,179605,4.75M,4.75M,NEW,0.91%
30303M102,META,META PLATFORMS INC,25694,5858,18.87M,4.3M,+29.5%,3.6%
15118V207,CELH,CELSIUS HLDGS INC,36000,36000,2.07M,2.07M,NEW,0.4%
040413205,ANET,ARISTA NETWORKS INC,10699,10699,1.56M,1.56M,NEW,0.3%
21873S108,CRWV,COREWEAVE INC,53939,8335,7.38M,1.14M,+18.3%,1.4%
60937P106,MDB,MONGODB INC,1765,1765,547.82K,547.82K,NEW,0.11%
03831W108,APP,APPLOVIN CORP,761,761,546.81K,546.81K,NEW,0.11%
833445109,SNOW,SNOWFLAKE INC,1900,1900,428.55K,428.55K,NEW,0.08%
829392703,SINT,SINTX TECHNOLOGIES INC,94928,94928,388.26K,388.26K,NEW,0.07%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,1110,1110,262.03K,262.03K,NEW,0.05%
922908363,VOO,VANGUARD INDEX FDS,3484,190,2.13M,116.34K,+5.8%,0.41%
037833100,AAPL,APPLE INC,15772,187,4.02M,47.62K,+1.2%,0.77%
78462F103,SPY,SPDR S&P 500 ETF TR,4962,38,3.31M,25.31K,+0.8%,0.64%
74348A467,NOBL,PROSHARES TR,9032,97,930.91K,10K,+1.1%,0.18%
46138E354,SPLV,INVESCO EXCH TRADED FD TR II,14226,75,1.05M,5.51K,+0.5%,0.2%
33738D309,FTSL,FIRST TR EXCHANGE-TRADED FD,9429,106,432.22K,4.86K,+1.1%,0.08%
33734H106,FVD,FIRST TR EXCHANGE-TRADED FD,18195,100,841.32K,4.62K,+0.6%,0.16%
316188101,FCOR,FIDELITY MERRIMACK STR TR,12054,78,578.57K,3.74K,+0.7%,0.11%
316188606,FIGB,FIDELITY MERRIMACK STR TR,13299,81,578.5K,3.52K,+0.6%,0.11%
00162Q858,SDOG,ALPS ETF TR,6245,58,376.16K,3.49K,+0.9%,0.07%
30231G102,XOM,EXXON MOBIL CORP,2735,24,308.35K,2.71K,+0.9%,0.06%
