CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,8710295,2355235,2.11B,571.5M,+37.1%,2.1%
833445AD1,SNOW,SNOWFLAKE INC,249920000,249920000,391.72M,391.72M,NEW,0.39%
437076102,HD,HOME DEPOT INC,1444128,763739,585.15M,309.46M,+112.3%,0.58%
03831W108,APP,APPLOVIN CORP,496560,348548,356.8M,250.45M,+235.5%,0.36%
219350105,GLW,CORNING INC,3169741,2795948,260.01M,229.35M,+748%,0.26%
149123101,CAT,CATERPILLAR INC,1777589,478972,848.18M,228.54M,+36.9%,0.85%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,691071,622934,242.75M,218.81M,+914.2%,0.24%
620076307,MSI,MOTOROLA SOLUTIONS INC,841463,452822,384.79M,207.07M,+116.5%,0.38%
512807306,LRCX,LAM RESEARCH CORP,4445681,1460622,594.62M,195.36M,+48.9%,0.59%
G29183103,ETN,EATON CORP PLC,1032834,498301,386.54M,186.49M,+93.2%,0.39%
60937P106,MDB,MONGODB INC,716779,597937,222.47M,185.59M,+503.1%,0.22%
008073AA6,AVAV,AEROVIRONMENT INC,122205000,122205000,151.72M,151.72M,NEW,0.15%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,3529636,1261049,379.88M,135.72M,+55.6%,0.38%
040413205,ANET,ARISTA NETWORKS INC,3778322,868152,550.54M,126.5M,+29.8%,0.55%
609839105,MPWR,MONOLITHIC PWR SYS INC,359312,131177,330.8M,120.77M,+57.5%,0.33%
256746108,DLTR,DOLLAR TREE INC,2406748,1222028,226.73M,115.12M,+103.1%,0.23%
35671D857,FCX,FREEPORT-MCMORAN INC,3844504,2856302,150.78M,112.02M,+289%,0.15%
21873S108,CRWV,COREWEAVE INC,807904,807904,110.56M,110.56M,NEW,0.11%
683344105,ONTO,ONTO INNOVATION INC,868607,849702,111.97M,109.54M,+4494.6%,0.11%
969904101,WSM,WILLIAMS SONOMA INC,861236,558311,167.93M,108.86M,+184.3%,0.17%
98419M100,XYL,XYLEM INC,868755,733860,128.14M,108.24M,+544%,0.13%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,1439664,410097,371.56M,105.84M,+39.8%,0.37%
00287Y109,ABBV,ABBVIE INC,2455380,449794,568.18M,104.08M,+22.4%,0.57%
037833100,AAPL,APPLE INC,15073446,407116,3.84B,103.59M,+2.8%,3.8%
26622P107,DOCS,DOXIMITY INC,1567668,1415882,114.27M,103.2M,+932.8%,0.11%
14149Y108,CAH,CARDINAL HEALTH INC,821723,615398,128.98M,96.59M,+298.3%,0.13%
97717Y469,UNIY,WISDOMTREE TR,28195932,1853124,1.39B,91.17M,+7%,1.4%
773903109,ROK,ROCKWELL AUTOMATION INC,514469,250319,179.82M,87.49M,+94.8%,0.18%
472145AH4,JAZZ,JAZZ INVESTMENTS I LTD,72360000,72360000,86.04M,86.04M,NEW,0.09%
04621X108,AIZ,ASSURANT INC,452293,394694,97.85M,85.39M,+685.2%,0.1%
87165B103,SYF,SYNCHRONY FINANCIAL,1803690,1080389,127.84M,76.58M,+149.4%,0.13%
21037T109,CEG,CONSTELLATION ENERGY CORP,1344567,232267,442.13M,76.38M,+20.9%,0.44%
92537N108,VRT,VERTIV HOLDINGS CO,1153998,494534,174.09M,74.61M,+75%,0.17%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,373356,162311,170.25M,74.01M,+76.9%,0.17%
65339KCY4,NEEPRI,NEXTERA ENERGY CAP HLDGS INC,101420000,62240000,120.03M,73.66M,+158.9%,0.12%
90138F102,TWLO,TWILIO INC,755015,666448,75.57M,66.7M,+752.5%,0.08%
594918104,MSFT,MICROSOFT CORP,10502622,128077,5.44B,66.29M,+1.2%,5.4%
92826C839,V,VISA INC,1802121,189690,613.42M,64.57M,+11.8%,0.61%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,243278,131756,118M,63.9M,+118.1%,0.12%
75734B100,RDDT,REDDIT INC,503751,270075,115.86M,62.11M,+115.6%,0.12%
30212PBE4,EXPE,EXPEDIA GROUP INC,308990000,60000000,311.93M,60.57M,+24.1%,0.31%
046353108,AZN,ASTRAZENECA PLC,1899502,770417,145.73M,59.11M,+68.2%,0.15%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,3361581,911731,215.88M,58.55M,+37.2%,0.22%
032654105,ADI,ANALOG DEVICES INC,1293403,236211,317.79M,58.04M,+22.3%,0.32%
458140100,INTC,INTEL CORP,3206882,1724270,107.47M,57.78M,+116.3%,0.11%
09260D107,BX,BLACKSTONE INC,511237,329203,87.34M,56.24M,+180.8%,0.09%
70202LAD4,PSN,PARSONS CORP DEL,181490000,48990000,207.35M,55.97M,+37%,0.21%
872540109,TJX,TJX COS INC NEW,1903822,378799,275.18M,54.75M,+24.8%,0.27%
143658300,CCL,CARNIVAL CORP,2246348,1843770,64.94M,53.3M,+458%,0.06%
22160N109,CSGP,COSTAR GROUP INC,1846286,614515,155.77M,51.85M,+49.9%,0.16%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,1160496,103200,568.68M,50.57M,+9.8%,0.57%
90353T100,UBER,UBER TECHNOLOGIES INC,1561762,505902,152.44M,49.38M,+47.9%,0.15%
58155Q103,MCK,MCKESSON CORP,598880,63621,462.13M,49.09M,+11.9%,0.46%
