CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
19260Q107,COIN,COINBASE GLOBAL INC,92916,87016,31.36M,29.37M,+1474.8%,8%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,485286,485286,17.65M,17.65M,NEW,4.5%
G98239109,XP,XP INC,654000,654000,12.29M,12.29M,NEW,3.1%
G4R20B107,INTR,INTER & CO INC,981400,981400,9.06M,9.06M,NEW,2.3%
384747101,GRAL,GRAIL INC,63000,42000,3.73M,2.48M,+200%,0.95%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,25030,12000,4.57M,2.19M,+92.1%,1.2%
465562106,ITUB,ITAU UNIBANCO HLDG S A,958500,266000,7.04M,1.95M,+38.4%,1.8%
458140100,INTC,INTEL CORP,32952,32952,1.11M,1.11M,NEW,0.28%
90353T100,UBER,UBER TECHNOLOGIES INC,238188,10600,23.34M,1.04M,+4.7%,5.9%
278768106,SATS,ECHOSTAR CORP,5200,5200,397.07K,397.07K,NEW,0.1%
88160R101,TSLA,TESLA INC,277430,0,123.38M,0,NO CHANGE,31.4%
30303M102,META,META PLATFORMS INC-CLASS A,63580,0,46.69M,0,NO CHANGE,11.9%
722304102,PDD,PDD HOLDINGS INC,157968,0,20.88M,0,NO CHANGE,5.3%
67066G104,NVDA,NVIDIA CORP,111000,0,20.71M,0,NO CHANGE,5.3%
89677Q107,TCOM,TRIP.COM GROUP LTD-ADR,258550,0,19.44M,0,NO CHANGE,4.9%
92835K103,VPG,VISHAY PRECISION GROUP INC,35916,-3637,1.15M,-116.57K,-9.2%,0.29%
013872106,AA,ALCOA CORP,0,-23600,0,-696.44K,CLOSE,0%
18915M107,NET,CLOUDFLARE INC,227749,-9500,48.87M,-2.04M,-4%,12.4%
553368101,MP,MP MATERIALS CORP,20925,-50775,1.4M,-3.41M,-70.8%,0.36%
783549108,R,RYDER SYSTEM INC,0,-35100,0,-5.58M,CLOSE,0%
701094104,PH,PARKER HANNIFIN CORP,0,-8290,0,-5.79M,CLOSE,0%
438516106,HON,HONEYWELL INTERNATIONAL INC,0,-28800,0,-6.71M,CLOSE,0%
773903109,ROK,ROCKWELL AUTOMATION INC,0,-51500,0,-17.11M,CLOSE,0%
Total,,,,,393.05M,36.09M,+12%,100%
