CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
27923Q109,ECVT,ECOVYST INC,2050000,2050000,19.95M,19.95M,NEW,8.1%
483007704,KALU,KAISER ALUMINUM CORP,168000,168000,19.3M,19.3M,NEW,7.8%
023939101,AMTM,AMENTUM HOLDINGS INC,1392000,192000,40.37M,5.57M,+16%,16.3%
F21107101,CSTM,CONSTELLIUM SE,1842000,217000,34.72M,4.09M,+13.4%,14%
92552V100,VSAT,VIASAT INC,2094000,58000,72.16M,2M,+2.8%,29.2%
235825205,DAN,DANA INC,1146000,66000,27.23M,1.57M,+6.1%,11%
343412102,FLR,FLUOR CORP NEW,559000,15000,22.15M,594.45K,+2.8%,9%
G9059U107,TSEOF,TRINSEO PLC,0,-1060000,0,-2.49M,CLOSE,0%
55939A107,MAGN,MAGNERA CORP,0,-560000,0,-6.56M,CLOSE,0%
415864107,NVRI,ENVIRI CORP,0,-1400000,0,-17.77M,CLOSE,0%
29415C101,EOSE,EOS ENERGY ENTERPRISES INC,0,-1754000,0,-19.98M,CLOSE,0%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,250000,-753000,11.49M,-34.62M,-75.1%,4.6%
Total,,,,,247.37M,-28.35M,-11.6%,100%
