CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02072L565,BOXX,EA SERIES TRUST,96076,87576,11.06M,10.08M,+1030.3%,1.4%
02079K107,GOOG,ALPHABET INC,37102,30002,11.64M,9.41M,+422.6%,1.5%
02072Q481,CTIF,EA SERIES TRUST,2944135,174166,149.03M,8.82M,+6.3%,18.8%
023135106,AMZN,AMAZON COM INC,35809,35809,8.27M,8.27M,NEW,1%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,39016,39016,7.47M,7.47M,NEW,0.94%
78462F103,SPY,SPDR S&P 500 ETF TR,10909,10909,7.44M,7.44M,NEW,0.94%
594918104,MSFT,MICROSOFT CORP,17119,13919,8.28M,6.73M,+435%,1%
58155Q103,MCK,MCKESSON CORP,8130,8130,6.67M,6.67M,NEW,0.84%
037833100,AAPL,APPLE INC,24502,22860,6.66M,6.21M,+1392.2%,0.84%
67066G104,NVDA,NVIDIA CORPORATION,31477,31477,5.87M,5.87M,NEW,0.74%
922908751,VB,VANGUARD INDEX FDS,19118,19118,4.93M,4.93M,NEW,0.62%
30231G102,XOM,EXXON MOBIL CORP,62973,35749,7.58M,4.3M,+131.3%,0.96%
46429B697,USMV,ISHARES TR,41342,41342,3.89M,3.89M,NEW,0.49%
025816109,AXP,AMERICAN EXPRESS CO,9237,9237,3.42M,3.42M,NEW,0.43%
81369Y506,XLE,SELECT SECTOR SPDR TR,144446,75792,6.46M,3.39M,+110.4%,0.81%
30303M102,META,META PLATFORMS INC,6065,5065,4M,3.34M,+506.5%,0.51%
92826C839,V,VISA INC,9321,9321,3.27M,3.27M,NEW,0.41%
149123101,CAT,CATERPILLAR INC,5364,5364,3.07M,3.07M,NEW,0.39%
084670702,BRKB,BERKSHIRE HATHAWAY INC DEL,6073,6073,3.05M,3.05M,NEW,0.39%
464287663,IUSV,ISHARES TR,29740,29740,3.05M,3.05M,NEW,0.38%
697435105,PANW,PALO ALTO NETWORKS INC,15704,15704,2.89M,2.89M,NEW,0.36%
G8994E103,TT,TRANE TECHNOLOGIES PLC,7401,7401,2.88M,2.88M,NEW,0.36%
931142103,WMT,WALMART INC,25011,25011,2.79M,2.79M,NEW,0.35%
69420N742,OCTP,PGIM ROCK ETF TR,84120,84120,2.55M,2.55M,NEW,0.32%
90353T100,UBER,UBER TECHNOLOGIES INC,30174,30174,2.47M,2.47M,NEW,0.31%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,3637,3637,2.11M,2.11M,NEW,0.27%
46429B598,INDA,ISHARES TR,34884,34884,1.89M,1.89M,NEW,0.24%
437076102,HD,HOME DEPOT INC,5232,5232,1.8M,1.8M,NEW,0.23%
