CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N07059210,ASML,ASML Holding NV,13927,-3444,14.9M,-3.68M,-19.8%,2.5%
902252105,TYL,Tyler Technologies Inc,42787,-10802,19.42M,-4.9M,-20.2%,3.2%
127387108,CDNS,Cadence Design Systems Inc,99787,-25030,31.19M,-7.82M,-20.1%,5.2%
037833100,AAPL,Apple Inc,118747,-29550,32.28M,-8.03M,-19.9%,5.3%
893641100,TDG,TransDigm Group Inc,26713,-6631,35.52M,-8.82M,-19.9%,5.9%
931142103,WMT,Walmart Inc,324672,-80077,36.17M,-8.92M,-19.8%,6%
30303M102,META,Meta Platforms Inc,55489,-13987,36.63M,-9.23M,-20.1%,6.1%
11135F101,AVGO,Broadcom Inc,115766,-29088,40.07M,-10.07M,-20.1%,6.6%
57636Q104,MA,Mastercard Inc,74840,-18678,42.72M,-10.66M,-20%,7.1%
78409V104,SPGI,S&P Global Inc,84608,-21005,44.22M,-10.98M,-19.9%,7.3%
303250104,FICO,Fair Isaac Corp,31276,-7654,52.88M,-12.94M,-19.7%,8.7%
169656105,CMG,Chipotle Mexican Grill Inc,0,-360720,0,-14.14M,CLOSE,0%
67066G104,NVDA,NVIDIA Corp,324404,-81614,60.5M,-15.22M,-20.1%,10%
594918104,MSFT,Microsoft Corp,158203,-39596,76.51M,-19.15M,-20%,12.7%
023135106,AMZN,Amazon.com Inc,353739,-88484,81.65M,-20.42M,-20%,13.5%
Total,,,,,604.66M,-165M,-21.6%,100%
