CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
878742204,TECK,TECK RESOURCES LTD,10298293,2477344,493.19M,118.64M,+31.7%,15.2%
023135106,AMZN,AMAZON COM INC,351000,225000,81.02M,51.93M,+178.6%,2.5%
30303M102,META,META PLATFORMS INC,108000,69000,71.29M,45.55M,+176.9%,2.2%
594918104,MSFT,MICROSOFT CORP,159000,60000,76.9M,29.02M,+60.6%,2.4%
64110L106,NFLX,NETFLIX INC,194000,194000,18.19M,18.19M,NEW,0.56%
65340P106,NXE,NEXGEN ENERGY LTD,9078245,828245,83.66M,7.63M,+10%,2.6%
85208P600,NIKL,SPROTT FDS TR,70000,70000,1.1M,1.1M,NEW,0.03%
46090E103,QQQ,INVESCO QQQ TR,1277709,0,784.91M,0,NO CHANGE,24.1%
553368101,MP,MP MATERIALS CORP,14861212,0,750.79M,0,NO CHANGE,23.1%
443628102,HBM,HUDBAY MINERALS INC,14535729,0,289M,0,NO CHANGE,8.9%
78464A847,SPMD,SPDR SERIES TRUST,1410470,0,81.68M,0,NO CHANGE,2.5%
37954Y632,AIQ,GLOBAL X FDS,1494534,0,76.01M,0,NO CHANGE,2.3%
02079K305,GOOGL,ALPHABET INC,200000,0,62.6M,0,NO CHANGE,1.9%
46435U556,ARTY,ISHARES TR,1055190,0,50.84M,0,NO CHANGE,1.6%
35137L204,FOX,FOX CORP,752626,0,48.87M,0,NO CHANGE,1.5%
11135F101,AVGO,BROADCOM INC,140000,0,48.45M,0,NO CHANGE,1.5%
67066G104,NVDA,NVIDIA CORPORATION,226790,0,42.3M,0,NO CHANGE,1.3%
833635105,SQM,SOCIEDAD QUIMICA Y MINERA DE,610100,0,41.97M,0,NO CHANGE,1.3%
26884L109,EQT,EQT CORP,606502,0,32.51M,0,NO CHANGE,1%
00214Q203,ARKQ,ARK ETF TR,252500,0,28.95M,0,NO CHANGE,0.89%
165167735,EXE,EXPAND ENERGY CORPORATION,171804,0,18.96M,0,NO CHANGE,0.58%
78468R853,SPSM,SPDR SERIES TRUST,342840,0,16.07M,0,NO CHANGE,0.49%
03674X106,AR,ANTERO RESOURCES CORP,427643,0,14.74M,0,NO CHANGE,0.45%
24703L202,DELL,DELL TECHNOLOGIES INC,76890,0,9.68M,0,NO CHANGE,0.3%
88160R101,TSLA,TESLA INC,20837,0,9.37M,0,NO CHANGE,0.29%
97717Y543,WTAI,WISDOMTREE TR,274505,0,8M,0,NO CHANGE,0.25%
25400Q105,DJT,TRUMP MEDIA & TECHNOLOGY GRO,430000,0,5.69M,0,NO CHANGE,0.17%
301505731,THNQ,EXCHANGE TRADED CONCEPTS TRU,49756,0,3.16M,0,NO CHANGE,0.1%
37954Y715,BOTZ,GLOBAL X FDS,45766,0,1.66M,0,NO CHANGE,0.05%
301505707,ROBO,EXCHANGE TRADED CONCEPTS TRU,21793,0,1.51M,0,NO CHANGE,0.05%
33738R720,ROBT,FIRST TR EXCHANGE TRADED FD,27460,0,1.42M,0,NO CHANGE,0.04%
37954Y624,DRIV,GLOBAL X FDS,0,-43655,0,-1.23M,CLOSE,0%
Total,,,,,3.25B,270.83M,+8.8%,100%
