CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
33738R811,FTXL,FIRST TR EXCHANGE TRADED FD,0,-1,0,-62,CLOSE,0%
81369Y852,XLC,SELECT SECTOR SPDR TR,0,-1,0,-118,CLOSE,0%
78464A391,EBND,SPDR SERIES TRUST,0,-11,0,-235,CLOSE,0%
808524748,FNDC,SCHWAB STRATEGIC TR,0,-7,0,-312,CLOSE,0%
808524888,SCHC,SCHWAB STRATEGIC TR,0,-7,0,-319,CLOSE,0%
46434V613,IUSB,ISHARES TR,0,-13,0,-607,CLOSE,0%
78464A359,CWB,SPDR SERIES TRUST,0,-8,0,-724,CLOSE,0%
46137V233,XLG,INVESCO EXCHANGE TRADED FD T,0,-14,0,-805,CLOSE,0%
464287598,IWD,ISHARES TR,0,-4,0,-814,CLOSE,0%
808524763,FNDA,SCHWAB STRATEGIC TR,0,-30,0,-935,CLOSE,0%
464287473,IWS,ISHARES TR,0,-7,0,-978,CLOSE,0%
92189F130,RAAX,VANECK ETF TRUST,0,-30,0,-1.02K,CLOSE,0%
33734X101,FXD,FIRST TR EXCHANGE TRADED FD,0,-15,0,-1.02K,CLOSE,0%
33734X127,FXN,FIRST TR EXCHANGE TRADED FD,0,-79,0,-1.29K,CLOSE,0%
46434V100,SLQD,ISHARES TR,0,-27,0,-1.37K,CLOSE,0%
92189F627,CNXT,VANECK ETF TRUST,0,-33,0,-1.46K,CLOSE,0%
33734X135,FXO,FIRST TR EXCHANGE TRADED FD,0,-25,0,-1.49K,CLOSE,0%
464286350,VEGI,ISHARES INC,0,-39,0,-1.55K,CLOSE,0%
808524847,SCHH,SCHWAB STRATEGIC TR,0,-76,0,-1.64K,CLOSE,0%
78468R549,XES,SPDR SERIES TRUST,0,-25,0,-1.81K,CLOSE,0%
464288372,IGF,ISHARES TR,0,-30,0,-1.83K,CLOSE,0%
78468R556,XOP,SPDR SERIES TRUST,0,-15,0,-1.98K,CLOSE,0%
78464A698,KRE,SPDR SERIES TRUST,0,-32,0,-2.03K,CLOSE,0%
464287499,IWR,ISHARES TR,0,-21,0,-2.03K,CLOSE,0%
922908751,VB,VANGUARD INDEX FDS,0,-8,0,-2.03K,CLOSE,0%
33738R845,FTXN,FIRST TR EXCHANGE TRADED FD,0,-72,0,-2.04K,CLOSE,0%
46434V290,SMLF,ISHARES TR,0,-29,0,-2.16K,CLOSE,0%
78464A540,XTL,SPDR SERIES TRUST,0,-17,0,-2.38K,CLOSE,0%
