CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
665531AJ8,NOG,NORTHERN OIL & GAS INC,24139000,23749000,23.35M,22.97M,+6089.5%,0.37%
08265TAB5,BSY,BENTLEY SYS INC,20011000,20011000,19.97M,19.97M,NEW,0.32%
40171VAC4,GWRE,GUIDEWIRE SOFTWARE INC,4095000,4095000,4.51M,4.51M,NEW,0.07%
09257WAE0,BX,BLACKSTONE MORTGAGE TRUST IN,4542000,4542000,4.5M,4.5M,NEW,0.07%
35953DAB0,FUBO,FUBOTV INC,2000000,2000000,2M,2M,NEW,0.03%
67059NAK4,NTNX,NUTANIX INC,1904000,1904000,1.84M,1.84M,NEW,0.03%
68213NAF6,OMCL,OMNICELL COM,1405000,1405000,1.52M,1.52M,NEW,0.02%
19240QAA0,COGT,COGENT BIOSCIENCES INC,990000,990000,1.16M,1.16M,NEW,0.02%
23804LAD5,DDOG,DATADOG INC,1160000,1160000,1.16M,1.16M,NEW,0.02%
090043AF7,BILL,BILL HOLDINGS INC,870000,870000,802.27K,802.27K,NEW,0.01%
70202LAD4,PSN,PARSONS CORP DEL,2000000,660000,2.06M,680.13K,+49.3%,0.03%
922280AD4,VRNS,VARONIS SYS INC,2399000,595000,2.23M,553.95K,+33%,0.04%
538034BC2,LIVE,LIVE NATION ENTERTAINMENT IN,460000,460000,484.38K,484.38K,NEW,<.01%
57164YAD9,VAC,MARRIOTT VACATIONS WORLDWIDE,2447000,447000,2.44M,446.46K,+22.4%,0.04%
974637AF7,WGO,WINNEBAGO INDS INC,3164000,431000,2.98M,406.22K,+15.8%,0.05%
387328AF4,GVA,GRANITE CONSTR INC,250000,250000,400K,400K,NEW,<.01%
83419XAB4,SEI,SOLARIS ENERGY INFRAS INC,350000,350000,379.53K,379.53K,NEW,<.01%
34379VAB9,FLNC,FLUENCE ENERGY INC,310000,310000,376.07K,376.07K,NEW,<.01%
87157DAJ8,SYNA,SYNAPTICS INC,320000,320000,338.56K,338.56K,NEW,<.01%
75737FAE8,RDFN,REDFIN CORP,10626000,350000,10M,329.35K,+3.4%,0.16%
516544AB9,LNTH,LANTHEUS HLDGS INC,808000,280000,927.79K,321.51K,+53%,0.01%
595017BG8,MCHP,MICROCHIP TECHNOLOGY INC.,240000,240000,235.82K,235.82K,NEW,<.01%
008073AA6,AVAV,AEROVIRONMENT INC,1086000,191000,1.18M,207.71K,+21.3%,0.02%
525558AB8,LMAT,LEMAITRE VASCULAR INC,200000,200000,200.5K,200.5K,NEW,<.01%
12685JAE5,CABO,CABLE ONE INC,31237000,182000,30.85M,179.73K,+0.6%,0.49%
806407102,HSIC,HENRY SCHEIN INC,15652032,0,1.18B,0,NO CHANGE,18.9%
10806X102,BBIO,BRIDGEBIO PHARMA INC,13260971,0,1.01B,0,NO CHANGE,16.2%
G63755105,NIQ,NIQ GLOBAL INTELLIGENCE PLC,30022789,0,495.08M,0,NO CHANGE,7.9%
10948C107,BV,BRIGHTVIEW HLDGS INC,21533123,0,276.52M,0,NO CHANGE,4.4%
44952J104,CRGY,CRESCENT ENERGY COMPANY,26758127,0,224.5M,0,NO CHANGE,3.6%
48251K100,KREF,KKR REAL ESTATE FIN TR INC,10000001,0,82.83M,0,NO CHANGE,1.3%
55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,305068,0,78.91M,0,NO CHANGE,1.3%
071734107,BHC,BAUSCH HEALTH COS INC,5235000,0,36.38M,0,NO CHANGE,0.58%
45258DAB1,IMCR,IMMUNOCORE HLDGS PLC,23385000,0,21.25M,0,NO CHANGE,0.34%
902681AB1,UGI,UGI CORP NEW,13085000,0,18.57M,0,NO CHANGE,0.3%
G66721104,NCLH,NORWEGIAN CRUISE LINE HLDG L,719004,0,16.05M,0,NO CHANGE,0.26%
78573NAK8,SABR,SABRE GLBL INC,15181000,0,15.34M,0,NO CHANGE,0.25%
302635206,FSK,FS KKR CAP CORP,980587,0,14.52M,0,NO CHANGE,0.23%
69352PAS2,PPX,PPL CAP FDG INC,10805000,0,11.87M,0,NO CHANGE,0.19%
92939UAR7,WEC,WEC ENERGY GROUP INC,8000000,0,9.29M,0,NO CHANGE,0.15%
88023B103,TEM,TEMPUS AI INC,117652,0,6.95M,0,NO CHANGE,0.11%
83304AAH9,SNAP,SNAP INC,6900000,0,6.26M,0,NO CHANGE,0.1%
19249H103,CHRS,COHERUS ONCOLOGY INC,3036076,0,4.25M,0,NO CHANGE,0.07%
26210CAD6,DBX,DROPBOX INC,3600000,0,3.59M,0,NO CHANGE,0.06%
89422GAA5,TVTX,TRAVERE THERAPEUTICS INC,1995000,0,2.85M,0,NO CHANGE,0.05%
12685JAG0,CABO,CABLE ONE INC,3447000,0,2.81M,0,NO CHANGE,0.04%
59001ABF8,MTH,MERITAGE HOMES CORP,2648000,0,2.62M,0,NO CHANGE,0.04%
55306NAB0,MKSI,MKS INC.,1649000,0,2.11M,0,NO CHANGE,0.03%
472145AH4,JAZZ,JAZZ INVESTMENTS I LTD,1455000,0,1.94M,0,NO CHANGE,0.03%
84921RAB6,SPOT,SPOTIFY USA INC,1615000,0,1.84M,0,NO CHANGE,0.03%
538034BA6,LYV,LIVE NATION ENTERTAINMENT IN,1058000,0,1.54M,0,NO CHANGE,0.02%
40131MAD1,GH,GUARDANT HEALTH INC,745000,0,1.37M,0,NO CHANGE,0.02%
55024UAF6,LITE,LUMENTUM HLDGS INC,465000,0,1.32M,0,NO CHANGE,0.02%
194014AB2,ENOV,ENOVIS CORPORATION,1152000,0,1.13M,0,NO CHANGE,0.02%
40637HAD1,HALO,HALOZYME THERAPEUTICS INC,915000,0,990.49K,0,NO CHANGE,0.02%
84762LAZ8,SPET,SPECTRUM BRANDS INC,892000,0,845.84K,0,NO CHANGE,0.01%
03040WBE4,AWK,AMERICAN WTR CAP CORP,826000,0,823.56K,0,NO CHANGE,0.01%
405024AD2,HAE,HAEMONETICS CORP MASS,745000,0,775.32K,0,NO CHANGE,0.01%
29415FAD6,NVST,ENVISTA HOLDINGS CORPORATION,800000,0,770K,0,NO CHANGE,0.01%
08265TAD1,BSY,BENTLEY SYS INC,805000,0,759.12K,0,NO CHANGE,0.01%
00971TAN1,AKAM,AKAMAI TECHNOLOGIES INC,765000,0,757.73K,0,NO CHANGE,0.01%
83304AAK2,SNAP,SNAP INC,855000,0,748.77K,0,NO CHANGE,0.01%
69553PAD2,PD,PAGERDUTY INC,752000,0,718.54K,0,NO CHANGE,0.01%
98139AAD7,WK,WORKIVA INC,711000,0,703.36K,0,NO CHANGE,0.01%
531229AQ5,FWONK,LIBERTY MEDIA CORP DEL,531000,0,673.04K,0,NO CHANGE,0.01%
011642AD7,ALRM,ALARM COM HLDGS INC,705000,0,672.92K,0,NO CHANGE,0.01%
450056AB2,IRTC,IRHYTHM TECHNOLOGIES INC,450000,0,630K,0,NO CHANGE,0.01%
15102KAA8,CELC,CELCUITY INC,285000,0,618.99K,0,NO CHANGE,<.01%
007973AE0,AEIS,ADVANCED ENERGY INDS,375000,0,615.75K,0,NO CHANGE,<.01%
92277GAZ0,VTR,VENTAS RLTY LTD PARTNERSHIP,414000,0,585.6K,0,NO CHANGE,<.01%
477839AB0,JBTM,JBT MAREL CORPORATION,565000,0,579.8K,0,NO CHANGE,<.01%
37940XAU6,GPN,GLOBAL PMTS INC,630000,0,566.68K,0,NO CHANGE,<.01%
09061GAK7,BMRN,BIOMARIN PHARMACEUTICAL INC,534000,0,512.85K,0,NO CHANGE,<.01%
252131AM9,DXCM,DEXCOM INC,505000,0,464.98K,0,NO CHANGE,<.01%
82452JAD1,FOUR,SHIFT4 PMTS INC,265000,0,255.33K,0,NO CHANGE,<.01%
833445AD1,SNOW,SNOWFLAKE INC,2563000,-122000,3.97M,-188.98K,-4.5%,0.06%
671044AF2,OSIS,OSI SYSTEMS INC,375000,-200000,558K,-297.6K,-34.8%,<.01%
737446AT1,POST,POST HLDGS INC,1036000,-280000,1.12M,-301.98K,-21.3%,0.02%
87918AAF2,TDOC,TELADOC HEALTH INC,5697000,-341000,5.44M,-325.65K,-5.6%,0.09%
457669307,INSM,INSMED INC,0,-3284,0,-472.93K,CLOSE,0%
682189AU9,ON,ON SEMICONDUCTOR CORP,2254000,-544000,2.14M,-515.98K,-19.4%,0.03%
55024UAH2,LITE,LUMENTUM HLDGS INC,0,-260000,0,-628.16K,CLOSE,0%
958102AT2,WDC,WESTERN DIGITAL CORP,180000,-150000,825.53K,-687.94K,-45.5%,0.01%
462222AF7,IONS,IONIS PHARMACEUTICALS INC,760000,-615000,1.21M,-979.11K,-44.7%,0.02%
465741AQ9,ITRI,ITRON INC,1494000,-1000000,1.51M,-1.01M,-40.1%,0.02%
743312AD2,PRGS,PROGRESS SOFTWARE CORP,1041000,-1025000,1.06M,-1.04M,-49.6%,0.02%
703343AG8,PATK,PATRICK INDS INC,539000,-820000,917.38K,-1.4M,-60.3%,0.01%
10316TAD6,BOX,BOX INC,0,-1500000,0,-1.51M,CLOSE,0%
604749AB7,MIRM,MIRUM PHARMACEUTICALS INC,244000,-650000,630.67K,-1.68M,-72.7%,0.01%
81180WBL4,STX,SEAGATE HDD CAYMAN,12221000,-700000,41.11M,-2.35M,-5.4%,0.66%
75737FAC2,RDFN,REDFIN CORP,0,-3053000,0,-3.05M,CLOSE,0%
67011XAB9,NVCR,NOVOCURE LTD,0,-3471000,0,-3.45M,CLOSE,0%
09239BAF6,BL,BLACKLINE INC,600000,-4000000,634.41K,-4.23M,-87%,0.01%
75606DAP6,HOUS,ANYWHERE REAL ESTATE GROUP L,0,-5000000,0,-4.93M,CLOSE,0%
15189TBD8,CNP,CENTERPOINT ENERGY INC,0,-5000000,0,-5.55M,CLOSE,0%
91879QAN9,MTN,VAIL RESORTS INC,0,-6996000,0,-6.92M,CLOSE,0%
G2891G204,DEC,DIVERSIFIED ENERGY COMPANY P,0,-1480771,0,-20.75M,CLOSE,0%
252131AK3,DXCM,DEXCOM INC,0,-21886000,0,-21.74M,CLOSE,0%
477143AP6,JBLU,JETBLUE AIRWAYS CORP,92172000,-29654000,90.65M,-29.16M,-24.3%,1.4%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,8535928,-7099914,114.38M,-95.14M,-45.4%,1.8%
10950A106,BTSG,BRIGHTSPRING HEALTH SVCS INC,61942032,-15154305,2.32B,-567.53M,-19.7%,37.1%
Total,,,,,6.25B,-709.85M,-11.9%,100%
