CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
370334104,GIS,GENERAL MLS INC,160600,160600,7.47M,7.47M,NEW,5.3%
92840M102,VST,VISTRA CORP,44440,44440,7.17M,7.17M,NEW,5.1%
74624M102,PSTG,PURE STORAGE INC,105800,105800,7.09M,7.09M,NEW,5.1%
806857108,SLB,SLB LIMITED,230600,100700,8.85M,3.86M,+77.5%,6.3%
81369Y886,XLU,SELECT SECTOR SPDR TR,135156,67669,5.77M,2.89M,+100.3%,4.1%
316188309,FBND,FIDELITY MERRIMACK STR TR,313840,60428,14.45M,2.78M,+23.8%,10.3%
464288687,PFF,ISHARES TR,295401,78875,9.15M,2.44M,+36.4%,6.5%
81369Y803,XLK,SELECT SECTOR SPDR TR,20664,10349,2.97M,1.49M,+100.3%,2.1%
G0250X107,AMCR,AMCOR PLC,858620,157300,7.16M,1.31M,+22.4%,5.1%
002205102,AZ,A2Z CUST2MATE SOLUTIONS CORP,246119,108400,1.6M,705.68K,+78.7%,1.1%
754907103,RYN,RAYONIER INC,30937,10497,669.79K,227.26K,+51.4%,0.48%
68389X105,ORCL,ORACLE CORP,1120,1020,218.3K,198.81K,+1020%,0.16%
254687106,DIS,DISNEY WALT CO,2536,1500,288.47K,170.62K,+144.8%,0.21%
464287200,IVV,ISHARES TR,15823,210,10.84M,143.84K,+1.3%,7.8%
189054109,CLX,CLOROX CO DEL,1200,1200,121K,121K,NEW,0.09%
11271J107,BN,BROOKFIELD CORP,3585,1195,164.52K,54.84K,+50%,0.12%
337738108,FISV,FISERV INC,500,500,33.59K,33.59K,NEW,0.02%
922908751,VB,VANGUARD INDEX FDS,7756,115,2M,29.66K,+1.5%,1.4%
808524797,SCHD,SCHWAB STRATEGIC TR,899,832,24.66K,22.82K,+1241.8%,0.02%
260557103,DOW,DOW INC,249370,750,5.83M,17.54K,+0.3%,4.2%
921909768,VXUS,VANGUARD STAR FDS,214,213,16.18K,16.11K,+21300%,0.01%
46435U556,ARTY,ISHARES TR,171,171,8.24K,8.24K,NEW,<.01%
646025106,NJR,NEW JERSEY RES CORP,169,169,7.79K,7.79K,NEW,<.01%
698884103,PAR,PAR TECHNOLOGY CORP,800,200,29.02K,7.26K,+33.3%,0.02%
74743L100,Q,QNITY ELECTRONICS INC,50,50,4.08K,4.08K,NEW,<.01%
09257W100,BXMT,BLACKSTONE MTG TR INC,3527,88,67.47K,1.68K,+2.6%,0.05%
552953101,MGM,MGM RESORTS INTERNATIONAL,20,20,730,730,NEW,<.01%
G3643J108,FLUT,FLUTTER ENTMT PLC,3,3,645,645,NEW,<.01%
81369Y506,XLE,SELECT SECTOR SPDR TR,23,11,1.04K,498.83,+91.7%,<.01%
440452100,HRL,HORMEL FOODS CORP,50,20,1.19K,477.6,+66.7%,<.01%
191098102,COKE,COCA COLA CONS INC,3,3,460,460,NEW,<.01%
831754106,SWBI,SMITH & WESSON BRANDS INC,40,40,395,395,NEW,<.01%
864159108,RGR,STURM RUGER & CO INC,10,10,327,327,NEW,<.01%
30231G102,XOM,EXXON MOBIL CORP,87,1,10.45K,120.15,+1.2%,<.01%
088929104,BGC,BGC GROUP INC,202833,13,1.81M,116.09,+0%,1.3%
98400V200,XBP,XBP GLOBAL HOLDINGS INC,17,17,116,116,NEW,<.01%
26441C204,DUK,DUKE ENERGY CORP NEW,16,1,1.82K,113.75,+6.7%,<.01%
316092402,FENY,FIDELITY COVINGTON TRUST,500,4,12.38K,99.02,+0.8%,<.01%
464287226,AGG,ISHARES TR,19,1,1.85K,97.63,+5.6%,<.01%
674215207,CHRD,CHORD ENERGY CORPORATION,32,1,2.95K,92.16,+3.2%,<.01%
46432F842,IEFA,ISHARES TR,38,1,3.38K,89.05,+2.7%,<.01%
26923N538,AIPI,ETF OPPORTUNITIES TRUST,23,2,927,80.61,+9.5%,<.01%
65339F101,NEE,NEXTERA ENERGY INC,11,1,848,77.09,+10%,<.01%
486606106,KYN,KAYNE ANDERSON ENERGY INFRST,1306,6,16.16K,74.26,+0.5%,0.01%
921937835,BND,VANGUARD BD INDEX FDS,55,1,4.06K,73.75,+1.9%,<.01%
191216100,KO,COCA COLA CO,335,1,23.39K,69.82,+0.3%,0.02%
74347X831,TQQQ,PROSHARES TR,3,1,180,60,+50%,<.01%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,32,1,1.87K,58.41,+3.2%,<.01%
48249T106,KIO,KKR INCOME OPPORTUNITIES FD,153,5,1.77K,57.94,+3.4%,<.01%
02209S103,MO,ALTRIA GROUP INC,17,1,954,56.12,+6.2%,<.01%
756109104,O,REALTY INCOME CORP,40,1,2.24K,55.9,+2.6%,<.01%
17888H103,CIVI,CIVITAS RESOURCES INC,64,2,1.72K,53.88,+3.2%,<.01%
37954Y483,QYLD,GLOBAL X FDS,107,3,1.9K,53.21,+2.9%,<.01%
00206R102,T,AT&T INC,897,2,22.29K,49.69,+0.2%,0.02%
26884U109,EPR,EPR PPTYS,29,1,1.44K,49.66,+3.6%,<.01%
464287796,IYE,ISHARES TR,90,1,4.26K,47.37,+1.1%,<.01%
038923108,ABR,ARBOR REALTY TRUST INC,165,6,1.28K,46.44,+3.8%,<.01%
00123Q104,AGNC,AGNC INVT CORP,124,4,1.33K,42.97,+3.3%,<.01%
674599105,OXY,OCCIDENTAL PETE CORP,127,1,5.21K,41.02,+0.8%,<.01%
25179M103,DVN,DEVON ENERGY CORP NEW,180,1,6.6K,36.68,+0.6%,<.01%
