CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
192108504,CDE,COEUR MINING INC,717800,717800,12.8M,12.8M,NEW,8.2%
375916103,GIL,GILDAN ACTIVEWEAR INC,98798,98798,6.17M,6.17M,NEW,3.9%
249906108,DSGX,DESCARTES SYSTEMS GROUP/THE,70000,70000,6.14M,6.14M,NEW,3.9%
92859G608,VZLA,VIZSLA SILVER CORP,900000,900000,4.92M,4.92M,NEW,3.1%
15135U109,CVE,CENOVUS ENERGY INC,290500,290500,4.92M,4.92M,NEW,3.1%
103310108,BGSI,BOYD GROUP INC,27300,27300,4.35M,4.35M,NEW,2.8%
896215209,TRS,TRIMAS CORP,99500,99500,3.53M,3.53M,NEW,2.3%
G24979109,XNDU,CRANE HARBOR ACQUISITION CORP CLASS A,185300,185300,2M,2M,NEW,1.3%
750491102,RDNT,RADNET INC,25000,25000,1.78M,1.78M,NEW,1.1%
90291C201,USAU,US GOLD CORP,80000,80000,1.55M,1.55M,NEW,0.99%
113004105,BAM,BROOKFIELD ASSET MANAGEMENT,100000,25000,5.24M,1.31M,+33.3%,3.3%
29269R105,EFXT,ENERFLEX LTD,786744,73400,12.13M,1.13M,+10.3%,7.8%
88831L202,TI,TITAN MINING CORP,374858,374858,1.05M,1.05M,NEW,0.67%
44955L155,IAUX,I-80 GOLD CORP,10011000,11000,14.62M,16.06K,+0.1%,9.3%
G16258108,BEP,BROOKFIELD RENEWABLE PARTNERS,239500,0,6.47M,0,NO CHANGE,4.1%
29250N105,ENB,ENBRIDGE INC,90000,0,4.3M,0,NO CHANGE,2.8%
01444V103,ANNA,ALEANNA INC,28283,0,81.34K,0,NO CHANGE,0.05%
59982U200,SUIG,SUI GROUP HOLDINGS LTD,0,-1300,0,-3.87K,CLOSE,0%
73044W302,POET,POET TECHNOLOGIES INC,0,-18900,0,-121.72K,CLOSE,0%
13321L108,CCJ,CAMECO CORP,124900,-4500,11.43M,-411.7K,-3.5%,7.3%
09228F103,BB,BLACKBERRY LTD,2689000,-111000,10.19M,-420.69K,-4%,6.5%
55279B301,LITS,LITE STRATEGY INC,0,-300000,0,-627K,CLOSE,0%
163092AF6,CHGG,CHEGG INC,0,-1002000,0,-883.76K,CLOSE,0%
015658107,ASTL,ALGOMA STEEL GROUP INC,0,-246097,0,-1.03M,CLOSE,0%
244916102,DEFT,DEFI TECHNOLOGIES INC,0,-1369864,0,-2.62M,CLOSE,0%
92919F103,VOXR,VOX ROYALTY CORP,0,-617500,0,-2.64M,CLOSE,0%
656811106,NOA,NORTH AMERICAN CONSTRUCTION GROUP LTD,87699,-215209,1.26M,-3.1M,-71%,0.81%
83419D201,SLSR,SOLARIS RESOURCES INC,1219657,-428543,9.78M,-3.44M,-26%,6.3%
64119N608,NTSK,NETSKOPE INC,0,-150000,0,-3.55M,CLOSE,0%
714266103,PPTA,PERPETUA RESOURCES CORP,0,-245000,0,-5.89M,CLOSE,0%
916896103,UEC,URANIUM ENERGY CORP,0,-400000,0,-6.05M,CLOSE,0%
450913108,IAG,IAMGOLD CORP,0,-780000,0,-9.03M,CLOSE,0%
06849F108,B,BARRICK MINING CORP,0,-425000,0,-13.94M,CLOSE,0%
03062D803,USAS,AMERICAS GOLD AND SILVER CORP,6200000,-3085312,31.68M,-15.77M,-33.2%,20.3%
Total,,,,,156.4M,-17.84M,-11.1%,100%
