CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
053332102,AZO,AUTOZONE,3000,1000,10.13M,3.38M,+50%,1.6%
882508104,TXN,TEXAS INSTRUMENTS,73000,16000,12.65M,2.77M,+28.1%,2%
45826H109,ITGR,INTEGER HOLDINGS,129000,26000,10.15M,2.05M,+25.2%,1.6%
654106103,NKE,NIKE CL B,116000,31000,7.4M,1.98M,+36.5%,1.2%
109641100,EAT,BRINKER INTERNATIONAL,140000,13000,20.04M,1.86M,+10.2%,3.1%
46266C105,IQV,IQVIA,51000,7000,11.4M,1.56M,+15.9%,1.8%
227046109,CROX,CROCS,103000,18000,8.84M,1.55M,+21.2%,1.4%
37940X102,GPN,GLOBAL PAYMENTS,153000,19000,11.82M,1.47M,+14.2%,1.8%
955306105,WST,WEST PHARMACEUTICAL SERVICES,39000,5000,10.81M,1.39M,+14.7%,1.7%
46982L108,J,JACOBS SOLUTIONS,95000,10000,12.62M,1.33M,+11.8%,2%
883556102,TMO,THERMO FISHER SCIENTIFIC,23000,2000,13.48M,1.17M,+9.5%,2.1%
466313103,JBL,JABIL,204000,2000,46.57M,456.6K,+1%,7.3%
31428X106,FDX,FEDEX CORP,29000,1000,8.31M,286.69K,+3.6%,1.3%
88023U101,SGI,SOMNIGROUP INTERNATIONAL,213000,3000,19.02M,267.85K,+1.4%,3%
876030107,TPR,TAPESTRY,147000,2000,18.72M,254.73K,+1.4%,2.9%
285512109,EA,ELECTRONIC ARTS INC,73000,1000,14.85M,203.36K,+1.4%,2.3%
67066G104,NVDA,NVIDIA,83000,1000,15.41M,185.71K,+1.2%,2.4%
40434L105,HPQ,HP,476000,6000,10.61M,133.7K,+1.3%,1.7%
002896207,ANF,ABERCROMBIE & FITCH,120000,1000,15.1M,125.82K,+0.8%,2.4%
G51502105,JCI,JOHNSON CONTROLS,153000,1000,18.38M,120.14K,+0.7%,2.9%
M5425M103,INMD,INMODE,662000,8000,9.73M,117.57K,+1.2%,1.5%
934423104,WBD,WARNER BROS DISCOVERY INC,503000,4000,14.5M,115.3K,+0.8%,2.3%
04035M102,ARHS,ARHAUS,702000,8000,7.87M,89.73K,+1.2%,1.2%
047649108,ATKR,ATKORE,94000,1000,5.93M,63.12K,+1.1%,0.93%
34964C106,FBIN,FORTUNE BRANDS,114000,1000,5.7M,49.99K,+0.9%,0.89%
57638P104,MBC,MASTERBRAND,218000,3000,2.4M,33.04K,+1.4%,0.38%
023939101,AMTM,AMENTUM HOLDINGS,98000,1000,2.83M,28.93K,+1%,0.44%
620076307,MSI,MOTOROLA SOLUTIONS,48000,0,18.53M,0,NO CHANGE,2.9%
09857L108,BKNG,BOOKING HOLDINGS,3000,0,18.25M,0,NO CHANGE,2.9%
90384S303,ULTA,ULTA BEAUTY,23000,0,14.01M,0,NO CHANGE,2.2%
942749102,WTS,WATTS WATER,40000,0,11.13M,0,NO CHANGE,1.7%
62944T105,NVR,NVR,1000,0,10.33M,0,NO CHANGE,1.6%
037833100,AAPL,APPLE,34000,0,9.27M,0,NO CHANGE,1.4%
594918104,MSFT,MICROSOFT,19000,0,9.16M,0,NO CHANGE,1.4%
911363109,URI,UNITED RENTALS,11000,0,8.74M,0,NO CHANGE,1.4%
036752103,ELV,ELEVANCE HEALTH,22000,0,7.83M,0,NO CHANGE,1.2%
016255101,ALGN,ALIGN TECHNOLOGY,45000,0,7.08M,0,NO CHANGE,1.1%
09062X103,BIIB,BIOGEN,34000,0,6.02M,0,NO CHANGE,0.94%
679580100,ODFL,OLD DOMINION FREIGHT LINE,31000,0,4.85M,0,NO CHANGE,0.76%
336433107,FSLR,FIRST SOLAR INC,15000,0,3.92M,0,NO CHANGE,0.61%
550021109,LULU,LULULEMON ATHLETICA,1000,0,273K,0,NO CHANGE,0.04%
98985Y108,ZYME,ZYMEWORKS INC,45000,-37000,1.18M,-972.69K,-45.1%,0.19%
747525103,QCOM,QUALCOMM,57000,-15000,9.81M,-2.58M,-20.8%,1.5%
038222105,AMAT,APPLIED MATERIALS,133000,-11000,34.15M,-2.82M,-7.6%,5.3%
19247G107,COHR,COHERENT,145000,-55000,26.85M,-10.18M,-27.5%,4.2%
171779309,CIEN,CIENA,247000,-78000,57.73M,-18.23M,-24%,9%
55024U109,LITE,LUMENTUM,95000,-57000,34.88M,-20.93M,-37.5%,5.5%
Total,,,,,639.3M,-32.69M,-5.7%,100%
