CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,58550,58550,2.17M,2.17M,NEW,3.3%
36317J209,GLXY,GALAXY DIGITAL INC.,1321113,83005,29.54M,1.86M,+6.7%,44.6%
29273V100,ET,ENERGY TRANSFER L P,145851,81535,2.41M,1.34M,+126.8%,3.6%
83406F102,SOFI,SOFI TECHNOLOGIES INC,190945,38750,5M,1.01M,+25.5%,7.5%
91324P102,UNH,UNITEDHEALTH GROUP INC,8816,2945,2.91M,972.17K,+50.2%,4.4%
15118V207,CELH,CELSIUS HLDGS INC,80765,20720,3.69M,947.73K,+34.5%,5.6%
G6683N103,NU,NU HLDGS LTD,145150,49500,2.43M,828.63K,+51.8%,3.7%
64828T201,RITM,RITHM CAPITAL CORP,200113,64700,2.23M,720.78K,+47.8%,3.4%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,62550,28450,1.44M,654.31K,+83.4%,2.2%
138035704,CGC,CANOPY GROWTH CORP,772785,525500,880.98K,599.07K,+212.5%,1.3%
25380B102,DGXX,DIGI PWR X INC,184590,184590,470.7K,470.7K,NEW,0.71%
023135106,AMZN,AMAZON COM INC,14625,1950,3.38M,450.1K,+15.4%,5.1%
90353T100,UBER,UBER TECHNOLOGIES INC,15180,5000,1.24M,408.55K,+49.1%,1.9%
00123Q104,AGNC,AGNC INVT CORP,114400,37000,1.24M,400.85K,+47.8%,1.9%
02079K107,GOOG,ALPHABET INC,12862,1100,4.04M,345.18K,+9.4%,6.1%
037833100,AAPL,APPLE INC,5858,1000,1.59M,271.86K,+20.6%,2.4%
67401P405,OCSL,OAKTREE SPECIALTY LENDING CO,30450,19700,387.93K,250.98K,+183.3%,0.59%
15961R303,CHPT,CHARGEPOINT HOLDINGS INC,66500,34000,441.56K,225.76K,+104.6%,0.67%
Y2065G121,DHT,DHT HOLDINGS INC,36450,9000,445.05K,109.89K,+32.8%,0.67%
02462A104,ABTC,AMERICAN BITCOIN CORP.,13000,13000,22.1K,22.1K,NEW,0.03%
583543301,SLNH,SOLUNA HOLDINGS INC,15000,15000,17.55K,17.55K,NEW,0.03%
594918104,MSFT,MICROSOFT CORP,707,0,341.92K,0,NO CHANGE,0.52%
88688T100,TLRY,TILRAY BRANDS INC,0,-31050,0,-53.72K,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,-7581,0,-1.38M,CLOSE,0%
Total,,,,,66.3M,12.64M,+18.6%,100%
