CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
595112103,MU,MICRON TECHNOLOGY INC,612000,612000,174.67M,174.67M,NEW,8%
512807306,LRCX,LAM RESEARCH CORP,750000,675000,128.38M,115.55M,+900%,5.9%
80004C200,SNDK,SANDISK CORP,482630,319530,114.57M,75.85M,+195.9%,5.2%
55024U109,LITE,LUMENTUM HOLDINGS INC,178000,178000,65.61M,65.61M,NEW,3%
11135F101,AVGO,BROADCOM INC,730000,157500,252.65M,54.51M,+27.5%,11.5%
02079K305,GOOGL,ALPHABET INC-CL A,915700,63700,286.61M,19.94M,+7.5%,13.1%
617446448,MS,MORGAN STANLEY,96700,96700,17.17M,17.17M,NEW,0.78%
254687106,DIS,WALT DISNEY CO/THE,122500,122500,13.94M,13.94M,NEW,0.64%
038222105,AMAT,APPLIED MATERIALS INC,48000,48000,12.34M,12.34M,NEW,0.56%
48251W104,KKR,KKR & CO INC,78000,78000,9.94M,9.94M,NEW,0.45%
458140100,INTC,INTEL CORP,202700,202700,7.48M,7.48M,NEW,0.34%
09260D107,BX,BLACKSTONE INC,45400,45400,7M,7M,NEW,0.32%
278768106,SATS,ECHOSTAR CORP-A,63800,63800,6.94M,6.94M,NEW,0.32%
44812J104,HUT,HUT 8 CORP,102400,102400,4.7M,4.7M,NEW,0.21%
88080T104,WULF,TERAWULF INC,401875,401875,4.62M,4.62M,NEW,0.21%
88160R101,TSLA,TESLA MOTORS INC,10000,10000,4.5M,4.5M,NEW,0.21%
36118L106,FUTU,FUTU HOLDINGS LTD-ADR,540000,13200,88.67M,2.17M,+2.5%,4%
06748M196,VXX,IPATH SERIES B S&P 500 VIX HEDGEFUND,200300,-13000,5.3M,-344.11K,-6.1%,0.24%
82509L107,SHOP,SHOPIFY INC - CLASS A,0,-21000,0,-3.12M,CLOSE,0%
98945L204,ZEPP,ZEPP HEALTH CORP-ADR,162904,-132043,4.39M,-3.56M,-44.8%,0.2%
64110L106,NFLX,NETFLIX INC,0,-5200,0,-6.23M,CLOSE,0%
697435105,PANW,PALO ALTO NETWORKS INC,0,-31200,0,-6.35M,CLOSE,0%
21874A106,CORZ,CORE SCIENTIFIC INC,0,-365500,0,-6.56M,CLOSE,0%
83304A106,SNAP,SNAP INC - A,0,-895000,0,-6.9M,CLOSE,0%
79466L302,CRM,SALESFORCE.COM INC,0,-30000,0,-7.11M,CLOSE,0%
958102105,WDC,WESTERN DIGITAL CORP,875000,-45000,150.74M,-7.75M,-4.9%,6.9%
N97284108,NBIS,NEBIUS GROUP NV,0,-76000,0,-8.53M,CLOSE,0%
21873S108,CRWV,COREWEAVE INC-CL A,10000,-129000,716.1K,-9.24M,-92.8%,0.03%
037833100,AAPL,APPLE INC,0,-66000,0,-16.81M,CLOSE,0%
02079K107,GOOG,ALPHABET INC-CL C,220000,-128900,69.04M,-40.45M,-36.9%,3.2%
89677Q107,TCOM,TRIP.COM GROUP LTD-ADR,507000,-593000,36.46M,-42.64M,-53.9%,1.7%
594918104,MSFT,MICROSOFT CORP,382000,-108700,184.74M,-52.57M,-22.2%,8.4%
722304102,PDD,PINDUODUO INC-ADR,0,-490000,0,-64.76M,CLOSE,0%
23292E108,DIDIY,DIDI GLOBAL INC ADR,0,-10750000,0,-66.86M,CLOSE,0%
03831W108,APP,APPLOVIN CORP-CLASS A,0,-98000,0,-70.42M,CLOSE,0%
023135106,AMZN,AMAZON.COM INC,385000,-366500,88.87M,-84.6M,-48.8%,4.1%
770700102,HOOD,ROBINHOOD MARKETS INC - A,0,-760000,0,-108.82M,CLOSE,0%
G7997R103,STX,SEAGATE TECHNOLOGY HOLDINGS,324000,-398000,89.23M,-109.61M,-55.1%,4.1%
81141R100,SE,SEA LTD-ADR,0,-626000,0,-111.88M,CLOSE,0%
30303M102,META,META PLATFORMS INC,10000,-193000,6.6M,-127.4M,-95.1%,0.3%
68389X105,ORCL,ORACLE CORP,0,-530562,0,-149.22M,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HOLDING-SP ADR,24400,-1106500,3.58M,-162.19M,-97.8%,0.16%
67066G104,NVDA,NVIDIA CORP,1360000,-980360,253.64M,-182.84M,-41.9%,11.6%
093712107,BE,BLOOM ENERGY CORP- A,1125000,-2295000,97.75M,-199.41M,-67.1%,4.5%
Total,,,,,2.19B,-1.06B,-33.8%,100%
