CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
55024U109,LITE,LUMENTUM HLDGS INC,36321,36321,25.52M,25.52M,NEW,18.6%
80004C200,SNDK,SANDISK CORP,21140,21140,13.43M,13.43M,NEW,9.8%
595112103,MU,MICRON TECHNOLOGY INC,37384,31784,12.63M,10.74M,+567.6%,9.2%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,81500,81500,6.99M,6.99M,NEW,5.1%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,295684,152684,10.88M,5.62M,+106.8%,7.9%
852312305,STAA,STAAR SURGICAL CO,268084,268084,5.01M,5.01M,NEW,3.6%
89677Q107,TCOM,TRIP COM GROUP LTD,94790,94790,4.72M,4.72M,NEW,3.4%
880770102,TER,TERADYNE INC,15500,15500,4.6M,4.6M,NEW,3.3%
750917106,RMBS,RAMBUS INC DEL,49578,49578,4.27M,4.27M,NEW,3.1%
007903107,AMD,ADVANCED MICRO DEVICES INC,55900,18700,11.37M,3.8M,+50.3%,8.3%
30303M102,META,META PLATFORMS INC,4020,4020,2.3M,2.3M,NEW,1.7%
871607107,SNPS,SYNOPSYS INC,5728,5728,2.27M,2.27M,NEW,1.7%
36118L106,FUTU,FUTU HLDGS LTD,33767,12367,4.62M,1.69M,+57.8%,3.4%
90138A103,VNET,VNET GROUP INC,614400,172829,5.15M,1.45M,+39.1%,3.8%
67066G104,NVDA,NVIDIA CORPORATION,39725,6825,6.93M,1.19M,+20.7%,5%
01609W102,BABA,ALIBABA GROUP HLDG LTD,5700,5700,715.12K,715.12K,NEW,0.52%
46267X108,IQ,IQIYI INC,0,-802400,0,-1.54M,CLOSE,0%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,0,-13200,0,-1.9M,CLOSE,0%
91347P105,OLED,UNIVERSAL DISPLAY CORP,0,-16281,0,-1.9M,CLOSE,0%
36165L108,GDS,GDS HLDGS LTD,106200,-60540,4.28M,-2.44M,-36.3%,3.1%
11135F101,AVGO,BROADCOM INC,0,-8880,0,-3.07M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-27143,0,-3.08M,CLOSE,0%
056752108,BIDU,BAIDU INC,64558,-32592,7.19M,-3.63M,-33.5%,5.2%
458140100,INTC,INTEL CORP,0,-99300,0,-3.66M,CLOSE,0%
031652100,AMKR,AMKOR TECHNOLOGY INC,0,-98200,0,-3.88M,CLOSE,0%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,0,-85500,0,-3.93M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,13405,-16155,4.53M,-5.46M,-54.7%,3.3%
136635109,CSIQ,CANADIAN SOLAR INC,0,-297800,0,-7.08M,CLOSE,0%
Total,,,,,137.41M,52.75M,+61.2%,100%
