CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
922042742,VT,VANGUARD INTL EQUITY INDEX F,197749,100209,27.35M,13.86M,+102.7%,43.9%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,9007,4773,4.32M,2.29M,+112.7%,6.9%
922042874,VGK,VANGUARD INTL EQUITY INDEX F,50789,25410,4.19M,2.09M,+100.1%,6.7%
46434G103,IEMG,ISHARES INC,61057,29441,4.26M,2.05M,+93.1%,6.8%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,24280,24280,1.85M,1.85M,NEW,3%
458140100,INTC,INTEL CORP,19051,19051,840.72K,840.72K,NEW,1.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,4066,4066,827.15K,827.15K,NEW,1.3%
67066G104,NVDA,NVIDIA CORPORATION,2861,2861,498.96K,498.96K,NEW,0.8%
77313F106,RCKT,ROCKET PHARMACEUTICALS INC,178769,0,639.99K,0,NO CHANGE,1%
88033G407,THC,TENET HEALTHCARE CORP,32160,-2848,6.07M,-537.45K,-8.1%,9.7%
82452J109,FOUR,SHIFT4 PMTS INC,0,-13792,0,-868.48K,CLOSE,0%
48581R205,KSPI,KASPI KZ JSC,0,-11241,0,-878.26K,CLOSE,0%
36118L106,FUTU,FUTU HLDGS LTD,0,-5377,0,-882.96K,CLOSE,0%
78464A755,XME,SPDR SERIES TRUST,41755,-9818,4.51M,-1.06M,-19%,7.2%
15135B101,CNC,CENTENE CORP DEL,43127,-43128,1.41M,-1.41M,-50%,2.3%
85207H104,PHYS,SPROTT ASSET MANAGEMENT LP,112334,-50304,3.98M,-1.78M,-30.9%,6.4%
18915M107,NET,CLOUDFLARE INC,0,-13341,0,-2.63M,CLOSE,0%
78468R663,BIL,SPDR SERIES TRUST,0,-35366,0,-3.23M,CLOSE,0%
60855R100,MOH,MOLINA HEALTHCARE INC,0,-20829,0,-3.61M,CLOSE,0%
171779309,CIEN,CIENA CORP,0,-22346,0,-5.23M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-15226,0,-5.27M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-30542,0,-7.05M,CLOSE,0%
92189F106,GDX,VANECK ETF TRUST,17818,-85843,1.64M,-7.88M,-82.8%,2.6%
37954Y830,COPX,GLOBAL X FDS,0,-124165,0,-8.91M,CLOSE,0%
Total,,,,,62.38M,-26.92M,-30.1%,100%
