CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,927023,927023,106.47M,106.47M,NEW,5.1%
042068205,ARM,ARM HOLDINGS PLC,691364,691364,104.59M,104.59M,NEW,5%
925550105,VIAV,VIAVI SOLUTIONS INC,2762418,2762418,91.93M,91.93M,NEW,4.4%
861012102,STM,STMICROELECTRONICS N V,2334005,2334005,80.64M,80.64M,NEW,3.9%
82706C108,SIMO,SILICON MOTION TECHNOLOGY CO,538748,538748,60.5M,60.5M,NEW,2.9%
537008104,LFUS,LITTELFUSE INC,153997,153997,52.26M,52.26M,NEW,2.5%
573874104,MRVL,MARVELL TECHNOLOGY INC,381455,381455,37.78M,37.78M,NEW,1.8%
11135F101,AVGO,BROADCOM INC,354061,93167,109.59M,28.84M,+35.7%,5.2%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,3635167,918442,86.55M,21.87M,+33.8%,4.1%
04626A103,ALAB,ASTERA LABS INC,504301,195288,55.27M,21.4M,+63.2%,2.6%
80004C200,SNDK,SANDISK CORP,33352,33352,21.19M,21.19M,NEW,1%
620076307,MSI,MOTOROLA SOLUTIONS INC,222108,36623,96.39M,15.89M,+19.7%,4.6%
032095101,APH,AMPHENOL CORP,780955,52896,98.67M,6.68M,+7.3%,4.7%
G8060N102,ST,SENSATA TECHNOLOGIES HLDG PL,1468566,183668,51.72M,6.47M,+14.3%,2.5%
67066G104,NVDA,NVIDIA CORPORATION,750125,17176,130.82M,3M,+2.3%,6.2%
G3323L100,FN,FABRINET,171493,-1805,89.44M,-941.34K,-1%,4.3%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,302885,-91153,102.36M,-30.81M,-23.1%,4.9%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,436346,-169823,96.9M,-37.71M,-28%,4.6%
038222105,AMAT,APPLIED MATLS INC,278994,-125448,95.36M,-42.88M,-31%,4.6%
007973100,AEIS,ADVANCED ENERGY INDS,324651,-139288,104.77M,-44.95M,-30%,5%
654902204,NOK,NOKIA CORP,10494766,-5617139,84.38M,-45.16M,-34.9%,4%
91347P105,OLED,UNIVERSAL DISPLAY CORP,0,-401726,0,-46.91M,CLOSE,0%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,0,-1890072,0,-49.86M,CLOSE,0%
682189105,ON,ON SEMICONDUCTOR CORP,0,-1085296,0,-58.77M,CLOSE,0%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,463022,-348448,81.25M,-61.15M,-42.9%,3.9%
609839105,MPWR,MONOLITHIC PWR SYS INC,0,-70723,0,-64.1M,CLOSE,0%
G87052109,TEL,TE CONNECTIVITY PLC,0,-294566,0,-67.02M,CLOSE,0%
171779309,CIEN,CIENA CORP,247412,-181375,96.05M,-70.42M,-42.3%,4.6%
595112103,MU,MICRON TECHNOLOGY INC,144010,-215670,48.65M,-72.86M,-60%,2.3%
M20791105,CAMT,CAMTEK LTD,0,-693720,0,-73.77M,CLOSE,0%
482480100,KLAC,KLA CORP,0,-71648,0,-87.06M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,157688,-176261,110.82M,-123.87M,-52.8%,5.3%
Total,,,,,2.09B,-318.72M,-15.7%,100%
