CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
82452JAD1,FOUR,SHIFT4 PMTS INC,18331000,18331000,17.27M,17.27M,NEW,8.6%
45826HAD1,ITGR,INTEGER HLDGS CORP,15000000,15000000,14.39M,14.39M,NEW,7.2%
126349AH2,CSGS,CSG SYS INTL INC,25425000,5000000,31.04M,6.1M,+24.5%,15.5%
464287457,SHY,ISHARES TR,35000,35000,2.89M,2.89M,NEW,1.4%
92206C102,VGSH,VANGUARD SCOTTSDALE FDS,30000,30000,1.76M,1.76M,NEW,0.88%
92206C706,VGIT,VANGUARD SCOTTSDALE FDS,10000,10000,595.5K,595.5K,NEW,0.3%
03769M106,APO,APOLLO GLOBAL MGMT INC,2500,2500,278.55K,278.55K,NEW,0.14%
69331CAL2,PCG,PG&E CORP,40700000,0,42.75M,0,NO CHANGE,21.4%
011642AD7,ALRM,ALARM COM HLDGS INC,26600000,0,24.75M,0,NO CHANGE,12.4%
30050BAJ0,EVH,EVOLENT HEALTH INC,29620000,0,15.04M,0,NO CHANGE,7.5%
72703X106,PL,PLANET LABS PBC,154431,0,4.32M,0,NO CHANGE,2.2%
84762LAZ8,SPET,SPECTRUM BRANDS INC,2679000,0,2.71M,0,NO CHANGE,1.4%
G4412G101,HLF,HERBALIFE LTD,70910,0,1.04M,0,NO CHANGE,0.52%
45784J303,VATE,INNOVATE CORP,127934,0,726.66K,0,NO CHANGE,0.36%
M8744T106,TBLA,TABOOLA.COM LTD,51973,0,161.12K,0,NO CHANGE,0.08%
60743G118,MOBXW,MOBIX LABS INC,190616,0,23.83K,0,NO CHANGE,0.01%
051774115,AUROW,AURORA INNOVATION INC,20288,0,4.04K,0,NO CHANGE,<.01%
53271X116,LIMNW,LIMINATUS PHARMA INC.,29166,0,1.17K,0,NO CHANGE,<.01%
06682J118,BNZIW,BANZAI INTERNATIONAL INC,39028,0,511,0,NO CHANGE,<.01%
G63638111,NAMM,NAMIB MINERALS,0,-540930,0,-38.84K,CLOSE,0%
83001C108,FUN,SIX FLAGS ENTERTAINMENT CORP,0,-10000,0,-153.4K,CLOSE,0%
69331C108,PCG,PG&E CORP,0,-14750,0,-237.03K,CLOSE,0%
47233W109,JEF,JEFFERIES FINL GROUP INC,0,-15000,0,-929.55K,CLOSE,0%
912932100,UNIT,UNITI GROUP LLC,1022703,-150000,9.59M,-1.41M,-12.8%,4.8%
42703MAF0,HLF,HERBALIFE LTD,25000000,-8052000,30.31M,-9.76M,-24.4%,15.2%
Total,,,,,199.65M,30.75M,+18.6%,100%
