CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,600192,600192,68.93M,68.93M,NEW,7.9%
67066G104,NVDA,NVIDIA CORPORATION,350000,350000,61.04M,61.04M,NEW,7%
14040H105,COF,CAPITAL ONE FINL CORP,281013,281013,51.27M,51.27M,NEW,5.9%
15118V207,CELH,CELSIUS HLDGS INC,1259428,1259428,44.68M,44.68M,NEW,5.2%
74935Q107,RBA,RB GLOBAL INC,450000,450000,43.13M,43.13M,NEW,5%
92826C839,V,VISA INC,130726,130726,39.51M,39.51M,NEW,4.6%
127190304,CACI,CACI INTL INC,146200,57609,79.51M,31.33M,+65%,9.2%
87422Q109,TLN,TALEN ENERGY CORP,220000,59837,70.23M,19.1M,+37.4%,8.1%
199333105,CMCO,COLUMBUS MCKINNON CORP N Y,981073,981073,14.25M,14.25M,NEW,1.6%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,117542,47916,23.21M,9.46M,+68.8%,2.7%
418056107,HAS,HASBRO INC,300000,70000,28.08M,6.55M,+30.4%,3.2%
09857L108,BKNG,BOOKING HOLDINGS INC,17000,17000,2.86M,2.86M,NEW,0.33%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,175113,5217,59.18M,1.76M,+3.1%,6.8%
83417M104,SEDG,SOLAREDGE TECHNOLOGIES INC,254004,-45996,12.97M,-2.35M,-15.3%,1.5%
55955D100,MGNI,MAGNITE INC,1328782,-300000,15.79M,-3.56M,-18.4%,1.8%
G8068L108,SN,SHARKNINJA INC,670000,-35556,70.95M,-3.77M,-5%,8.2%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,200000,-126576,7.17M,-4.54M,-38.8%,0.83%
55306N104,MKSI,MKS INC.,375000,-40500,86.18M,-9.31M,-9.7%,9.9%
12514G108,CDW,CDW CORP,230000,-149940,27.83M,-18.15M,-39.5%,3.2%
896945201,TRIP,TRIPADVISOR INC,0,-1615000,0,-23.51M,CLOSE,0%
40090E106,CIB,GRUPO CIBEST SA,0,-382023,0,-24.3M,CLOSE,0%
199908104,FIX,COMFORT SYS USA INC,35467,-20134,48.91M,-27.76M,-36.2%,5.6%
81141R100,SE,SEA LTD,144192,-365808,11.94M,-30.29M,-71.7%,1.4%
25401T603,DBRG,DIGITALBRIDGE GROUP INC,0,-2000000,0,-30.68M,CLOSE,0%
52603B107,TREE,LENDINGTREE INC NEW,0,-584931,0,-31.05M,CLOSE,0%
87256C101,TKO,TKO GROUP HOLDINGS INC,0,-150000,0,-31.35M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-84252,0,-40.75M,CLOSE,0%
90138F102,TWLO,TWILIO INC,0,-298483,0,-42.46M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,0,-135688,0,-42.58M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-193250,0,-44.61M,CLOSE,0%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,0,-235455,0,-47.84M,CLOSE,0%
G25508105,CRH,CRH PLC,0,-448209,0,-55.94M,CLOSE,0%
Total,,,,,867.64M,-120.89M,-12.4%,100%
