CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
038222105,AMAT,APPLIED MATERIALS,382307,382307,130.67M,130.67M,NEW,1.3%
92343V104,VZ,VERIZON COMMUNICATIONS,2292657,2292657,115.09M,115.09M,NEW,1.1%
595112103,MU,MICRON TECHNOLOGY,336884,336884,113.81M,113.81M,NEW,1.1%
872540109,TJX,TJX COMPANIES,671638,671638,107.26M,107.26M,NEW,1%
482480100,KLAC,KLA Corp,70710,70710,104.11M,104.11M,NEW,1%
53223L109,LIN,LINDE PLC,204135,204135,101.2M,101.2M,NEW,0.99%
38141G104,GS,GOLDMAN SACHS GROUP,116003,116003,98.14M,98.14M,NEW,0.96%
031162100,AMGN,AMGEN,274717,274717,96.66M,96.66M,NEW,0.95%
617446448,MS,MORGAN STANLEY,554412,554412,91.24M,91.24M,NEW,0.89%
337738108,FISV,FISERV,219365,219365,12.24M,12.24M,NEW,0.12%
81762P102,NOW,SERVICENOW INC,453666,-4463794,47.43M,-466.68M,-90.8%,0.46%
91324P102,UNH,UNITEDHEALTH GROUP,259094,-2264606,70.11M,-612.78M,-89.7%,0.69%
79466L302,CRM,SALESFORCE,396006,-3487604,73.92M,-651.03M,-89.8%,0.72%
053015103,ADP,AUTOMATIC DATA PROCESSING,353771,-3209409,71.88M,-652.09M,-90.1%,0.7%
68389X105,ORCL,ORACLE CORPORATION,515959,-4475051,75.9M,-658.32M,-89.7%,0.74%
78409V104,SPGI,S&P GLOBAL,166707,-1593523,70.91M,-677.79M,-90.5%,0.69%
09857L108,BKNG,BOOKING HOLDINGS INC,20673,-197407,87.04M,-831.14M,-90.5%,0.85%
007903107,AMD,ADVANCED MICRO DEVICES,479647,-4193413,97.57M,-853.06M,-89.7%,0.95%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,697616,-5888014,102.05M,-861.3M,-89.4%,1%
002198163,CSCO,CISCO SYSTEMS,1379499,-12029001,107.03M,-933.33M,-89.7%,1%
437076102,HD,HOME DEPOT,345358,-2945182,113.58M,-968.63M,-89.5%,1.1%
191216100,KO,COCA-COLA COMPANY,1536524,-12895666,116.85M,-980.71M,-89.4%,1.1%
58933Y105,MRK,MERCK & CO,979681,-8639639,117.84M,-1.04B,-89.8%,1.2%
060505104,BAC,BANK OF AMERICA CORP,2654169,-22441091,129.39M,-1.09B,-89.4%,1.3%
00287Y109,ABBV,ABBVIE INC,536670,-4908260,124.26M,-1.14B,-90.1%,1.2%
64110L106,NFLX,NETFLIX INC,1482395,-12110045,142.53M,-1.16B,-89.1%,1.4%
742718109,PG,PROCTER & GAMBLE CO,949791,-8571649,137.19M,-1.24B,-90%,1.3%
512807108,LRCX,LAM RESEARCH,652032,-6128488,139.31M,-1.31B,-90.4%,1.4%
74340W103,PLD,"PROLOGIS, INC",1182310,-10046420,156.28M,-1.33B,-89.5%,1.5%
22160K105,COST,COSTCO WHOLESALE CORP,187243,-1597837,186.57M,-1.59B,-89.5%,1.8%
95040Q104,WELL,WELLTOWER INC,997300,-8516240,197.18M,-1.68B,-89.5%,1.9%
57636Q104,MA,MASTERCARD INC,402662,-3669548,201.19M,-1.83B,-90.1%,2%
532457108,LLY,ELI LILLY & CO,250841,-2124209,230.72M,-1.95B,-89.4%,2.3%
92826C839,V,VISA INC-CLASS A SHARES,799547,-7414063,241.66M,-2.24B,-90.3%,2.4%
46625H100,JPM,JPMORGAN CHASE & CO,888058,-7785472,261.23M,-2.29B,-89.8%,2.6%
88160R101,TSLA,TESLA INC,859510,-7342550,319.52M,-2.73B,-89.5%,3.1%
05722G100,BKR,BAKER HUGHES CO,3752052,-45601258,229.06M,-2.78B,-92.4%,2.2%
11135F101,AVGO,BROADCOM INC,1319930,-11369870,408.53M,-3.52B,-89.6%,4%
02079K305,GOOGL,ALPHABET INC,1541879,-12983401,443.38M,-3.73B,-89.4%,4.3%
02079K107,GOOG,ALPHABET INC,1850462,-15842138,530.82M,-4.54B,-89.5%,5.2%
023135106,AMZN,AMAZON.COM,2907437,-24954963,605.53M,-5.2B,-89.6%,5.9%
594918104,MSFT,MICROSOFT CORP,2424306,-21143944,897.4M,-7.83B,-89.7%,8.8%
037833100,AAPL,APPLE COMPUTER INC,4387962,-37596848,1.11B,-9.54B,-89.5%,10.9%
67066G104,NVDA,NVIDIA,8074438,-70049522,1.41B,-12.22B,-89.7%,13.8%
Total,,,,,10.23B,-80.17B,-810.6%,100%
