CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
78463V107,GLD,SPDR GOLD TR,7623,659,3.28M,283.55K,+9.5%,81.5%
00166B105,ALXO,ALX ONCOLOGY HLDGS INC,20946,20946,42K,42K,NEW,1%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,727,17,348.34K,8.15K,+2.4%,8.7%
501976104,KYTX,KYVERNA THERAPEUTICS INC,18773,0,162.01K,0,NO CHANGE,4%
52886X107,LXEO,LEXEO THERAPEUTICS INC,13943,0,80.03K,0,NO CHANGE,2%
98420X202,XFOR,X4 PHARMACEUTICALS INC,15557,0,64.25K,0,NO CHANGE,1.6%
45719W205,IKT,INHIBIKASE THERAPEUTICS INC,28453,0,47.8K,0,NO CHANGE,1.2%
21077P108,CNTX,CONTEXT THERAPEUTICS INC,0,-18403,0,-27.05K,CLOSE,0%
78397T202,SABS,SAB BIOTHERAPEUTICS INC,0,-10527,0,-39.37K,CLOSE,0%
20454B104,CMPX,COMPASS THERAPEUTICS INC,0,-29495,0,-158.39K,CLOSE,0%
60255C885,DFTX,MIND MEDICINE MINDMED INC,0,-15688,0,-210.06K,CLOSE,0%
00773J202,SYRE,SPYRE THERAPEUTICS INC,0,-8919,0,-292.19K,CLOSE,0%
Total,,,,,4.02M,-393.37K,-9.2%,100%
