CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
093712107,BE,BLOOM ENERGY CORP,35000,35000,4.74M,4.74M,NEW,4.7%
02079K107,GOOG,ALPHABET INC,29698,15008,8.52M,4.31M,+102.2%,8.5%
44955L106,IAUX,I-80 GOLD CORP,9000000,1500000,13.68M,2.28M,+20%,13.6%
48553T106,BZ,KANZHUN LIMITED,250000,100000,3.35M,1.34M,+66.7%,3.3%
48581R205,KSPI,KASPI KZ JSC,31473,17498,2.33M,1.3M,+125.2%,2.3%
92189F791,GDXJ,VANECK ETF TRUST,210448,10448,25.26M,1.25M,+5.2%,25.2%
26884L109,EQT,EQT CORP,14814,14814,942.76K,942.76K,NEW,0.94%
46121Y201,IPI,INTREPID POTASH INC,18462,18462,789.62K,789.62K,NEW,0.79%
81762P102,NOW,SERVICENOW INC,6900,6900,721.39K,721.39K,NEW,0.72%
58733R102,MELI,MERCADOLIBRE INC,750,386,1.3M,667.4K,+106%,1.3%
00138L108,RERE,ATRENEW INC,142300,80000,667.39K,375.2K,+128.4%,0.67%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,1000,1000,337.95K,337.95K,NEW,0.34%
500767306,KWEB,KRANESHARES TRUST,11000,11000,312.73K,312.73K,NEW,0.31%
071734107,BHC,BAUSCH HEALTH COS INC,37506,37506,202.53K,202.53K,NEW,0.2%
40412C101,HCA,HCA HEALTHCARE INC,2315,405,1.1M,191.66K,+21.2%,1.1%
921909768,VXUS,VANGUARD STAR FDS,62218,0,4.8M,0,NO CHANGE,4.8%
922908363,VOO,VANGUARD INDEX FDS,7552,0,4.51M,0,NO CHANGE,4.5%
45258D105,IMCR,IMMUNOCORE HLDGS PLC,80000,0,2.41M,0,NO CHANGE,2.4%
36118L106,FUTU,FUTU HLDGS LTD,11000,0,1.5M,0,NO CHANGE,1.5%
G9460G101,VAL,VALARIS LTD,14300,0,1.4M,0,NO CHANGE,1.4%
100557107,SAM,BOSTON BEER INC,4600,0,1.06M,0,NO CHANGE,1.1%
