CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
55306N104,MKSI,MKS INC.,456329,456329,104.87M,104.87M,NEW,14.5%
05605H100,BWXT,BWX TECHNOLOGIES INC,393200,393200,80.41M,80.41M,NEW,11.1%
880770102,TER,TERADYNE INC,196765,196765,58.33M,58.33M,NEW,8.1%
N07059210,ASML,ASML HLDG NV,24302,14802,32.1M,19.55M,+155.8%,4.4%
607828100,MOD,MODINE MFG CO,62700,62700,13.59M,13.59M,NEW,1.9%
594918104,MSFT,MICROSOFT CORP,26200,26200,9.7M,9.7M,NEW,1.3%
013872106,AA,ALCOA CORP,110062,110062,7.3M,7.3M,NEW,1%
007903107,AMD,ADVANCED MICRO DEVICES INC,106340,33540,21.63M,6.82M,+46.1%,3%
06849F108,B,BARRICK MNG CORP,140750,140750,5.74M,5.74M,NEW,0.79%
980745103,WWD,WOODWARD INC,13700,13700,4.9M,4.9M,NEW,0.68%
46591M109,JOYY,JOYY INC,27000,27000,1.58M,1.58M,NEW,0.22%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,125100,125100,1.16M,1.16M,NEW,0.16%
67066G104,NVDA,NVIDIA CORPORATION,31200,4100,5.44M,715.04K,+15.1%,0.75%
81141R100,SE,SEA LTD,15800,4300,1.31M,356.08K,+37.4%,0.18%
01609W102,BABA,ALIBABA GROUP HLDG LTD,43800,0,5.5M,0,NO CHANGE,0.76%
64110W102,NTES,NETEASE COM INC,12400,0,1.39M,0,NO CHANGE,0.19%
594972408,MSTR,STRATEGY INC,0,-17900,0,-2.72M,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,0,-12800,0,-2.89M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-39100,0,-3.32M,CLOSE,0%
04626A103,ALAB,ASTERA LABS INC,74280,-46700,8.14M,-5.12M,-38.6%,1.1%
19247G107,COHR,COHERENT CORP,0,-28800,0,-5.32M,CLOSE,0%
23703Q203,DQ,DAQO NEW ENERGY CORP,0,-202371,0,-5.97M,CLOSE,0%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,96100,-66169,9.02M,-6.21M,-40.8%,1.2%
82982T106,SITM,SITIME CORP,107695,-20694,37.19M,-7.15M,-16.1%,5.1%
874080104,TAL,TAL ED GROUP,161900,-637295,1.84M,-7.25M,-79.7%,0.25%
032654105,ADI,ANALOG DEVICES INC,29985,-28215,9.54M,-8.98M,-48.5%,1.3%
04280A100,ARWR,ARROWHEAD PHARMACEUTICALS IN,0,-266700,0,-17.71M,CLOSE,0%
032095101,APH,AMPHENOL CORP NEW,0,-190700,0,-25.77M,CLOSE,0%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,0,-464900,0,-35.29M,CLOSE,0%
097023105,BA,BOEING CO,0,-163900,0,-35.59M,CLOSE,0%
144285103,CRS,CARPENTER TECHNOLOGY CORP,25000,-91200,9.85M,-35.95M,-78.5%,1.4%
950915108,WRD,WERIDE INC,0,-4175181,0,-36.24M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,0,-239800,0,-38.85M,CLOSE,0%
58933Y105,MRK,MERCK & CO INC,0,-420400,0,-44.25M,CLOSE,0%
H5919C104,ONON,ON HLDG AG,1699520,-1364691,57.82M,-46.43M,-44.5%,8%
219350105,GLW,CORNING INC,0,-584500,0,-51.18M,CLOSE,0%
532457108,LLY,ELI LILLY & CO,0,-51300,0,-55.13M,CLOSE,0%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,101860,-168640,35.16M,-58.21M,-62.3%,4.9%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,32500,-186200,10.75M,-61.61M,-85.1%,1.5%
03831W108,APP,APPLOVIN CORP,0,-94010,0,-63.35M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,110850,-204090,37.46M,-68.97M,-64.8%,5.2%
11135F101,AVGO,BROADCOM INC,59285,-229395,18.35M,-71M,-79.5%,2.5%
91332U101,U,UNITY SOFTWARE INC,0,-1732002,0,-76.5M,CLOSE,0%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,110526,-418800,24.54M,-93M,-79.1%,3.4%
55024U109,LITE,LUMENTUM HLDGS INC,52800,-139400,37.11M,-97.96M,-72.5%,5.1%
80004C200,SNDK,SANDISK CORP,0,-431700,0,-102.48M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,129485,-390615,37.23M,-112.33M,-75.1%,5.1%
171779309,CIEN,CIENA CORP,89254,-571734,34.65M,-221.96M,-86.5%,4.8%
Total,,,,,723.6M,-1.19B,-67%,100%
