CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
722304102,PDD,PDD HOLDINGS INC,8149162,1366207,832.68M,139.6M,+20.1%,35.9%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,90000895,13384327,747.01M,111.09M,+17.5%,32.2%
52490G102,LEGN,LEGEND BIOTECH CORP,2296335,2296335,41.54M,41.54M,NEW,1.8%
48581R205,KSPI,KASPI KZ JSC,434350,321962,32.17M,23.85M,+286.5%,1.4%
81141R100,SE,SEA LTD,208963,208963,17.3M,17.3M,NEW,0.75%
25445D101,DDL,DINGDONG CAYMAN LTD,845952,845952,2.17M,2.17M,NEW,0.09%
98955N207,ZH,ZHIHU INC,551048,551048,1.56M,1.56M,NEW,0.07%
06684L103,BZUN,BAOZUN INC,444328,444328,1.06M,1.06M,NEW,0.05%
00851L103,API,AGORA INC,7700,-2200,27.26K,-7.79K,-22.2%,<.01%
65487X102,NOAH,NOAH HLDGS LTD,135988,-256539,1.35M,-2.54M,-65.4%,0.06%
74969N103,RLX,RLX TECHNOLOGY INC,60129671,-2734753,132.29M,-6.02M,-4.4%,5.7%
647581206,EDU,NEW ORIENTAL ED & TECHNOLOGY,8995258,-1110707,509.4M,-62.9M,-11%,22%
04965M106,ATAT,ATOUR LIFESTYLE HOLDINGS LTD,0,-5811104,0,-228.96M,CLOSE,0%
Total,,,,,2.32B,37.76M,+1.5%,100%
