CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
20464U100,COMP,COMPASS INC,2704973,2704973,19.77M,19.77M,NEW,4.2%
03076C106,AMP,AMERIPRISE FINL INC,38108,35508,16.94M,15.78M,+1365.7%,3.6%
H42097107,UBS,UBS GROUP AG,380240,327810,14.86M,12.81M,+625.2%,3.2%
337738108,FISV,FISERV INC,226780,221625,12.65M,12.37M,+4299.2%,2.7%
74164M108,PRI,PRIMERICA INC,56575,45426,14.17M,11.38M,+407.4%,3%
37940X102,GPN,GLOBAL PMTS INC,223870,80975,15.07M,5.45M,+56.7%,3.2%
74319R101,PRG,PROG HOLDINGS INC,125453,125453,3.6M,3.6M,NEW,0.77%
20112C106,CBK,COMMERCIAL BANCGROUP INC,126560,126560,3.29M,3.29M,NEW,0.7%
87240R107,TFSL,TFS FINL CORP,687800,217675,9.66M,3.06M,+46.3%,2.1%
67103X102,OFG,OFG BANCORP,307653,66257,12.45M,2.68M,+27.4%,2.7%
20786W107,CNOB,CONNECTONE BANCORP INC,396837,88350,10.62M,2.37M,+28.6%,2.3%
78442P106,SLM,SLM CORP,519549,108799,11.12M,2.33M,+26.5%,2.4%
860630102,SF,STIFEL FINL CORP,40500,28500,2.99M,2.11M,+237.5%,0.64%
929089100,VOYA,VOYA FINANCIAL INC,153275,28005,10.47M,1.91M,+22.4%,2.2%
23204G100,CUBI,CUSTOMERS BANCORP INC,191571,27241,13.3M,1.89M,+16.6%,2.8%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,68800,28000,4.61M,1.88M,+68.6%,0.98%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC D,10182,993,19.19M,1.87M,+10.8%,4.1%
852234103,XYZ,BLOCK INC,59655,28625,3.59M,1.72M,+92.2%,0.77%
957638109,WAL,WESTERN ALLIANCE BANCORP,152700,23335,10.82M,1.65M,+18%,2.3%
320209109,FFBC,1ST FINL BANCORP,353190,57100,9.85M,1.59M,+19.3%,2.1%
05990K106,BANC,BANC OF CALIFORNIA INC,349860,78150,6.15M,1.37M,+28.8%,1.3%
754730109,RJF,RAYMOND JAMES FINL INC,9253,9253,1.34M,1.34M,NEW,0.29%
14316J108,CG,CARLYLE GROUP INC,191195,27060,9.25M,1.31M,+16.5%,2%
92826C839,V,VISA INC,5891,3500,1.78M,1.06M,+146.4%,0.38%
902788108,UMBF,UMB FINL CORP,145380,9250,16.4M,1.04M,+6.8%,3.5%
37247D106,GNW,GENWORTH FINL INC,304833,120258,2.48M,976.49K,+65.2%,0.53%
05465C100,AX,AXOS FINANCIAL INC,186840,10500,15.9M,893.45K,+6%,3.4%
63938C108,NAVI,NAVIENT CORPORATION,196195,109000,1.6M,891.62K,+125%,0.34%
87165B103,SYF,SYNCHRONY FINANCIAL,25000,12400,1.7M,843.45K,+98.4%,0.36%
197641103,CLBK,COLUMBIA FINL INC,48015,48015,840.74K,840.74K,NEW,0.18%
950810101,WSBC,WESBANCO INC,60445,16475,2.08M,568.22K,+37.5%,0.44%
