CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287655,IWM,ISHARES RUSSELL 2000 ETF,954068,954068,236.61M,236.61M,NEW,3.2%
032095101,APH,AMPHENOL CORP-CL A,360500,360500,45.55M,45.55M,NEW,0.62%
05352A100,AVTR,AVANTOR INC,4917270,4372270,38.55M,34.28M,+802.3%,0.53%
682189105,ON,ON SEMICONDUCTOR,470000,470000,29.1M,29.1M,NEW,0.4%
901109108,TPC,TUTOR PERINI CORP,1250727,360812,96.54M,27.85M,+40.5%,1.3%
G0585R106,AGO,ASSURED GUARANTY LTD,245422,245422,20M,20M,NEW,0.27%
007903107,AMD,ADVANCED MICRO DEVICES,200000,95000,40.69M,19.33M,+90.5%,0.55%
071813109,BAX,BAXTER INTERNATIONAL INC,1564543,1118418,26.28M,18.79M,+250.7%,0.36%
013872106,AA,ALCOA CORP,253088,219694,16.79M,14.57M,+657.9%,0.23%
382550101,GT,GOODYEAR TIRE & RUBBER CO,2960011,2139442,19.62M,14.18M,+260.7%,0.27%
219350105,GLW,CORNING INC,400900,100000,54.51M,13.6M,+33.2%,0.74%
36828A101,GEV,GE VERNOVA INC,15000,15000,13.09M,13.09M,NEW,0.18%
20337X109,VISN,VISTANCE NETWORKS INC,655000,655000,11.92M,11.92M,NEW,0.16%
G9618E107,WTM,WHITE MOUNTAINS INSURANCE GP,37814,5294,83.08M,11.63M,+16.3%,1.1%
020764106,AMR,ALPHA METALLURGICAL RESOURCE,544148,50076,111.7M,10.28M,+10.1%,1.5%
37247D106,GNW,GENWORTH FINANCIAL INC,7698913,1213025,62.52M,9.85M,+18.7%,0.85%
G01767105,ALKS,ALKERMES PLC,263604,263604,9.32M,9.32M,NEW,0.13%
071734107,BHC,BAUSCH HEALTH COS INC,2969840,1671565,16.04M,9.03M,+128.8%,0.22%
037833100,AAPL,APPLE INC,70000,35000,17.77M,8.88M,+100%,0.24%
302491303,FMC,FMC CORP,1395000,495000,24.02M,8.52M,+55%,0.33%
858586100,SCL,STEPAN CO,165520,156435,8.27M,7.82M,+1721.9%,0.11%
65441V200,NINE,"NINE ENERGY SERVICE, INC.",784501,784501,6.43M,6.43M,NEW,0.09%
H8817H100,RIG,TRANSOCEAN LTD,11700000,910167,77.57M,6.03M,+8.4%,1.1%
097023105,BA,BOEING CO/THE,110000,28189,21.89M,5.61M,+34.5%,0.3%
29275Y102,ENS,ENERSYS,32186,32186,5.59M,5.59M,NEW,0.08%
86722A103,SXC,SUNCOKE ENERGY INC,2077114,605074,13.52M,3.94M,+41.1%,0.18%
59540G107,MPB,MID PENN BANCORP INC,108271,108271,3.48M,3.48M,NEW,0.05%
G33856108,GSM,FERROGLOBE PLC,912323,814326,3.76M,3.36M,+831%,0.05%
90278Q108,UFPI,UFP INDUSTRIES INC,375698,35000,34.61M,3.22M,+10.3%,0.47%
G01767106,ALKS,ALKERMES PLC,87869,87869,3.11M,3.11M,NEW,0.04%
81617J301,WTTR,SELECT WATER SOLUTIONS INC,715269,168960,10.94M,2.59M,+30.9%,0.15%
406216101,HAL,HALLIBURTON CO,977489,56389,38.11M,2.2M,+6.1%,0.52%
690742101,OC,OWENS CORNING,940522,18459,101.78M,2M,+2%,1.4%
576853105,MTRX,MATRIX SERVICE CO,1231307,173746,14.14M,1.99M,+16.4%,0.19%
806857108,SLB,SLB LTD,900000,30000,46.25M,1.54M,+3.4%,0.63%
92189H607,OIH,VANECK OIL SERVICES ETF,150000,3468,60.63M,1.4M,+2.4%,0.83%
05614L209,BW,BABCOCK & WILCOX ENTERPR,5126068,80000,75.3M,1.18M,+1.6%,1%
09624H208,BXC,BLUELINX HOLDINGS INC,739523,20530,40.07M,1.11M,+2.9%,0.55%
047649108,ATKR,ATKORE INC,400214,13013,23.58M,766.6K,+3.4%,0.32%
74348T102,PSEC,PROSPECT CAPITAL CORP,4009902,281583,10.47M,734.93K,+7.6%,0.14%
45768S105,IOSP,INNOSPEC INC,294504,9153,21.5M,668.35K,+3.2%,0.29%
23291C103,BOOM,DMC GLOBAL INC,1002790,100484,5.22M,523.52K,+11.1%,0.07%
84445C100,SLND,SOUTHLAND HOLDINGS INC,2280257,380317,2.96M,494.41K,+20%,0.04%
48253L205,KLXE,KLX ENERGY SERVICES HOLDING,1771108,18000,4.6M,46.8K,+1%,0.06%
683827208,OCC,OPTICAL CABLE CORP,417440,2100,3.44M,17.32K,+0.5%,0.05%
78464A870,XBI,SS SPDR S&P BIOTECH ETF,262278,0,33.5M,0,NO CHANGE,0.46%
550241103,LUMN,LUMEN TECHNOLOGIES INC,4761216,0,33.09M,0,NO CHANGE,0.45%
G6359F137,NBR,NABORS INDUSTRIES LTD,342799,0,29.5M,0,NO CHANGE,0.4%
830830105,SKY,CHAMPION HOMES INC,317097,0,23.58M,0,NO CHANGE,0.32%
G87110105,FTI,TECHNIPFMC PLC,320000,0,22.12M,0,NO CHANGE,0.3%
704551100,BTU,PEABODY ENERGY CORP,506614,0,16.69M,0,NO CHANGE,0.23%
83191H107,SND,SMART SAND INC,3126915,0,16.01M,0,NO CHANGE,0.22%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,75000,0,13.16M,0,NO CHANGE,0.18%
68628V308,ORN,ORION GROUP HOLDINGS INC,1104300,0,12.04M,0,NO CHANGE,0.16%
231021106,CMI,CUMMINS INC,22240,0,11.97M,0,NO CHANGE,0.16%
703343103,PATK,PATRICK INDUSTRIES INC,105088,0,11.67M,0,NO CHANGE,0.16%
21867A105,CLB,CORE LABORATORIES INC,648460,0,10.89M,0,NO CHANGE,0.15%
576690101,MTRN,MATERION CORP,71296,0,10.31M,0,NO CHANGE,0.14%
760281204,RBCAA,REPUBLIC BANCORP INC-CLASS A,142916,0,10.08M,0,NO CHANGE,0.14%
710577107,PEBK,PEOPLES BANCORP OF NC,217763,0,8.53M,0,NO CHANGE,0.12%
19247G107,COHR,COHERENT CORP,27627,0,6.58M,0,NO CHANGE,0.09%
33741H107,FUNC,FIRST UNITED CORP,178352,0,6.53M,0,NO CHANGE,0.09%
358435105,FRD,FRIEDMAN INDUSTRIES,354576,0,6.28M,0,NO CHANGE,0.09%
33744V103,FUSB,FIRST US BANCSHARES INC,397454,0,6.08M,0,NO CHANGE,0.08%
03074A102,ASRV,AMERISERV FINANCIAL INC,1635677,0,5.92M,0,NO CHANGE,0.08%
320866106,FMBH,FIRST MID BANCSHARES INC,137473,0,5.66M,0,NO CHANGE,0.08%
01446U103,ALRS,ALERUS FINANCIAL CORP,233700,0,5.54M,0,NO CHANGE,0.08%
174903104,CZWI,CITIZENS COMMUNITY BANCORP I,248319,0,4.92M,0,NO CHANGE,0.07%
45782B302,INSG,INSEEGO CORP,429301,0,4.77M,0,NO CHANGE,0.07%
170386106,COFS,CHOICEONE FINANCIAL SVCS INC,148548,0,4.18M,0,NO CHANGE,0.06%
46138G474,PSCE,INVESCO S&P SMALLCAP ENERGY,68469,0,4.17M,0,NO CHANGE,0.06%
913915104,UTI,UNIVERSAL TECHNICAL INSTITUT,91585,0,3.31M,0,NO CHANGE,0.05%
133034108,CAC,CAMDEN NATIONAL CORP,61269,0,2.91M,0,NO CHANGE,0.04%
05603E208,BVFL,BV FINANCIAL INC,141262,0,2.7M,0,NO CHANGE,0.04%
825107105,SHBI,SHORE BANCSHARES INC,136840,0,2.56M,0,NO CHANGE,0.03%
78408D105,SBFG,SB FINANCIAL GROUP INC,46286,0,972.01K,0,NO CHANGE,0.01%
095825105,BRBS,BLUE RIDGE BANKSHARES INC,214608,0,901.35K,0,NO CHANGE,0.01%
31931U102,FRBA,FIRST BANK/HAMILTON NJ,48939,0,783.02K,0,NO CHANGE,0.01%
458665304,TILE,INTERFACE INC,25000,0,623K,0,NO CHANGE,<.01%
178867107,CIVB,CIVISTA BANCSHARES INC,10000,0,227.9K,0,NO CHANGE,<.01%
87876P201,TGEN,TECOGEN INC/WALTHAM MA,245541,-50000,628.59K,-128K,-16.9%,<.01%
26205E107,DTI,DRILLING TOOLS INTERNATIONAL,2409059,-30678,10.43M,-132.84K,-1.3%,0.14%
974637100,WGO,WINNEBAGO INDUSTRIES,163684,-6901,5.07M,-213.86K,-4%,0.07%
31447P100,FENC,FENNEC PHARMACEUTICALS INC,83024,-56535,510.6K,-347.69K,-40.5%,<.01%
53115L104,LBRT,LIBERTY ENERGY INC,750000,-21289,21.6M,-613.12K,-2.8%,0.29%
023139884,OSG,OCTAVE SPECIALTY GROUP INC,1413212,-156260,6.57M,-726.61K,-10%,0.09%
457651107,INVX,INNOVEX INTERNATIONAL INC,356460,-35851,8.69M,-874.41K,-9.1%,0.12%
88162F105,TTI,TETRA TECHNOLOGIES INC,2776088,-109456,23.65M,-932.57K,-3.8%,0.32%
595112103,MU,MICRON TECHNOLOGY INC,140000,-3373,47.3M,-1.14M,-2.4%,0.64%
33733E807,FCG,FIRST TRUST NATURAL GAS ETF,900000,-43874,28.52M,-1.39M,-4.6%,0.39%
608190104,MHK,MOHAWK INDUSTRIES INC,425347,-20322,41.88M,-2M,-4.6%,0.57%
26884L109,EQT,EQT CORP,320000,-31863,20.36M,-2.03M,-9.1%,0.28%
444859102,HUM,HUMANA INC,24057,-11943,4.17M,-2.07M,-33.2%,0.06%
958102105,WDC,WESTERN DIGITAL CORP,200009,-10180,54.1M,-2.75M,-4.8%,0.74%
218937100,CNR,CORE NATURAL RESOURCES INC,150000,-30749,15.71M,-3.22M,-17%,0.21%
44951W106,IESC,IES HOLDINGS INC,10340248,-8159,4.93B,-3.89M,-0.1%,67.1%
45579U109,INDV,INDIVIOR PHARMACEUTICALS INC,1096343,-194234,33.42M,-5.92M,-15.1%,0.46%
62955J103,NOV,NOV INC,240330,-99367,17.45M,-7.21M,-29.3%,0.24%
44951J105,IROQ,IF BANCORP INC,0,-326179,0,-8.79M,CLOSE,0%
80004C200,SNDK,SANDISK CORP,150000,-15449,95.3M,-9.82M,-9.3%,1.3%
678026105,OIS,OIL STATES INTERNATIONAL INC,298317,-1266952,3.47M,-14.75M,-80.9%,0.05%
Y2573F102,FLEX,FLEX LTD,400000,-276448,26.18M,-18.1M,-40.9%,0.36%
502160104,LXU,LSB INDUSTRIES INC,0,-2134130,0,-18.14M,CLOSE,0%
G29687103,AVDL,AVADEL PHARMACEUTICALS,0,-4769357,0,-102.78M,CLOSE,0%
Total,,,,,7.34B,424.27M,+7.4%,100%
