CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03831W108,APP,APPLOVIN CORP,35620,29420,14.18M,11.71M,+474.5%,10.5%
146869102,CVNA,CARVANA CO,248646,36550,78.17M,11.49M,+17.2%,58%
81141R100,SE,SEA LTD,147068,32500,12.18M,2.69M,+28.4%,9%
00827B106,AFRM,AFFIRM HLDGS INC,39301,39301,1.8M,1.8M,NEW,1.3%
48138M105,JMIA,JUMIA TECHNOLOGIES AG,844086,191057,5.82M,1.32M,+29.3%,4.3%
68280L101,ONEW,ONEWATER MARINE INC,634421,70587,6M,667.05K,+12.5%,4.4%
25809K105,DASH,DOORDASH INC,21412,2500,3.22M,375.38K,+13.2%,2.4%
88338K103,STKS,THE ONE GROUP HOSPITALITY INC,649126,55505,1.16M,98.8K,+9.4%,0.86%
687793109,OSCR,OSCAR HEALTH INC,240000,-5000,2.75M,-57.35K,-2%,2%
G6683N103,NU,NU HLDGS LTD,522400,-62000,7.51M,-890.94K,-10.6%,5.6%
G3730V105,FTAI,FTAI AVIATION LTD,8010,-14290,1.96M,-3.5M,-64.1%,1.5%
023135106,AMZN,AMAZON COM INC,0,-24500,0,-5.66M,CLOSE,0%
22266T109,CPNG,COUPANG INC,0,-373285,0,-8.81M,CLOSE,0%
Total,,,,,134.74M,11.24M,+7%,100%
