CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92189F676,SMH,VANECK ETF TRUST,536200,536200,205.58M,205.58M,NEW,35.6%
74743L100,Q,QNITY ELECTRONICS INC,400725,400725,46.24M,46.24M,NEW,8%
458140100,INTC,INTEL CORP,699810,699810,30.88M,30.88M,NEW,5.3%
80004C200,SNDK,SANDISK CORP,68714,28859,43.66M,18.34M,+72.4%,7.6%
21873S108,CRWV,COREWEAVE INC,208300,208300,16.14M,16.14M,NEW,2.8%
55306N104,MKSI,MKS INC.,52765,52765,12.13M,12.13M,NEW,2.1%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,52400,52400,11.64M,11.64M,NEW,2%
219350105,GLW,CORNING INC,84210,84210,11.45M,11.45M,NEW,2%
199908104,FIX,COMFORT SYS USA INC,5570,5570,7.68M,7.68M,NEW,1.3%
G3323L100,FN,FABRINET,14250,14250,7.43M,7.43M,NEW,1.3%
88080T104,WULF,TERAWULF INC,341010,341010,4.92M,4.92M,NEW,0.85%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,85990,85990,4.86M,4.86M,NEW,0.84%
023939101,AMTM,AMENTUM HOLDINGS INC,178500,178500,4.66M,4.66M,NEW,0.81%
M7516K103,NVMI,NOVA LTD,9160,9160,3.98M,3.98M,NEW,0.69%
44812J104,HUT,HUT 8 CORP,83710,83710,3.93M,3.93M,NEW,0.68%
654902204,NOK,NOKIA CORP,479500,479500,3.86M,3.86M,NEW,0.67%
859241101,STRL,STERLING INFRASTRUCTURE INC,8300,8300,3.38M,3.38M,NEW,0.58%
18915M107,NET,CLOUDFLARE INC,16080,16080,3.32M,3.32M,NEW,0.57%
366505105,GTX,GARRETT MOTION INC,133000,133000,2.42M,2.42M,NEW,0.42%
267475101,DY,DYCOM INDS INC,6720,6720,2.28M,2.28M,NEW,0.39%
576323109,MTZ,MASTEC INC,31140,6915,10.02M,2.22M,+28.5%,1.7%
05722G100,BKR,BAKER HUGHES COMPANY,28753,28753,1.76M,1.76M,NEW,0.3%
155923105,CTRI,CENTURI HOLDINGS INC,54000,54000,1.58M,1.58M,NEW,0.27%
315616102,FFIV,F5 INC,5100,5100,1.48M,1.48M,NEW,0.26%
020398707,ALM,ALMONTY INDS INC,100800,100800,1.46M,1.46M,NEW,0.25%
36165L108,GDS,GDS HLDGS LTD,32500,32500,1.31M,1.31M,NEW,0.23%
03214Q108,AMPX,AMPRIUS TECHNOLOGIES INC,71850,71850,1.21M,1.21M,NEW,0.21%
29355A107,ENPH,ENPHASE ENERGY INC,17500,17500,661.67K,661.67K,NEW,0.11%
23804L103,DDOG,DATADOG INC,13464,4614,1.59M,544.68K,+52.1%,0.27%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,6798,480,1.92M,135.54K,+7.6%,0.33%
767292105,RIOT,RIOT PLATFORMS INC,214020,0,2.65M,0,NO CHANGE,0.46%
N14506104,ESTC,ELASTIC N V,23562,0,1.18M,0,NO CHANGE,0.2%
42328V876,HSDT,SOLANA CO,435983,0,754.25K,0,NO CHANGE,0.13%
87305R109,TTMI,TTM TECHNOLOGIES INC,31500,-3000,3.07M,-292.26K,-8.7%,0.53%
73933G202,PSIX,POWER SOLUTIONS INTL INC,100876,-7250,6.14M,-441.38K,-6.7%,1.1%
512807306,LRCX,LAM RESEARCH CORP,24844,-2430,5.31M,-519.19K,-8.9%,0.92%
26853E102,EH,EHANG HLDGS LTD,138831,-59200,1.35M,-574.83K,-29.9%,0.23%
300426103,ECG,EVERUS CONSTR GROUP,18180,-8180,2.15M,-965.73K,-31%,0.37%
820014405,SBET,SHARPLINK GAMING INC,0,-108100,0,-966.41K,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,62422,-47100,1.37M,-1.03M,-43%,0.24%
833445109,SNOW,SNOWFLAKE INC,5425,-7400,818.2K,-1.12M,-57.7%,0.14%
M7S64H106,MNDY,MONDAY COM LTD,0,-8105,0,-1.2M,CLOSE,0%
M6191J100,FROG,JFROG LTD,0,-20400,0,-1.27M,CLOSE,0%
093712107,BE,BLOOM ENERGY CORP,0,-15850,0,-1.38M,CLOSE,0%
871607107,SNPS,SYNOPSYS INC,2765,-3695,1.1M,-1.46M,-57.2%,0.19%
29084Q100,EME,EMCOR GROUP INC,2775,-2050,2.05M,-1.51M,-42.5%,0.35%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,0,-62850,0,-1.66M,CLOSE,0%
34379V103,FLNC,FLUENCE ENERGY INC,0,-87700,0,-1.73M,CLOSE,0%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,218100,-26260,16.61M,-2M,-10.7%,2.9%
314911108,FRMI,FERMI INC,0,-272800,0,-2.18M,CLOSE,0%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,0,-9700,0,-2.48M,CLOSE,0%
55405W104,MYRG,MYR GROUP INC,7335,-8800,2.07M,-2.48M,-54.5%,0.36%
171779309,CIEN,CIENA CORP,63629,-6456,24.7M,-2.51M,-9.2%,4.3%
12541W209,CHRW,C H ROBINSON WORLDWIDE INC,0,-18730,0,-3.01M,CLOSE,0%
880770102,TER,TERADYNE INC,0,-15700,0,-3.04M,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,0,-20285,0,-3.27M,CLOSE,0%
