CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
85207K107,PSLV,SPROTT ASSET MANAGEMENT LP,12853471,12611729,313.5M,307.6M,+5217%,4.8%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,436397,436397,283.81M,283.81M,NEW,4.3%
88160R101,TSLA,TESLA INC,1400346,569433,520.58M,211.69M,+68.5%,7.9%
85208R101,CEF,SPROTT ASSET MANAGEMENT LP,3464915,3464915,165.35M,165.35M,NEW,2.5%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,620444,331500,209.68M,112.03M,+114.7%,3.2%
30303M102,META,META PLATFORMS INC,226108,186631,129.36M,106.78M,+472.8%,2%
68389X105,ORCL,ORACLE CORP,722220,722220,106.25M,106.25M,NEW,1.6%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,4332641,2624274,166.46M,100.82M,+153.6%,2.5%
02079K305,GOOGL,ALPHABET INC,337290,261748,96.99M,75.27M,+346.5%,1.5%
85207H104,PHYS,SPROTT ASSET MANAGEMENT LP,2449218,2037133,86.8M,72.2M,+494.3%,1.3%
N07059210,ASML,ASML HLDG NV,51869,51869,68.51M,68.51M,NEW,1%
55024U109,LITE,LUMENTUM HLDGS INC,93519,93519,65.72M,65.72M,NEW,1%
92189F106,GDX,VANECK ETF TRUST,697975,646817,64.05M,59.36M,+1264.4%,0.97%
023135106,AMZN,AMAZON COM INC,265722,265722,55.34M,55.34M,NEW,0.84%
80004C200,SNDK,SANDISK CORP,145842,85731,92.66M,54.47M,+142.6%,1.4%
46438R105,ETHA,ISHARES ETHEREUM TR,4404430,3323087,69.72M,52.6M,+307.3%,1.1%
74350P675,SQQQ,PROSHARES TR,809094,588799,65.12M,47.39M,+267.3%,0.99%
38964R203,ETH,GRAYSCALE ETHEREUM STAKING,2255767,2255767,44.8M,44.8M,NEW,0.68%
22160K105,COST,COSTCO WHOLESALE CORPORATION,43605,43605,43.45M,43.45M,NEW,0.66%
773903109,ROK,ROCKWELL AUTOMATION INC,126717,115044,45.48M,41.29M,+985.6%,0.69%
007903107,AMD,ADVANCED MICRO DEVICES INC,305221,198710,62.09M,40.42M,+186.6%,0.94%
949746101,WFC,WELLS FARGO & CO,451139,451139,35.92M,35.92M,NEW,0.54%
339750101,FND,FLOOR & DECOR HLDGS INC,836951,689366,42.52M,35.02M,+467.1%,0.64%
70450Y103,PYPL,PAYPAL HLDGS INC,915528,761444,41.41M,34.44M,+494.2%,0.63%
