CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC CL A,22107,22107,12.65M,12.65M,NEW,21.3%
023135106,AMZN,AMAZON COM INC COM,47968,47968,9.99M,9.99M,NEW,16.8%
595112103,MU,MICRON TECHNOLOGY INC COM,33500,29000,11.32M,9.8M,+644.4%,19.1%
67066G104,NVDA,NVIDIA CORPORATION COM,54000,54000,9.42M,9.42M,NEW,15.9%
19247G107,COHR,COHERENT CORP COM,37847,37847,9.02M,9.02M,NEW,15.2%
55024U109,LITE,LUMENTUM HLDGS INC COM,3000,3000,2.11M,2.11M,NEW,3.6%
21037T109,CEG,CONSTELLATION ENERGY CORP COM,7500,7500,2.09M,2.09M,NEW,3.5%
458140100,INTC,INTEL CORP COM,20835,20835,919.45K,919.45K,NEW,1.5%
26142V105,DKNG,DRAFTKINGS INC NEW,0,-18684,0,-643.85K,CLOSE,0%
44812J104,HUT,HUT 8 CORP,0,-15294,0,-702.61K,CLOSE,0%
67079K100,SMR,NUSCALE PWR CORP,0,-104738,0,-1.48M,CLOSE,0%
771049103,RBLX,ROBLOX CORP,0,-29430,0,-2.38M,CLOSE,0%
21873S108,CRWV,COREWEAVE INC,0,-45000,0,-3.22M,CLOSE,0%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-51800,0,-4.34M,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,-29000,0,-5.15M,CLOSE,0%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC COM,10014,-61486,847.08K,-5.2M,-86%,1.4%
21874A106,CORZ,CORE SCIENTIFIC INC NEW COM,65273,-449769,976.48K,-6.73M,-87.3%,1.6%
171779309,CIEN,CIENA CORP,0,-30000,0,-7.02M,CLOSE,0%
15101Q207,CLS,CELESTICA INC,0,-27250,0,-8.06M,CLOSE,0%
88160R101,TSLA,TESLA INC,0,-21000,0,-9.44M,CLOSE,0%
770700102,HOOD,ROBINHOOD MKTS INC,0,-110443,0,-12.49M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-140000,0,-13.13M,CLOSE,0%
093712107,BE,BLOOM ENERGY CORP,0,-156125,0,-13.57M,CLOSE,0%
Total,,,,,59.33M,-37.57M,-40.4%,100%
