CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,631430,624570,213.39M,211.07M,+9104.5%,36%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,102784,102784,40.27M,40.27M,NEW,6.8%
172573107,CRCL,CIRCLE INTERNET GROUP INC,1327930,77960,126.7M,7.44M,+6.2%,21.4%
92864M798,ETHU,VOLATILITY SHS TR,141500,129200,3.16M,2.89M,+1050.4%,0.53%
N07059210,ASML,ASML HLDG NV,1140,1140,1.51M,1.51M,NEW,0.25%
090040106,BILI,BILIBILI INC,159780,33700,3.6M,760.27K,+26.7%,0.61%
M2573A106,ZOOZ,ZOOZ STRATEGY LTD,8000000,0,2.41M,0,NO CHANGE,0.41%
458140100,INTC,INTEL CORP,0,-12520,0,-461.99K,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,0,-4180,0,-1.13M,CLOSE,0%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,0,-135200,0,-1.45M,CLOSE,0%
443201108,HWM,HOWMET AEROSPACE INC,0,-7900,0,-1.62M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-16500,0,-1.87M,CLOSE,0%
66981J102,MNSO,MINISO GROUP HLDG LTD,0,-2290675,0,-42.95M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-247300,0,-48.2M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,164040,-313150,28.61M,-54.61M,-65.6%,4.8%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,0,-1481837,0,-58.38M,CLOSE,0%
518439104,EL,LAUDER ESTEE COS INC,0,-1400800,0,-146.69M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,441100,-822800,126.84M,-236.6M,-65.1%,21.4%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,319820,-1715410,46.78M,-250.93M,-84.3%,7.9%
Total,,,,,593.27M,-580.98M,-46.2%,100%
