CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92528V200,VMET,VERSAMET ROYALTIES CORP,1400000,1400000,13.28M,13.28M,NEW,3.6%
921078101,OUNZ,VANECK MERK GOLD ETF,34200,11333,1.54M,510.55K,+49.6%,0.42%
68634K106,ORLA,ORLA MNG LTD NEW,6200000,0,100.01M,0,NO CHANGE,27.2%
29446Y502,EQX,EQUINOX GOLD CORP,4900000,0,70.76M,0,NO CHANGE,19.2%
011532108,AGI,ALAMOS GOLD INC,450000,0,19.99M,0,NO CHANGE,5.4%
59124U605,MTA,METALLA RTY & STREAMING LTD,3000000,0,19.89M,0,NO CHANGE,5.4%
008474108,AEM,AGNICO EAGLE MINES LTD,80000,0,16.24M,0,NO CHANGE,4.4%
11777Q209,BTG,B2GOLD CORP,2000000,0,9.06M,0,NO CHANGE,2.5%
64440N103,NFGC,NEW FOUND GOLD CORP,4750000,0,8.88M,0,NO CHANGE,2.4%
45826T509,ITRG,INTEGRA RES CORP,2562526,0,6.99M,0,NO CHANGE,1.9%
03062D803,USAS,AMERICAS GOLD AND SILVER COR,19392000,-4037000,101.22M,-21.07M,-17.2%,27.5%
Total,,,,,367.87M,-7.28M,-2%,100%
