CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
052769106,ADSK,AUTODESK INC,30524,30524,7.31M,7.31M,NEW,5.6%
05464C101,AXON,AXON ENTERPRISE INC,15931,15931,6.77M,6.77M,NEW,5.2%
68389X105,ORCL,ORACLE CORP,42117,42117,6.2M,6.2M,NEW,4.7%
G16258108,BEP,BROOKFIELD RENEWABLE ENERGY,172167,172167,5.62M,5.62M,NEW,4.3%
46120E602,ISRG,INTUITIVE SURGICAL INC,10612,10612,4.89M,4.89M,NEW,3.7%
79466L302,CRM,SALESFORCE INC,25356,25356,4.73M,4.73M,NEW,3.6%
82509L107,SHOP,SHOPIFY INC,39574,39574,4.69M,4.69M,NEW,3.6%
81762P102,NOW,SERVICENOW INC,44638,44638,4.67M,4.67M,NEW,3.6%
67066G104,NVDA,NVIDIA CORPORATION,52919,16483,9.23M,2.87M,+45.2%,7.1%
64110L106,NFLX,NETFLIX INC.,68042,7410,6.54M,712.47K,+12.2%,5%
617446448,MS,MORGAN STANLEY,48922,2064,8.05M,339.67K,+4.4%,6.2%
38141G104,GS,GOLDMAN SACHS GROUP INC,9326,-817,7.89M,-691.17K,-8.1%,6%
88160R101,TSLA,TESLA INC,99165,-6081,36.86M,-2.26M,-5.8%,28.2%
278768106,SATS,ECHOSTAR CORP,62042,-27899,7.26M,-3.27M,-31%,5.6%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,-21504,0,-6.53M,CLOSE,0%
983134107,WYNN,WYNN RESORTS LTD,0,-59911,0,-7.21M,CLOSE,0%
448579102,H,HYATT HOTELS CORP,0,-45659,0,-7.32M,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-54335,0,-7.96M,CLOSE,0%
02079K107,GOOG,ALPHABET INC,0,-26986,0,-8.47M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,47315,-43139,9.85M,-8.98M,-47.7%,7.5%
Total,,,,,130.57M,-3.9M,-2.7%,100%
