CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
192108504,CDE,COEUR MNG INC,1662133,933962,31.2M,17.53M,+128.3%,9.4%
536797103,LAD,LITHIA MTRS INC,75241,67069,18.79M,16.75M,+820.7%,5.7%
45826T509,ITRG,INTEGRA RES CORP,3536056,3536056,9.65M,9.65M,NEW,2.9%
57808L305,MFG,MAYFAIR GOLD CORP,2438552,2438552,7.55M,7.55M,NEW,2.3%
69047Q102,OVV,OVINTIV INC,132252,114052,7.85M,6.77M,+626.7%,2.4%
15135U109,CVE,CENOVUS ENERGY INC,174700,174700,4.63M,4.63M,NEW,1.4%
46655E100,DC,DAKOTA GOLD CORP,2005427,524542,10.13M,2.65M,+35.4%,3.1%
09570Q509,MOON,BLUE MOON METALS INC,244866,244866,1.6M,1.6M,NEW,0.48%
46620W201,JILL,J JILL INC,115865,115865,1.33M,1.33M,NEW,0.4%
577345101,MLP,MAUI LD & PINEAPPLE INC,212218,77799,3.27M,1.2M,+57.9%,0.99%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,7900,7900,668.26K,668.26K,NEW,0.2%
48251K100,KREF,KKR REAL ESTATE FIN TR INC,1119822,28002,6.85M,171.37K,+2.6%,2.1%
040712101,ARKR,ARK RESTAURANTS CORP,114946,7619,754.05K,49.98K,+7.1%,0.23%
85207K107,PSLV,SPROTT ASSET MANAGEMENT LP,419082,0,10.22M,0,NO CHANGE,3.1%
68828E809,ODV,OSISKO DEVELOPMENT CORP,2000000,0,6.5M,0,NO CHANGE,2%
G7633M104,DRDB,ROMAN DBDR ACQUISITION CORP,130026,0,1.36M,0,NO CHANGE,0.41%
464286400,EWZ,ISHARES INC,15600,0,598.88K,0,NO CHANGE,0.18%
60743G118,MOBXW,MOBIX LABS INC,30093,0,3.76K,0,NO CHANGE,<.01%
G7633M112,DRDBW,ROMAN DBDR ACQUISITION CORP,165217,-100,35.09K,-21.24,-0.1%,0.01%
G6791A118,OTGAW,OTG ACQUISITION CORP. I,80822,-36693,20.21K,-9.18K,-31.2%,<.01%
44955L155,IAUX,I-80 GOLD CORP,12857543,-142456,12.34M,-136.74K,-1.1%,3.7%
92859G608,VZLA,VIZSLA SILVER CORP,1050567,-93285,3.47M,-307.84K,-8.2%,1%
156492100,CNTY,CENTURY CASINOS INC,1931668,-247907,2.69M,-344.59K,-11.4%,0.81%
82575P107,SBSW,SIBANYE STILLWATER LTD,120666,-29434,1.49M,-362.63K,-19.6%,0.45%
714266103,PPTA,PERPETUA RESOURCES CORP,47649,-14384,1.34M,-404.48K,-23.2%,0.41%
011532108,AGI,ALAMOS GOLD INC,39132,-9273,1.74M,-412K,-19.2%,0.53%
07556Q881,BZH,BEAZER HOMES USA INC,600677,-25717,11.56M,-494.8K,-4.1%,3.5%
44952J104,CRGY,CRESCENT ENERGY COMPANY,175035,-42868,2.36M,-578.72K,-19.7%,0.71%
152006102,CGAU,CENTERRA GOLD INC,0,-40818,0,-586.55K,CLOSE,0%
87266M107,TRTX,TPG RE FIN TR INC,312898,-76176,2.44M,-594.93K,-19.6%,0.74%
00489Q102,ACR,ACRES COMMERCIAL REALTY CORP,187283,-37690,3.62M,-728.17K,-16.8%,1.1%
G6791A100,OTGA,OTG ACQUISITION CORP. I,161644,-73386,1.63M,-738.26K,-31.2%,0.49%
78574H104,SOC,SABLE OFFSHORE CORP,0,-83005,0,-748.7K,CLOSE,0%
03784Y200,APLE,APPLE HOSPITALITY REIT INC,405027,-74549,4.66M,-858.06K,-15.5%,1.4%
44955L106,IAUX,I-80 GOLD CORP,22177102,-693267,33.71M,-1.05M,-3%,10.2%
070830104,BBWI,BATH & BODY WORKS INC,0,-59017,0,-1.19M,CLOSE,0%
532275104,LWLG,LIGHTWAVE LOGIC INC,575198,-174802,4.04M,-1.23M,-23.3%,1.2%
