CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO,39100,39100,12.29M,12.29M,NEW,8.9%
30303M102,META,META PLATFORMS INC,20500,19250,11.73M,11.01M,+1540%,8.5%
19247G107,COHR,COHERENT CORP,22700,22700,5.41M,5.41M,NEW,3.9%
79589L106,IOT,SAMSARA INC,167779,167779,5.32M,5.32M,NEW,3.9%
595112103,MU,MICRON TECHNOLOGY INC,15530,15530,5.25M,5.25M,NEW,3.8%
82509L107,SHOP,SHOPIFY INC,38700,38700,4.59M,4.59M,NEW,3.3%
833445109,SNOW,SNOWFLAKE INC,33600,29800,5.07M,4.49M,+784.2%,3.7%
60937P106,MDB,MONGODB INC,18300,18300,4.48M,4.48M,NEW,3.3%
458140100,INTC,INTEL CORP,168000,80000,7.41M,3.53M,+90.9%,5.4%
781154109,RBRK,RUBRIK INC.,111000,55400,5.44M,2.71M,+99.6%,4%
683344105,ONTO,ONTO INNOVATION INC,10500,10500,2.15M,2.15M,NEW,1.6%
00246W103,AXTI,AXT INC,29000,29000,1.65M,1.65M,NEW,1.2%
02079K305,GOOGL,ALPHABET INC,65700,0,18.89M,0,NO CHANGE,13.7%
G6683N103,NU,NU HLDGS LTD,1684000,-42000,24.2M,-603.54K,-2.4%,17.6%
81762P102,NOW,SERVICENOW INC,43500,-9900,4.55M,-1.04M,-18.5%,3.3%
M7S64H106,MNDY,MONDAY COM LTD,0,-17800,0,-2.63M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,5445,-4255,3.83M,-2.99M,-43.9%,2.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,23000,-9500,7.77M,-3.21M,-29.2%,5.7%
81141R100,SE,SEA LTD,0,-41000,0,-5.23M,CLOSE,0%
25809K105,DASH,DOORDASH INC,0,-34500,0,-7.81M,CLOSE,0%
58733R102,MELI,MERCADOLIBRE INC,0,-4200,0,-8.46M,CLOSE,0%
22266T109,CPNG,COUPANG INC,0,-360000,0,-8.49M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,43000,-50200,7.5M,-8.75M,-53.9%,5.5%
023135106,AMZN,AMAZON COM INC,0,-72400,0,-16.71M,CLOSE,0%
Total,,,,,137.52M,-3.04M,-2.1%,100%
