CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
79466L302,CRM,SALESFORCE INC,30000,30000,5.6M,5.6M,NEW,2.6%
74347M108,PUMP,PROPETRO HLDG CORP,862485,179482,12.43M,2.59M,+26.3%,5.8%
90353T100,UBER,UBER TECHNOLOGIES INC,391550,27000,28.16M,1.94M,+7.4%,13.2%
35671D857,FCX,FREEPORT MCMORAN INC,527755,0,31.02M,0,NO CHANGE,14.5%
023135106,AMZN,AMAZON COM INC,91250,0,19M,0,NO CHANGE,8.9%
64125C109,NBIX,NEUROCRINE BIOSCIENCES INC,138802,0,18.29M,0,NO CHANGE,8.5%
24703L202,DELL,DELL TECHNOLOGIES INC,97552,0,16.01M,0,NO CHANGE,7.5%
25179M103,DVN,DEVON ENERGY CORP NEW,177491,0,8.93M,0,NO CHANGE,4.2%
651639106,NEM,NEWMONT CORP,50000,0,5.41M,0,NO CHANGE,2.5%
02079K305,GOOGL,ALPHABET INC,15000,0,4.31M,0,NO CHANGE,2%
20825C104,COP,CONOCOPHILLIPS,31000,0,4.09M,0,NO CHANGE,1.9%
61945C103,MOS,MOSAIC CO,35000,0,892.5K,0,NO CHANGE,0.42%
70450Y103,PYPL,PAYPAL HLDGS INC,0,-9000,0,-525.42K,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,176800,-38000,59.73M,-12.84M,-17.7%,27.9%
Total,,,,,213.89M,-3.23M,-1.6%,100%
