CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03676C100,ATEX,ANTERIX INC,135000,135000,5.16M,5.16M,NEW,3.6%
29772L108,ETON,ETON PHARMACEUTICALS INC,185000,185000,4.57M,4.57M,NEW,3.2%
16411R208,LNG,CHENIERE ENERGY INC,15000,15000,4.26M,4.26M,NEW,3%
682189105,ON,ON SEMICONDUCTOR CORP,57500,57500,3.56M,3.56M,NEW,2.5%
501270102,KRUS,KURA SUSHI USA INC,50000,50000,3.49M,3.49M,NEW,2.5%
64110L106,NFLX,NETFLIX INC.,60200,27500,5.79M,2.64M,+84.1%,4.1%
578605107,MEC,MAYVILLE ENGR CO INC,140000,140000,2.51M,2.51M,NEW,1.8%
97785W106,WOLF,WOLFSPEED INC,140000,140000,2.28M,2.28M,NEW,1.6%
733245104,PRCH,PORCH GROUP INC,269900,269900,1.94M,1.94M,NEW,1.4%
90138F102,TWLO,TWILIO INC,55689,15000,7.01M,1.89M,+36.9%,4.9%
532457108,LLY,ELI LILLY & CO,5231,1950,4.81M,1.79M,+59.4%,3.4%
433313103,HNGE,HINGE HEALTH INC,45000,45000,1.74M,1.74M,NEW,1.2%
25278X109,FANG,DIAMONDBACK ENERGY INC,7500,7500,1.48M,1.48M,NEW,1%
G65773106,NAT,NORDIC AMERICAN TANKERS LIMI,225000,225000,1.32M,1.32M,NEW,0.93%
753040104,ROC,RANK ONE COMPUTING CORP,175000,175000,1.22M,1.22M,NEW,0.86%
125141101,CECO,CECO ENVIRONMENTAL CORP,66566,20000,3.97M,1.19M,+42.9%,2.8%
855244109,SBUX,STARBUCKS CORP,10100,10100,904.86K,904.86K,NEW,0.64%
610236101,MNRO,MONRO INC,178663,35000,2.87M,561.4K,+24.4%,2%
778920306,SHAZ,SHARONAI HOLDINGS INC,20000,20000,454.6K,454.6K,NEW,0.32%
74587B101,PLSE,PULSE BIOSCIENCES INC,58054,20000,1.25M,431.8K,+52.6%,0.88%
60741F104,MBLY,MOBILEYE GLOBAL INC,50000,50000,343.5K,343.5K,NEW,0.24%
64134X201,NRXS,NEURAXIS INC,190000,25000,1.41M,185K,+15.2%,0.99%
30049H102,EVLV,EVOLV TECHNOLOGIES HLDNGS IN,133619,25000,808.39K,151.25K,+23%,0.57%
70614W100,PTON,PELOTON INTERACTIVE INC,531629,30000,2.28M,128.7K,+6%,1.6%
09352U108,BLND,BLEND LABS INC,772689,75000,1.31M,127.5K,+10.7%,0.92%
B5950S113,MDXH,MDXHEALTH SA,238668,0,548.94K,0,NO CHANGE,0.39%
093712107,BE,BLOOM ENERGY CORP,0,-2500,0,-217.22K,CLOSE,0%
40637H109,HALO,HALOZYME THERAPEUTICS INC,116416,-6000,7.52M,-387.78K,-4.9%,5.3%
023135106,AMZN,AMAZON COM INC,34251,-2000,7.13M,-416.54K,-5.5%,5%
532275104,LWLG,LIGHTWAVE LOGIC INC,75000,-75000,527.25K,-527.25K,-50%,0.37%
16935C109,CHYM,CHIME FINL INC,0,-25000,0,-629.25K,CLOSE,0%
099406100,BOOT,BOOT BARN HLDGS INC,28104,-6000,4.11M,-878.16K,-17.6%,2.9%
651718504,NPKI,NPK INTERNATIONAL INC,127754,-75000,1.85M,-1.09M,-37%,1.3%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-18500,0,-1.55M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,9501,-11000,1.43M,-1.66M,-53.7%,1%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,0,-50000,0,-1.85M,CLOSE,0%
59356Q108,MIAX,MIAMI INTL HLDGS INC,0,-46087,0,-2.05M,CLOSE,0%
94419L101,W,WAYFAIR INC,66227,-27500,4.98M,-2.07M,-29.3%,3.5%
33829M101,FIVE,FIVE BELOW INC,39298,-10500,8.98M,-2.4M,-21.1%,6.3%
G4766E116,INDV,INDIVIOR PLC,0,-75035,0,-2.69M,CLOSE,0%
778296103,ROST,ROSS STORES INC,0,-15000,0,-2.7M,CLOSE,0%
336433107,FSLR,FIRST SOLAR INC,0,-10364,0,-2.71M,CLOSE,0%
00827B106,AFRM,AFFIRM HLDGS INC,0,-45377,0,-3.38M,CLOSE,0%
10576N102,BRZE,BRAZE INC,0,-124652,0,-4.27M,CLOSE,0%
172967424,C,CITIGROUP INC,0,-36818,0,-4.3M,CLOSE,0%
G25508105,CRH,CRH PLC,0,-34748,0,-4.34M,CLOSE,0%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,0,-110000,0,-4.5M,CLOSE,0%
607828100,MOD,MODINE MFG CO,26240,-25000,5.69M,-5.42M,-48.8%,4%
02079K107,GOOG,ALPHABET INC,0,-18000,0,-5.65M,CLOSE,0%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,38476,-15400,15.07M,-6.03M,-28.6%,10.6%
67066G104,NVDA,NVIDIA CORPORATION,24986,-73100,4.36M,-12.75M,-74.5%,3.1%
55024U109,LITE,LUMENTUM HLDGS INC,19186,-32200,13.48M,-22.63M,-62.7%,9.5%
Total,,,,,142.42M,-52.75M,-30.2%,100%
