CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
34354P105,FLS,FLOWSERVE CORP,135000,135000,9.92M,9.92M,NEW,2.7%
594918104,MSFT,MICROSOFT CORP,99400,15000,36.79M,5.55M,+17.8%,10.2%
92537N108,VRT,VERTIV HOLDINGS CO,109000,0,27.31M,0,NO CHANGE,7.6%
G4124C117,GRABW,GRAB HOLDINGS LIMITED,80000,0,6.5K,0,NO CHANGE,<.01%
023135106,AMZN,AMAZON COM INC,117000,-4000,24.37M,-833.08K,-3.3%,6.7%
82846H405,QXO,QXO INC,492000,-51000,9.55M,-990.42K,-9.4%,2.6%
920253101,VMI,VALMONT INDS INC,30000,-3120,11.99M,-1.25M,-9.4%,3.3%
12510Q100,CCC,CCC INTELLIGENT SOLUTIONS HL,2420086,-251416,14.52M,-1.51M,-9.4%,4%
36828A101,GEV,GE VERNOVA INC,20500,-2100,17.89M,-1.83M,-9.3%,5%
893641100,TDG,TRANSDIGM GROUP INC,16771,-1700,19.44M,-1.97M,-9.2%,5.4%
03674X106,AR,ANTERO RESOURCES CORP,480000,-50000,20.37M,-2.12M,-9.4%,5.6%
165167735,EXE,EXPAND ENERGY CORPORATION,196000,-20200,21.52M,-2.22M,-9.3%,6%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,635000,-65000,48.36M,-4.95M,-9.3%,13.4%
71385M107,PRM,PERIMETER SOLUTIONS INC,938250,-254750,22.91M,-6.22M,-21.4%,6.3%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,1110000,-430495,16.61M,-6.44M,-27.9%,4.6%
02079K305,GOOGL,ALPHABET INC,53900,-38100,15.5M,-10.96M,-41.4%,4.3%
278768106,SATS,ECHOSTAR CORP,375401,-357358,43.95M,-41.84M,-48.8%,12.2%
Total,,,,,361.01M,-67.65M,-16.5%,100%
