CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
023135106,AMZN,AMAZON COM INC,121300,59000,25.26M,12.29M,+94.7%,12.7%
82846H405,QXO,QXO INC,795000,580000,15.44M,11.26M,+269.8%,7.8%
34354P105,FLS,FLOWSERVE CORP,125000,125000,9.19M,9.19M,NEW,4.6%
368736104,GNRC,GENERAC HLDGS INC,32000,32000,6.25M,6.25M,NEW,3.1%
594918104,MSFT,MICROSOFT CORP,67600,15000,25.02M,5.55M,+28.5%,12.6%
612160101,AIRJ,AIRJOULE TECHNOLOGIES CORP,2181532,2181532,5.48M,5.48M,NEW,2.8%
N07059210,ASML,ASML HLDG NV,12000,0,15.85M,0,NO CHANGE,8%
920253101,VMI,VALMONT INDS INC,33000,0,13.19M,0,NO CHANGE,6.6%
03674X106,AR,ANTERO RESOURCES CORP,213269,0,9.05M,0,NO CHANGE,4.6%
165167735,EXE,EXPAND ENERGY CORPORATION,69700,0,7.65M,0,NO CHANGE,3.8%
893641100,TDG,TRANSDIGM GROUP INC,6200,0,7.19M,0,NO CHANGE,3.6%
02079K305,GOOGL,ALPHABET INC,20100,0,5.78M,0,NO CHANGE,2.9%
92537N108,VRT,VERTIV HOLDINGS CO,10800,0,2.71M,0,NO CHANGE,1.4%
651718504,NPKI,NPK INTERNATIONAL INC,0,-1014221,0,-12.09M,CLOSE,0%
71385M107,PRM,PERIMETER SOLUTIONS INC,58737,-511301,1.43M,-12.49M,-89.7%,0.72%
278768106,ECHO,ECHOSTAR CORP,422000,-128000,49.4M,-14.98M,-23.3%,24.8%
Total,,,,,198.89M,10.46M,+5.5%,100%
