CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
058934100,BBAR,BANCO BBVA ARGENTINA S A,1739600,958700,27.94M,15.4M,+122.8%,10.8%
697660207,PAM,PAMPA ENERGIA SA,329500,116400,29.16M,10.3M,+54.6%,11.3%
500767306,KWEB,KRANESHARES TRUST,656300,161300,18.66M,4.59M,+32.6%,7.2%
05961W105,BMA,BANCO MACRO S A,172204,52600,13.32M,4.07M,+44%,5.2%
25460G195,YINN,DIREXION SHARES ETF TRUST,105000,105000,3.45M,3.45M,NEW,1.3%
01609W102,BABA,ALIBABA GROUP HLDG LTD,26000,26000,3.26M,3.26M,NEW,1.3%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,520500,69700,24.31M,3.26M,+15.5%,9.4%
46138K103,FXE,INVESCO CURRENCYSHARES EURO,19700,19700,2.1M,2.1M,NEW,0.81%
722304102,PDD,PDD HOLDINGS INC,20500,20500,2.09M,2.09M,NEW,0.81%
47215P106,JD,JD.COM INC,102000,60000,3.02M,1.77M,+142.9%,1.2%
58733R102,MELI,MERCADOLIBRE INC,700,600,1.21M,1.04M,+600%,0.47%
91324P102,UNH,UNITEDHEALTH GROUP INC,8600,3800,2.33M,1.03M,+79.2%,0.9%
090040106,BILI,BILIBILI INC,37000,37000,834.72K,834.72K,NEW,0.32%
40054A108,SUPV,GRUPO SUPERVIELLE S.A.,520500,86500,4.91M,815.7K,+19.9%,1.9%
594918104,MSFT,MICROSOFT CORP,3000,2200,1.11M,814.37K,+275%,0.43%
29244A102,EDN,EMPRESA DIST Y COMERCIAL NOR,77400,25000,2.32M,750.5K,+47.7%,0.9%
88034P109,TME,TENCENT MUSIC ENTMT GROUP,75000,75000,696K,696K,NEW,0.27%
L1995B107,CAAP,CORPORACION AMER ARPTS S A,74000,27500,1.87M,695.48K,+59.1%,0.72%
67066G104,NVDA,NVIDIA CORPORATION,5000,3900,872K,680.16K,+354.5%,0.34%
056752108,BIDU,BAIDU INC,6000,6000,668.52K,668.52K,NEW,0.26%
26922A842,JETS,ETF SER SOLUTIONS,25000,25000,615.75K,615.75K,NEW,0.24%
464287234,EEM,ISHARES TR,10000,10000,567.9K,567.9K,NEW,0.22%
92763W103,VIPS,VIPSHOP HLDGS LTD,33000,33000,518.76K,518.76K,NEW,0.2%
N3167Y103,RACE,FERRARI N V,1400,1400,473.83K,473.83K,NEW,0.18%
450047303,IRS,IRSA INVERSIONES Y REP S A,124551,27903,2.02M,452.31K,+28.9%,0.78%
64110L106,NFLX,NETFLIX INC.,4500,4500,432.68K,432.68K,NEW,0.17%
155038201,CEPU,CENTRAL PUERTO S A,150200,23200,2.53M,390.46K,+18.3%,0.98%
143658300,CCL,CARNIVAL CORP,15000,15000,388.2K,388.2K,NEW,0.15%
98422D105,XPEV,XPENG INC,22500,22500,384.98K,384.98K,NEW,0.15%
54150E104,LOMA,LOMA NEGRA C I A S A MTN 14,126000,34700,1.4M,384.82K,+38%,0.54%
464287655,IWM,ISHARES TR,1300,1300,322.4K,322.4K,NEW,0.12%
00214Q302,ARKG,ARK ETF TR,12000,12000,317.04K,317.04K,NEW,0.12%
02079K305,GOOGL,ALPHABET INC,1000,1000,287.56K,287.56K,NEW,0.11%
02376R102,AAL,AMERICAN AIRLINES GROUP INC,25000,25000,268.5K,268.5K,NEW,0.1%
580135101,MCD,MCDONALDS CORP,1900,700,590.5K,217.55K,+58.3%,0.23%
H5012F103,LAR,LITHIUM ARGENTINA AG,133000,31000,888.44K,207.08K,+30.4%,0.34%
G6683N103,NU,NU HLDGS LTD,27100,13500,389.43K,194K,+99.3%,0.15%
80105N105,SNY,SANOFI SA,10000,4000,481.8K,192.72K,+66.7%,0.19%
226406106,CRESY,CRESUD S A C I F Y A,149355,14534,1.9M,184.87K,+10.8%,0.73%
358029106,FMS,FRESENIUS MEDICAL CARE AG,15000,5000,338.4K,112.8K,+50%,0.13%
254687106,DIS,DISNEY WALT CO,9900,900,954.16K,86.74K,+10%,0.37%
893870204,TGS,TRANSPORTADORA DE GAS DEL SU,104800,2100,3.63M,72.68K,+2%,1.4%
91912E105,VALE,VALE S A,38800,3700,617.31K,58.87K,+10.5%,0.24%
50202M102,LI,LI AUTO INC,48000,3000,855.84K,53.49K,+6.7%,0.33%
05278C107,ATHM,AUTOHOME INC,13000,3000,225.81K,52.11K,+30%,0.09%
53681J103,LAC,LITHIUM AMERS CORP NEW,30000,5000,118.5K,19.75K,+20%,0.05%
717081103,PFE,PFIZER INC,25000,0,702K,0,NO CHANGE,0.27%
N20944109,CNH,CNH INDL N V,30000,0,330K,0,NO CHANGE,0.13%
