CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03676C100,ATEX,ANTERIX INC,499596,499596,19.08M,19.08M,NEW,9.2%
92333F101,VG,VENTURE GLOBAL INC,675000,675000,10.64M,10.64M,NEW,5.1%
78454L100,SM,SM ENERGY COMPANY,210000,210000,6.55M,6.55M,NEW,3.2%
03743Q108,APA,APA CORPORATION,140000,140000,5.94M,5.94M,NEW,2.9%
78574H104,SOC,SABLE OFFSHORE CORP,675000,325000,11.15M,5.37M,+92.9%,5.4%
163851108,CC,CHEMOURS CO,225000,225000,4.96M,4.96M,NEW,2.4%
60770K107,MRNA,MODERNA INC,220000,90000,11.18M,4.57M,+69.2%,5.4%
674599105,OXY,OCCIDENTAL PETE CORP,50000,50000,3.25M,3.25M,NEW,1.6%
278768106,ECHO,ECHOSTAR CORP,390000,25000,45.66M,2.93M,+6.8%,22%
218937100,CNR,CORE NATURAL RESOURCES INC,20000,20000,2.09M,2.09M,NEW,1%
750102105,RXT,RACKSPACE TECHNOLOGY INC,700000,700000,685.86K,685.86K,NEW,0.33%
300426103,ECG,EVERUS CONSTR GROUP,30000,0,3.54M,0,NO CHANGE,1.7%
550241103,LUMN,LUMEN TECHNOLOGIES INC,400000,0,2.78M,0,NO CHANGE,1.3%
35834F104,TE,T1 ENERGY INC,650000,-150000,2.85M,-658.5K,-18.8%,1.4%
457642205,INOD,INNODATA INC,275000,-55000,10.62M,-2.12M,-16.7%,5.1%
20337X109,VISN,COMMSCOPE HLDG CO INC,0,-150000,0,-2.72M,CLOSE,0%
52635N103,LENZ,LENZ THERAPEUTICS INC,0,-200000,0,-3.2M,CLOSE,0%
65345M108,NXDR,NEXTDOOR HOLDINGS INC,0,-2100000,0,-4.41M,CLOSE,0%
86771W105,RUN,SUNRUN INC,160000,-340000,2.17M,-4.61M,-68%,1%
N97284108,NBIS,NEBIUS GROUP N.V.,90000,-45000,9.34M,-4.67M,-33.3%,4.5%
65345N106,NN,NEXTNAV INC,1708000,-357818,27.36M,-5.73M,-17.3%,13.2%
03674X106,AR,ANTERO RESOURCES CORP,175000,-145000,7.43M,-6.15M,-45.3%,3.6%
G2130T108,CCCX,CHURCHILL CAP CORP X,0,-400000,0,-6.24M,CLOSE,0%
378973507,GSAT,GLOBALSTAR INC,70000,-95111,4.65M,-6.32M,-57.6%,2.2%
86800U302,SMCI,SUPER MICRO COMPUTER INC,0,-225000,0,-6.59M,CLOSE,0%
55087P104,LYFT,LYFT INC,0,-400000,0,-7.75M,CLOSE,0%
038169207,APLD,APPLIED DIGITAL CORP,640000,-360000,15.19M,-8.55M,-36%,7.3%
18467V109,YOU,CLEAR SECURE INC,0,-275000,0,-9.65M,CLOSE,0%
336433107,FSLR,FIRST SOLAR INC,0,-40000,0,-10.45M,CLOSE,0%
Total,,,,,207.11M,-23.75M,-10.5%,100%
