CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
931142103,WMT,WALMART INC,349720,313260,43.46M,38.93M,+859.2%,1.6%
30231G102,XOM,EXXON MOBIL CORP,131659,28255,22.34M,4.79M,+27.3%,0.82%
166764100,CVX,CHEVRON CORPORATION,80056,18090,16.56M,3.74M,+29.2%,0.61%
20825C104,COP,CONOCOPHILLIPS,49696,11883,6.56M,1.57M,+31.4%,0.24%
806857108,SLB,SLB LIMITED,85389,22386,4.39M,1.15M,+35.5%,0.16%
29479A108,ERAS,ERASCA INC,113216,62611,1.83M,1.01M,+123.7%,0.07%
192108504,CDE,COEUR MNG INC,130230,51822,2.44M,972.7K,+66.1%,0.09%
26875P101,EOG,EOG RES INC,25668,6701,3.71M,968.76K,+35.3%,0.14%
92537N108,VRT,VERTIV HOLDINGS CO,3841,3841,962.48K,962.48K,NEW,0.04%
91913Y100,VLO,VALERO ENERGY CORP,14428,3764,3.56M,930.01K,+35.3%,0.13%
91912E105,VALE,VALE S A,236031,58010,3.76M,922.94K,+32.6%,0.14%
969457100,WMB,WILLIAMS COS INC,50596,12537,3.68M,912.44K,+32.9%,0.14%
718546104,PSX,PHILLIPS 66,19060,4977,3.47M,906.71K,+35.3%,0.13%
14070B309,CAPR,CAPRICOR THERAPEUTICS INC,27958,27958,849.92K,849.92K,NEW,0.03%
56585A102,MPC,MARATHON PETE CORP,13954,3445,3.41M,841.2K,+32.8%,0.13%
651639106,NEM,NEWMONT CORP,136640,7556,14.79M,817.94K,+5.9%,0.54%
49456B101,KMI,KINDER MORGAN INC DEL,92608,24171,3.11M,810.45K,+35.3%,0.11%
03753U106,APLS,APELLIS PHARMACEUTICALS INC,81190,19358,3.27M,778.77K,+31.3%,0.12%
03770N101,APGE,APOGEE THERAPEUTICS INC,27121,8845,2.28M,744.48K,+48.4%,0.08%
G0593M107,AZN,ASTRAZENECA PLC,3600,3600,709.99K,709.99K,NEW,0.03%
682680103,OKE,ONEOK INC NEW,29764,7768,2.69M,702.15K,+35.3%,0.1%
465562106,ITUB,ITAU UNIBANCO HLDG S A,356049,83459,2.98M,699.39K,+30.6%,0.11%
254604101,IRON,DISC MEDICINE INC,23972,10494,1.53M,670.99K,+77.9%,0.06%
87612G101,TRGP,TARGA RES CORP,10153,2649,2.55M,664.18K,+35.3%,0.09%
71654V101,PBRA,PETROLEO BRASILEIRO S A,145197,35363,2.72M,663.06K,+32.2%,0.1%
71654V408,PBR,PETROLEO BRASILEIRO S A,122469,30105,2.54M,624.68K,+32.6%,0.09%
68062P106,OLMA,OLEMA PHARMACEUTICALS INC,58577,41196,873.38K,614.23K,+237%,0.03%
90240B106,TYRA,TYRA BIOSCIENCES INC,15656,15656,599.62K,599.62K,NEW,0.02%
45257U108,IMNM,IMMUNOME INC,69918,27218,1.53M,595.26K,+63.7%,0.06%
278768106,SATS,ECHOSTAR CORP,10645,5003,1.25M,585.7K,+88.7%,0.05%
406216101,HAL,HALLIBURTON CO,59262,15017,2.31M,585.51K,+33.9%,0.08%
674599105,OXY,OCCIDENTAL PETE CORP,34018,8878,2.21M,577.07K,+35.3%,0.08%
19240Q201,COGT,COGENT BIOSCIENCES INC,57051,14302,2.2M,550.48K,+33.5%,0.08%
40090E106,CIB,GRUPO CIBEST SA,7440,7440,541.71K,541.71K,NEW,0.02%
92337R101,VERA,VERA THERAPEUTICS INC,45472,13448,1.83M,541.01K,+42%,0.07%
G0250X149,AMCR,AMCOR PLC,13254,13254,526.85K,526.85K,NEW,0.02%
008474108,AEM,AGNICO EAGLE MINES LTD,54206,2584,11M,524.5K,+5%,0.4%
G6359F137,NBR,NABORS INDUSTRIES LTD,5907,5907,508.36K,508.36K,NEW,0.02%
904767803,UL,UNILEVER PLC,12126,8876,690.82K,505.67K,+273.1%,0.03%
92790C104,VRDN,VIRIDIAN THERAPEUTICS INC,63341,25827,1.24M,505.18K,+68.8%,0.05%
67080M103,NRIX,NURIX THERAPEUTICS INC,66993,32413,1.04M,502.4K,+93.7%,0.04%
26884L109,EQT,EQT CORP,29521,7709,1.88M,490.6K,+35.3%,0.07%
81642T209,SLS,SELLAS LIFE SCIENCES GROUP I,111794,111794,472.89K,472.89K,NEW,0.02%
92337F107,VCYT,VERACYTE INC,48774,14107,1.57M,454.39K,+40.7%,0.06%
98937L105,ZBIO,ZENAS BIOPHARMA INC,21416,21416,418.68K,418.68K,NEW,0.02%
03969K108,ARQT,ARCUTIS BIOTHERAPEUTICS INC,81743,17572,1.93M,414K,+27.4%,0.07%
984245100,YPF,YPF SOCIEDAD ANONIMA,8784,8784,406K,406K,NEW,0.01%
929033207,VOR,VOR BIOPHARMA INC,22015,22015,392.75K,392.75K,NEW,0.01%
45579U109,INDV,INDIVIOR PHARMACEUTICALS INC,12305,12305,375.06K,375.06K,NEW,0.01%
25179M103,DVN,DEVON ENERGY CORP NEW,29340,7413,1.48M,373.02K,+33.8%,0.05%
50015M109,KOD,KODIAK SCIENCES INC,31844,9752,1.21M,371.75K,+44.1%,0.04%
218352102,CORT,CORCEPT THERAPEUTICS INC,9174,9174,369.8K,369.8K,NEW,0.01%
558868105,MDGL,MADRIGAL PHARMACEUTICALS INC,4862,705,2.55M,369.05K,+17%,0.09%
02390A101,AMX,AMERICA MOVIL SAB DE CV,59474,14443,1.52M,368.01K,+32.1%,0.06%
79589L106,IOT,SAMSARA INC,11496,11496,364.31K,364.31K,NEW,0.01%
61225M102,GLUE,MONTE ROSA THERAPEUTICS INC,46684,21465,767.95K,353.1K,+85.1%,0.03%
344419106,FMX,FOMENTO ECONOMICO MEXICANO S,11309,3144,1.26M,349.17K,+38.5%,0.05%
88262P102,TPL,TEXAS PACIFIC LAND CORPORATI,2740,714,1.3M,338.84K,+35.2%,0.05%
398182303,AHR,AMERICAN HEALTHCARE REIT INC,7162,7162,337.76K,337.76K,NEW,0.01%
72348N109,PNFP,PINNACLE FINL PARTNERS INC,3872,3872,333.53K,333.53K,NEW,0.01%
925550105,VIAV,VIAVI SOLUTIONS INC,9832,9832,327.21K,327.21K,NEW,0.01%
127097103,CTRA,COTERRA ENERGY INC,35885,9270,1.26M,325.75K,+34.8%,0.05%
962879102,WPM,WHEATON PRECIOUS METALS CORP,49121,2483,6.44M,325.3K,+5.3%,0.24%
90400D108,RARE,ULTRAGENYX PHARMACEUTICAL IN,72108,15484,1.51M,324.39K,+27.3%,0.06%
06849F108,B,BARRICK MNG CORP,181254,7917,7.39M,322.93K,+4.6%,0.27%
