CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,55286,4802,14.03M,1.22M,+9.5%,4.5%
45409F843,MMIN,NEW YORK LIFE INVTS ACTIVE E,67562,32885,1.6M,779.71K,+94.8%,0.51%
33738R704,AIRR,FIRST TR EXCHANGE TRADED FD,6231,6231,690.27K,690.27K,NEW,0.22%
92647X764,GFLW,VICTORY PORTFOLIOS II,34812,25993,915.41K,683.5K,+294.7%,0.29%
33735B108,FNX,FIRST TR EXCHANGE-TRADED ALP,7071,5174,906.8K,663.53K,+272.7%,0.29%
46654Q716,JBND,J P MORGAN EXCHANGE TRADED F,15471,9692,831.88K,521.14K,+167.7%,0.27%
46138G649,QQQM,INVESCO EXCH TRADED FD TR II,16961,1914,4.03M,454.8K,+12.7%,1.3%
46654Q609,JGRO,J P MORGAN EXCHANGE TRADED F,38521,4562,3.26M,385.58K,+13.4%,1%
594918104,MSFT,MICROSOFT CORP,14963,897,5.54M,332.04K,+6.4%,1.8%
46138G631,QQQJ,INVESCO EXCH TRADED FD TR II,132207,8793,4.79M,318.39K,+7.1%,1.5%
125269100,CF,CF INDUSTRIES HOLD,2331,2331,302.61K,302.61K,NEW,0.1%
025072885,AVUS,AMERICAN CENTY ETF TR,2499,2499,277.84K,277.84K,NEW,0.09%
98149E303,GLDM,WORLD GOLD TR,104119,2924,9.65M,271.02K,+2.9%,3.1%
80004C200,SNDK,SANDISK CORP,425,425,270.02K,270.02K,NEW,0.09%
828806109,SPG,SIMON PPTY GROUP INC NEW,1415,1415,263.97K,263.97K,NEW,0.08%
69374H428,FLRT,PACER FDS TR,5302,5302,245.54K,245.54K,NEW,0.08%
30231G102,XOM,EXXON MOBIL CORP,1437,1437,243.79K,243.79K,NEW,0.08%
87612E106,TGT,TARGET CORP,1943,1943,235.54K,235.54K,NEW,0.08%
33734X143,FXH,FIRST TR EXCHANGE-TRADED FD,2142,2142,235.13K,235.13K,NEW,0.07%
58933Y105,MRK,MERCK & CO INC,1921,1921,231.03K,231.03K,NEW,0.07%
032095101,APH,AMPHENOL CORP,1736,1736,219.34K,219.34K,NEW,0.07%
26884L109,EQT,EQT CORP,3426,3426,218.03K,218.03K,NEW,0.07%
464287440,IEF,ISHARES TR,25224,2162,2.41M,206.34K,+9.4%,0.77%
717081103,PFE,PFIZER INC,7192,7192,201.94K,201.94K,NEW,0.06%
46641Q134,JIRE,J P MORGAN EXCHANGE TRADED F,33805,2416,2.56M,182.99K,+7.7%,0.82%
33737A108,GRID,FIRST TR EXCHANGE-TRADED FD,2407,1067,393.74K,174.54K,+79.6%,0.13%
478160104,JNJ,JOHNSON & JOHNSON,3450,693,843.22K,169.38K,+25.1%,0.27%
369604301,GE,GE AEROSPACE,3767,515,1.07M,146.15K,+15.8%,0.34%
81369Y886,XLU,SELECT SECTOR SPDR TR,28465,3173,1.31M,145.61K,+12.5%,0.42%
64110L106,NFLX,NETFLIX INC.,15549,1499,1.5M,144.13K,+10.7%,0.48%
023135106,AMZN,AMAZON COM INC,49962,672,10.41M,139.96K,+1.4%,3.3%
464288760,ITA,ISHARES TR,5559,616,1.22M,134.76K,+12.5%,0.39%
46428Q109,SLV,ISHARES SILVER TR,6710,1771,457.22K,120.68K,+35.9%,0.15%
79466L302,CRM,SALESFORCE INC,2846,410,531.26K,76.53K,+16.8%,0.17%
36828A101,GEV,GE VERNOVA INC,3666,87,3.2M,75.93K,+2.4%,1%
92826C839,V,VISA INC,23295,223,7.04M,67.4K,+1%,2.2%
007903107,AMD,ADVANCED MICRO DEVICES INC,25979,296,5.28M,60.22K,+1.2%,1.7%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,1681,217,407.36K,52.59K,+14.8%,0.13%
742718109,PG,PROCTER & GAMBLE CO,2365,313,341.56K,45.2K,+15.3%,0.11%
02079K305,GOOGL,ALPHABET INC,29549,128,8.5M,36.81K,+0.4%,2.7%
863667101,SYK,STRYKER CORPORATION,965,108,317.11K,35.49K,+12.6%,0.1%
808513105,SCHW,SCHWAB CHARLES CORP,3918,357,368.19K,33.55K,+10%,0.12%
81369Y308,XLP,SELECT SECTOR SPDR TR,12868,319,1.05M,26.15K,+2.5%,0.34%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,1815,125,348.33K,23.99K,+7.4%,0.11%
24703L202,DELL,DELL TECHNOLOGIES INC,1863,141,305.78K,23.14K,+8.2%,0.1%
74762E102,PWR,QUANTA SVCS INC,1884,40,1.03M,21.96K,+2.2%,0.33%
756158101,UTG,REAVES UTIL INCOME FD,7785,545,305.78K,21.41K,+7.5%,0.1%
78463V107,GLD,SPDR GOLD TR,1992,47,857.14K,20.22K,+2.4%,0.27%
464287457,SHY,ISHARES TR,7775,234,641.97K,19.32K,+3.1%,0.2%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,9153,500,346.33K,18.92K,+5.8%,0.11%
78467X109,DIA,STATE STR SPDR DOW JONES IND,3716,40,1.72M,18.53K,+1.1%,0.55%
81369Y407,XLY,SELECT SECTOR SPDR TR,12504,159,1.36M,17.33K,+1.3%,0.43%
09255P107,HYT,BLACKROCK CORPOR HI YLD FD I,28260,1969,240.77K,16.78K,+7.5%,0.08%
92840M102,VST,VISTRA CORP,1387,109,208.56K,16.39K,+8.5%,0.07%
681936100,OHI,OMEGA HEALTHCARE INVS INC,5000,330,219.11K,14.46K,+7.1%,0.07%
149123101,CAT,CATERPILLAR INC,3038,20,2.15M,14.17K,+0.7%,0.69%
097023105,BA,BOEING CO,1248,71,248.44K,14.13K,+6%,0.08%
N07059210,ASML,ASML HLDG NV,313,9,413.42K,11.89K,+3%,0.13%
90353T100,UBER,UBER TECHNOLOGIES INC,4367,161,314.12K,11.58K,+3.8%,0.1%
00214Q104,ARKK,ARK ETF TR,31328,167,2.12M,11.29K,+0.5%,0.68%
