CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,45539,43350,16.86M,16.05M,+1980.4%,1.3%
45676K103,INFQ,INFLEQTION INC,1254220,1254220,12.3M,12.3M,NEW,0.97%
46090E103,QQQ,INVESCO QQQ TR,63495,20685,36.65M,11.94M,+48.3%,2.9%
03152W109,FOLD,AMICUS THERAPEUTIC,699301,699301,10.11M,10.11M,NEW,0.8%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,273538,273538,9.8M,9.8M,NEW,0.77%
68389X204,ORCLPR,ORACLE CORP,175000,175000,8.02M,8.02M,NEW,0.63%
G73944103,RAAQ,REAL ASSET ACQUISITION CORP,762685,762685,8.01M,8.01M,NEW,0.63%
G9TY5A101,ZURA,ZURA BIO LTD,1310593,1310593,7.8M,7.8M,NEW,0.62%
55955D100,MGNI,MAGNITE INC,453910,392617,5.39M,4.66M,+640.6%,0.43%
38141G104,GS,GOLDMAN SACHS GROUP INC,56302,4529,47.63M,3.83M,+8.7%,3.8%
037833100,AAPL,APPLE INC,90765,14428,23.04M,3.66M,+18.9%,1.8%
M0854Q105,ALLT,ALLOT LTD,5598293,535770,37.28M,3.57M,+10.6%,2.9%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,4696,4696,3.05M,3.05M,NEW,0.24%
57808L305,MFG,MAYFAIR GOLD CORP,909999,909999,2.67M,2.67M,NEW,0.21%
143130102,KMX,CARMAX INC,260903,30903,10.85M,1.28M,+13.4%,0.86%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,3640,3640,1.23M,1.23M,NEW,0.1%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,4295,4295,1.19M,1.19M,NEW,0.09%
038222105,AMAT,APPLIED MATLS INC,3286,3286,1.12M,1.12M,NEW,0.09%
48251W104,KKR,KKR & CO INC,11245,11245,1.04M,1.04M,NEW,0.08%
09260D107,BX,BLACKSTONE INC,8958,8958,1.03M,1.03M,NEW,0.08%
03990B101,ARES,ARES MANAGEMENT CORPORATION,9219,9219,1.01M,1.01M,NEW,0.08%
205826209,CMTL,COMTECH TELECOMMUNICATIONS C,1694467,302115,5.34M,952.87K,+21.7%,0.42%
25809K105,DASH,DOORDASH INC,16109,6323,2.42M,949.4K,+64.6%,0.19%
80004C200,SNDK,SANDISK CORP,1360,1360,864.06K,864.06K,NEW,0.07%
697435105,PANW,PALO ALTO NETWORKS INC,6362,4820,1.02M,772.74K,+312.6%,0.08%
871607107,SNPS,SYNOPSYS INC,7551,1672,2.99M,662.91K,+28.4%,0.24%
219350105,GLW,CORNING INC,4164,4164,566.18K,566.18K,NEW,0.04%
007903107,AMD,ADVANCED MICRO DEVICES INC,7533,2711,1.53M,551.5K,+56.2%,0.12%
833445109,SNOW,SNOWFLAKE INC,3287,3287,495.75K,495.75K,NEW,0.04%
18915M107,NET,CLOUDFLARE INC,2290,2290,472.52K,472.52K,NEW,0.04%
02079K107,GOOG,ALPHABET INC,1527,1527,438.04K,438.04K,NEW,0.03%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,2887,2887,422.31K,422.31K,NEW,0.03%
09261X102,BXSL,BLACKSTONE SECD LENDING FD,249634,17416,5.91M,412.59K,+7.5%,0.47%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,1025,1025,400.17K,400.17K,NEW,0.03%
750917106,RMBS,RAMBUS INC DEL,4648,4648,399.87K,399.87K,NEW,0.03%
032095101,APH,AMPHENOL CORP,2780,2780,351.25K,351.25K,NEW,0.03%
02079K305,GOOGL,ALPHABET INC,5008,1105,1.44M,317.75K,+28.3%,0.11%
55024U109,LITE,LUMENTUM HLDGS INC,444,444,312.02K,312.02K,NEW,0.02%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,2372,2372,272.42K,272.42K,NEW,0.02%
55405Y100,MTSI,MACOM TECH SOLUTIONS HLDGS I,4640,1106,1.03M,245.61K,+31.3%,0.08%
64031N108,NNI,NELNET INC,231414,1749,29.84M,225.55K,+0.8%,2.4%
45676K111,INFQ,INFLEQTION INC,50000,50000,221.25K,221.25K,NEW,0.02%
98980G102,ZS,ZSCALER INC,1459,1459,204.68K,204.68K,NEW,0.02%
