CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92840M102,VST,VISTRA CORP,100000,100000,15.03M,15.03M,NEW,10.5%
03674X106,AR,ANTERO RESOURCES CORP,257862,257862,10.94M,10.94M,NEW,7.6%
65342K105,NEXT,NEXTDECADE CORP,1339723,739723,10.26M,5.67M,+123.3%,7.1%
125269100,CF,CF INDUSTRIES HOLD,38289,38289,4.97M,4.97M,NEW,3.5%
65341B106,XIFR,XPLR INFRASTRUCTURE LP,2538720,438720,26.96M,4.66M,+20.9%,18.8%
87422Q109,TLN,TALEN ENERGY CORP,22509,12509,7.19M,3.99M,+125.1%,5%
46578C108,IE,IVANHOE ELECTRIC INC,1240225,290200,14.66M,3.43M,+30.5%,10.2%
88080T104,WULF,TERAWULF INC,212370,212370,3.06M,3.06M,NEW,2.1%
44812J104,HUT,HUT 8 CORP,63534,45534,2.98M,2.14M,+253%,2.1%
05603J108,BKV,BKV CORP,19000,19000,541.88K,541.88K,NEW,0.38%
21037T109,CEG,CONSTELLATION ENERGY CORP,0,-4500,0,-1.59M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,0,-17500,0,-2.84M,CLOSE,0%
00130H105,AES,AES CORP,0,-300000,0,-4.3M,CLOSE,0%
13321L108,CCJ,CAMECO CORP,78192,-51808,8.49M,-5.63M,-39.9%,5.9%
969457100,WMB,WILLIAMS COS INC,162000,-166000,11.79M,-12.08M,-50.6%,8.2%
50012A108,KGS,KODIAK GAS SVCS INC,458000,-638000,26.71M,-37.21M,-58.2%,18.6%
Total,,,,,143.6M,-9.2M,-7.3%,100%
