CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G3265R107,APTV,APTIV PLC,173500,130209,10.65M,7.99M,+300.8%,3.6%
337738108,FISV,FISERV INC,304259,112344,14.92M,5.51M,+58.5%,5.1%
79466L302,CRM,SALESFORCE INC,18770,18770,2.95M,2.95M,NEW,1%
G5960L103,MDT,MEDTRONIC PLC,132354,27404,10.45M,2.16M,+26.1%,3.5%
61945C103,MOS,MOSAIC CO,576178,76071,12.21M,1.61M,+15.2%,4.1%
651639106,NEM,NEWMONT CORP,204381,15536,19.09M,1.45M,+8.2%,6.5%
92840M102,VST,VISTRA CORP,115429,6615,18.31M,1.05M,+6.1%,6.2%
43849R105,HONA,HONEYWELL AEROSPACE INC,4650,4650,1.03M,1.03M,NEW,0.35%
20030N101,CMCSA,COMCAST CORP NEW,371600,41016,9.12M,1.01M,+12.4%,3.1%
03674X106,AR,ANTERO RESOURCES CORP,430421,25441,15.12M,894K,+6.3%,5.1%
747525103,QCOM,QUALCOMM INC,69658,2528,12.87M,467.15K,+3.8%,4.4%
166764100,CVX,CHEVRON CORPORATION,119041,2632,19.73M,436.28K,+2.3%,6.7%
806857108,SLB,SLB LIMITED,235875,9160,11.03M,428.47K,+4%,3.7%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,208145,5700,11.99M,328.43K,+2.8%,4.1%
125523100,CI,THE CIGNA GROUP,48944,1127,13.49M,310.69K,+2.4%,4.6%
00287Y109,ABBV,ABBVIE INC,25047,92,6.3M,23.15K,+0.4%,2.1%
126650100,CVS,CVS HEALTH CORP,148962,8,15.41M,827.6,+0%,5.2%
037833100,AAPL,APPLE INC,900,-100,260.42K,-28.94K,-10%,0.09%
67077M108,NTR,NUTRIEN LTD,163823,-3306,10.4M,-209.97K,-2%,3.5%
460146103,IP,INTERNATIONAL PAPER CO,0,-9000,0,-321.3K,CLOSE,0%
G9600F104,VGNT,VERSIGENT LTD,0,-10592,0,-337.36K,CLOSE,0%
H11356104,BG,BUNGE GLOBAL SA,53993,-4877,5.76M,-520.52K,-8.3%,2%
02079K305,GOOGL,ALPHABET INC,41430,-1477,14.81M,-527.84K,-3.4%,5%
26875P101,EOG,EOG RES INC,7518,-5105,975.31K,-662.27K,-40.4%,0.33%
438516205,HON,HONEYWELL INTL INC,4650,-4760,1.04M,-1.07M,-50.6%,0.35%
00724F101,ADBE,ADOBE INC,0,-7795,0,-1.89M,CLOSE,0%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,659,-4022,329.76K,-2.01M,-85.9%,0.11%
925815102,VICR,VICOR CORP,150277,-51356,57.07M,-19.5M,-25.5%,19.3%
Total,,,,,295.34M,565.89K,+0.2%,100%
