CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
52476L109,LGN,LEGENCE CORP,425628,425628,36.28M,36.28M,NEW,1.3%
054540208,ACLS,AXCELIS TECHNOLOGIES INC,219443,172031,41.57M,32.59M,+362.8%,1.5%
81725T100,SXT,SENSIENT TECHNOLOGIES CORP,235343,235343,29.02M,29.02M,NEW,1%
880779103,TEX,TEREX CORP NEW,356029,356029,25.77M,25.77M,NEW,0.91%
218352102,CORT,CORCEPT THERAPEUTICS INC,464902,285295,40.42M,24.81M,+158.8%,1.4%
45867G101,IDCC,INTERDIGITAL INC PA COM,148255,87579,41.98M,24.8M,+144.3%,1.5%
42704L104,HRI,HERC HOLDINGS INC,168972,168972,24.22M,24.22M,NEW,0.85%
57776J100,MXL,MAXLINEAR INC CLASS A,182695,182695,23.39M,23.39M,NEW,0.82%
576690101,MTRN,MATERION CORP,61247,61247,18.21M,18.21M,NEW,0.64%
14154A102,CDNL,CARDINAL INFRASTRUCTURE GROUP,549297,190234,51.74M,17.92M,+53%,1.8%
651718504,NPKI,NPK INTERNATIONAL INC,1074368,1074368,17.09M,17.09M,NEW,0.6%
125141101,CECO,CECO ENVIRONMENTAL CORP,471220,157215,42.76M,14.27M,+50.1%,1.5%
023193105,AMBQ,AMBIQ MICRO INC,159131,159131,14.05M,14.05M,NEW,0.49%
433000106,HIMS,HIMS & HERS HEALTH INC,398842,398842,13.83M,13.83M,NEW,0.49%
31846B108,FA,FIRST ADVANTAGE CORP,1425858,753142,25.74M,13.59M,+112%,0.9%
74982T103,RXO,RXO INC,761015,485083,21M,13.38M,+175.8%,0.74%
252828108,DNTH,DIANTHUS THERAPEUTICS INC,131018,131018,12.77M,12.77M,NEW,0.45%
922967104,MANE,VERADERMICS INC,209924,100641,25.81M,12.37M,+92.1%,0.91%
23282W605,CYTK,CYTOKENETICS INC,279769,144305,23.83M,12.29M,+106.5%,0.84%
01748X102,ALGT,ALLEGIANT TRAVEL CO,313661,101836,36.89M,11.98M,+48.1%,1.3%
254543101,DIOD,DIODES INCORPORATED,221380,107283,24.23M,11.74M,+94%,0.85%
010911105,ALMR,ALAMAR BIOSCIENCES INC,422127,422127,11.44M,11.44M,NEW,0.4%
53190C102,LTH,LIFETIME GROUP HOLDINGS INC,632840,277348,25.85M,11.33M,+78%,0.91%
099406100,BOOT,BOOT BARN HOLDINGS INC,197079,67819,32.37M,11.14M,+52.5%,1.1%
902788108,UMBF,UMB FINANCIAL CORP,235696,77079,33.65M,11M,+48.6%,1.2%
532257805,LPTH,LIGHTPATH TECHNOLOGIES INC,607882,607882,9.94M,9.94M,NEW,0.35%
729132100,PLXS,PLEXUS CORP,134746,32468,40.51M,9.76M,+31.7%,1.4%
739276103,POWI,POWER INTEGRATIONS INC,172196,110902,14.42M,9.29M,+180.9%,0.51%
26740W109,QBTS,D-WAVE QUANTUM INC,744084,385444,17.85M,9.25M,+107.5%,0.63%
20464U100,COMP,COMPASS INC,2185814,723131,26.95M,8.92M,+49.4%,0.95%
090168105,BLLN,BILLIONTOONE INC,203990,71784,24.47M,8.61M,+54.3%,0.86%
358039105,FRPT,FRESHPET INC,446119,145187,26.37M,8.58M,+48.2%,0.93%
000361105,AIR,AAR CORPORATION,337416,57159,48.23M,8.17M,+20.4%,1.7%
00847J105,AGYS,AGILYSYS INC,277666,71809,29.02M,7.5M,+34.9%,1%
96524T101,WHK,WHITEHAWK MINERALS CORP,263810,263810,7.34M,7.34M,NEW,0.26%
83418M103,SEI,SOLARIS ENERGY INFRASTRUCTURE INC,405313,90531,32.61M,7.28M,+28.8%,1.1%
92790C104,VRDN,VIRIDIAN THERAPEUTICS INC,395546,395546,7.27M,7.27M,NEW,0.26%
681116109,OLLI,OLLIE'S BARGAIN OUTLET HOLDINGS,290675,93202,22.35M,7.17M,+47.2%,0.79%
00835T107,AVEX,AEVEX CORP,341108,341108,7.13M,7.13M,NEW,0.25%
63845R107,EYE,NATIONAL VISION HOLDINGS,1298228,360688,24.68M,6.86M,+38.5%,0.87%
23834J201,DAVE,DAVE INC,19894,17416,7.41M,6.49M,+702.8%,0.26%
296315104,ESE,ESCO TECHNOLOGIES INC,116457,17955,40.76M,6.28M,+18.2%,1.4%
24477V105,DFTX,DEFINIUM THERAPEUTICS INC,121249,121249,5.7M,5.7M,NEW,0.2%
G037AX101,AMBA,AMBARELLA INC,65731,65731,5.64M,5.64M,NEW,0.2%
31943F200,FCBM,FIRST CAROLINA FINANCIAL SERVICES,414090,414090,5.48M,5.48M,NEW,0.19%
046433207,ATROB,ASTRONICS CORPORATION - CL B,65459,65459,4.97M,4.97M,NEW,0.17%
89422G107,TVTX,TRAVERE THERAPEUTICS INC,1032024,86991,58.63M,4.94M,+9.2%,2.1%
04035M102,ARHS,ARHAUS INC,1576486,586271,13.27M,4.94M,+59.2%,0.47%
89377M109,TMDX,TRANSMEDICS GROUP INC,302074,72748,20.06M,4.83M,+31.7%,0.71%
604749101,MIRM,MIRUM PHARMACEUTICALS INC,289372,38973,33.88M,4.56M,+15.6%,1.2%
589378108,MRCY,MERCURY SYSTEMS INC,412354,36882,50.44M,4.51M,+9.8%,1.8%
09681N106,BOBS,BOBS DISCOUNT FURNITURE,1049648,284903,16.61M,4.51M,+37.3%,0.58%
30069T101,EE,EXCELERATE ENERGY INC,299991,110826,11.4M,4.21M,+58.6%,0.4%
030111207,AMSC,AMERICAN SEMICONDUCTOR CORP,538955,100080,22.37M,4.15M,+22.8%,0.79%
420201105,HAWK,HAWKEYE 360 INC,205363,205363,4.15M,4.15M,NEW,0.15%
046433108,ATRO,ASTRONICS CORP,327295,48136,26.6M,3.91M,+17.2%,0.93%
433313103,HNGE,HINGE HEALTH INC,228197,46431,18.94M,3.85M,+25.5%,0.67%
88162F105,TTI,TETRA TECHNOLOGIES,1970377,329101,22.32M,3.73M,+20.1%,0.78%
697947109,PVLA,PALVELLA THERAPEUTICS INC,129847,24027,19.84M,3.67M,+22.7%,0.7%
811707801,SBCF,SEACOAST BANKING CORPORATION OF FLORIDA,433797,107281,14.42M,3.57M,+32.9%,0.51%
52603A208,HAPN,HAPPEN INC,871131,170500,18.07M,3.54M,+24.3%,0.63%
33748L101,FWRG,FIRST WATCH RESTAURANT GROUP,823954,254536,10.62M,3.28M,+44.7%,0.37%
192576106,COHU,COHU INC,533619,43769,39.44M,3.23M,+8.9%,1.4%
G5509L101,LIVN,LIVANOVA PLC,492868,38539,40.53M,3.17M,+8.5%,1.4%
918284100,VSEC,VSE CORPORATION,209628,13713,47.9M,3.13M,+7%,1.7%
05465C100,AX,AXOS FINANCIAL INC,366712,29972,35.71M,2.92M,+8.9%,1.3%
296013105,EROC,EROCK INC,182249,182249,2.64M,2.64M,NEW,0.09%
44980X109,IPGP,IPG PHOTONICS CORP,210791,18334,24.73M,2.15M,+9.5%,0.87%
92839U206,VC,VISTEON CORP,75500,13530,7.49M,1.34M,+21.8%,0.26%
65487K100,LASR,NLIGHT INC,448422,18650,31.22M,1.3M,+4.3%,1.1%
950810101,WSBC,WESBANCO INC,120647,29749,4.71M,1.16M,+32.7%,0.17%
78435P105,SEZL,SEZZLE INC,6378,6378,1.09M,1.09M,NEW,0.04%
023135106,AMZN,"AMAZON.COM, INC",4504,4504,1.07M,1.07M,NEW,0.04%
221015100,CRVS,CORVUS PHARMACEUTICALS INC,526389,67136,7.86M,1M,+14.6%,0.28%
34520K105,FRBT,FORBRIGHT INC,50000,50000,914.5K,914.5K,NEW,0.03%
68386H103,OPFI,OPPFI INC,91433,91433,907.93K,907.93K,NEW,0.03%
02081G201,ATEC,ALPHATEC HOLDINGS INC,1258086,101260,10.88M,875.9K,+8.8%,0.38%
782011100,RSI,RUSH STREET INTERACTIVE INC,1007943,26042,29.98M,774.49K,+2.7%,1.1%
103002101,BWMN,BOWMAN CONSULTING GROUP LTD,95573,18040,2.79M,526.77K,+23.3%,0.1%
74624M102,P,EVERPURE INC,6454,6454,508.51K,508.51K,NEW,0.02%
87288V101,TSSI,TSS INC,28456,28456,350.01K,350.01K,NEW,0.01%
008073108,AVAV,AEROVIRONMENT INC,114482,2075,18.9M,342.52K,+1.8%,0.66%
457669307,INSM,INSMED INC,11218,2988,1.2M,318.58K,+36.3%,0.04%
204166102,CVLT,COMMVAULT SYSTEMS INC,126126,1893,17.88M,268.29K,+1.5%,0.63%
874054109,TTWO,TAKE TWO INTERACTIVE SOFTWARE,3587,904,896.68K,225.98K,+33.7%,0.03%
855244109,SBUX,STARBUCKS CORP,5925,2112,605.48K,215.83K,+55.4%,0.02%
Y95308105,WVE,WAVE LIFE SCIENCES LTD,847999,33470,4.93M,194.46K,+4.1%,0.17%
04206A101,ARLO,ARLO TECHNOLOGIES,1270713,14424,17.13M,194.44K,+1.1%,0.6%
63947X101,NCNO,NCINO INC,7612,7612,124.46K,124.46K,NEW,<.01%
19240Q201,COGT,COGENT BIOSCIENCES INC,1031378,2546,39.91M,98.53K,+0.2%,1.4%
576323109,MTZ,MASTEC INC,1853,150,770.96K,62.41K,+8.8%,0.03%
09062X103,BIIB,BIOGEN IDEC INC,3389,272,732.23K,58.77K,+8.7%,0.03%
11135F101,AVGO,BROADCOM LTD,1675,136,632.73K,51.37K,+8.8%,0.02%
805111101,SVRA,SAVARA INC,2375999,7330,14.64M,45.15K,+0.3%,0.51%
69753M105,PLMR,PALOMAR HOLDINGS INC,163622,352,20.68M,44.49K,+0.2%,0.73%
60937P106,MDB,MONGODB INC,1591,128,534.42K,43K,+8.7%,0.02%
05605H100,BWXT,BWX TECHNOLOGIES INC,2651,216,516.02K,42.04K,+8.9%,0.02%
