CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
75704L104,RDVT,Red Violet Inc,254250,64042,16.21M,4.08M,+33.7%,2.2%
739128106,POWL,Powell Industries Inc,15000,10000,4.29M,2.86M,+200%,0.58%
G21307106,CINT,CI&T Inc,1000000,475000,3.26M,1.55M,+90.5%,0.44%
92538J106,VERX,Vertex Inc,300000,100000,3.44M,1.15M,+50%,0.47%
08975P108,CMRC,Commerce.com Inc,1060000,360000,3.14M,1.07M,+51.4%,0.43%
90364P105,PATH,UiPath Inc,296280,94000,3.22M,1.02M,+46.5%,0.44%
037833100,AAPL,Apple Inc,24500,2200,7.08M,636K,+9.9%,0.96%
55380K109,MPTI,M-Tron Industries Inc,58500,3500,5.79M,346.39K,+6.4%,0.79%
02079K305,GOOGL,Alphabet Inc,44100,0,15.75M,0,NO CHANGE,2.1%
023135106,AMZN,Amazon.com Inc,49400,0,11.77M,0,NO CHANGE,1.6%
594918104,MSFT,Microsoft Corp,25800,0,9.62M,0,NO CHANGE,1.3%
880770102,TER,Teradyne Inc,15000,0,7.25M,0,NO CHANGE,0.98%
67000B104,NOVT,Novanta Inc,28780,0,4.67M,0,NO CHANGE,0.63%
M81865111,RDCM,RADCOM Ltd,325000,0,4.57M,0,NO CHANGE,0.62%
353469109,FC,Franklin Covey Co,175000,0,4.29M,0,NO CHANGE,0.58%
019330109,ALNT,Allient Inc,40000,0,4.11M,0,NO CHANGE,0.56%
42222N103,HSTM,HealthStream Inc,150000,0,4.08M,0,NO CHANGE,0.55%
78463M107,SPSC,SPS Commerce Inc,70000,0,4M,0,NO CHANGE,0.54%
M84137104,SMWB,SimilarWeb Ltd,645465,0,3.96M,0,NO CHANGE,0.54%
829214105,SLP,Simulations Plus Inc,200000,0,3.66M,0,NO CHANGE,0.5%
19239V302,CCOI,Cogent Communications Holdings Inc,242600,0,3.36M,0,NO CHANGE,0.46%
042735100,ARW,Arrow Electronics Inc,15200,0,3.24M,0,NO CHANGE,0.44%
040413205,ANET,Arista Networks Inc,18700,0,3.18M,0,NO CHANGE,0.43%
053807103,AVT,Avnet Inc,33000,0,2.93M,0,NO CHANGE,0.4%
683416101,OOMA,Ooma Inc,150000,0,2.88M,0,NO CHANGE,0.39%
00486H105,ADTN,ADTRAN Holdings Inc,200000,0,2.78M,0,NO CHANGE,0.38%
10576N102,BRZE,Braze Inc,125000,0,2.71M,0,NO CHANGE,0.37%
458140100,INTC,Intel Corp,19000,0,2.65M,0,NO CHANGE,0.36%
98980L101,ZM,Zoom Communications Inc,25910,0,2.24M,0,NO CHANGE,0.3%
268150109,DT,Dynatrace Inc,50000,0,2.19M,0,NO CHANGE,0.3%
87876P201,TGEN,Tecogen Inc/Waltham MA,420000,0,2.19M,0,NO CHANGE,0.3%
M9607U115,VLN,Valens Semiconductor Ltd,950000,0,2.15M,0,NO CHANGE,0.29%
358054104,FRSH,Freshworks Inc,190000,0,1.92M,0,NO CHANGE,0.26%
077347201,BELFA,Bel Fuse Inc,5000,0,1.45M,0,NO CHANGE,0.2%
882508104,TXN,Texas Instruments Inc,4100,0,1.22M,0,NO CHANGE,0.17%
162825103,CHECK,Check Point Software Technologies Ltd,9200,0,1.21M,0,NO CHANGE,0.16%
50155Q100,KD,Kyndryl Holdings Inc,80000,0,904.8K,0,NO CHANGE,0.12%
514051013,CRGO,Freightos Ltd,500000,0,735K,0,NO CHANGE,0.1%
55380K133,MPTI,M-Tron Industries Inc,0,-55000,0,-115.5K,CLOSE,0%
338307101,FIVN,Five9 Inc,354500,-7500,7.55M,-159.82K,-2.1%,1%
762544104,RBBN,Ribbon Communications Inc,0,-100000,0,-212K,CLOSE,0%
05453N100,AWRE,Aware Inc/MA,234058,-195942,311.3K,-260.6K,-45.6%,0.04%
62878D100,NABL,N-Able Inc,0,-63000,0,-294.21K,CLOSE,0%
25400W102,APPS,Digital Turbine Inc,550329,-37500,7.09M,-483.38K,-6.4%,0.96%
294268107,PLUS,ePlus Inc,67500,-7500,5.61M,-623.48K,-10%,0.76%
31846B108,FA,First Advantage Corp,312500,-37500,5.64M,-676.5K,-10.7%,0.76%
59064R109,MLAB,Mesa Laboratories Inc,42500,-7500,4.23M,-745.73K,-15%,0.57%
36872P103,GNSS,Genasys Inc,0,-419370,0,-763.25K,CLOSE,0%
74758T303,QLYS,Qualys Inc,47500,-7500,6.52M,-1.03M,-13.6%,0.88%
007903107,AMD,Advanced Micro Devices Inc,18820,-1900,10.92M,-1.1M,-9.2%,1.5%
M84116108,SILC,Silicom Ltd,95800,-27500,4.52M,-1.3M,-22.3%,0.61%
848560306,SPIR,Spire Global Inc,253000,-87000,4.69M,-1.61M,-25.6%,0.64%
946760105,CLMB,Climb Global Solutions Inc,221836,-75000,5.13M,-1.73M,-25.3%,0.7%
126501105,CTS,CTS Corp,72500,-27500,4.73M,-1.79M,-27.5%,0.64%
01644J108,ALKT,Alkami Technology Inc,400000,-100000,7.24M,-1.81M,-20%,0.98%
