CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
60855R100,MOH,MOLINA HEALTHCARE INC,2511490,2511490,574.38M,574.38M,NEW,12.4%
146869102,CVNA,CARVANA CO,9283819,6735742,611.06M,443.35M,+264.3%,13.2%
75281A109,RRC,RANGE RES CORP,11045066,3851347,410.77M,143.23M,+53.5%,8.8%
867866105,SSMR,SUNSHINE SILVER MNG & REFNG,2000000,2000000,26.44M,26.44M,NEW,0.57%
N97284108,NBIS,NEBIUS GROUP N.V.,205661,76716,56.8M,21.19M,+59.5%,1.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,308743,31516,147.45M,15.05M,+11.4%,3.2%
31556C106,FRVO,FERVO ENERGY CO,502584,502584,14.69M,14.69M,NEW,0.32%
66987E305,NG,NOVAGOLD RESOURCES INC,1900000,1900000,11.34M,11.34M,NEW,0.24%
67066G104,NVDA,NVIDIA CORPORATION,667710,53353,133.6M,10.68M,+8.7%,2.9%
29390K102,NVRI,ENVIRI CORP,212657,212657,4.67M,4.67M,NEW,0.1%
G5279N105,KLAR,KLARNA GROUP PLC,188675,188675,3.82M,3.82M,NEW,0.08%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,46061363,0,455.79M,0,NO CHANGE,9.8%
88023B103,TEM,TEMPUS AI INC,1415766,0,82.02M,0,NO CHANGE,1.8%
18915M107,NET,CLOUDFLARE INC,300023,0,73.59M,0,NO CHANGE,1.6%
051774107,AUR,AURORA INNOVATION INC,9722567,0,66.31M,0,NO CHANGE,1.4%
60770K107,MRNA,MODERNA INC,763907,0,53.5M,0,NO CHANGE,1.2%
58733R102,MELI,MERCADOLIBRE INC,24040,0,40.81M,0,NO CHANGE,0.88%
88160R101,TSLA,TESLA INC,70039,0,29.46M,0,NO CHANGE,0.63%
26603R106,DUOL,DUOLINGO INC,40045,0,4.61M,0,NO CHANGE,0.1%
413216300,HMY,HARMONY GOLD MNG LTD,161787,0,2.46M,0,NO CHANGE,0.05%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-17100,0,-2.15M,CLOSE,0%
09581B103,OWL,BLUE OWL CAPITAL INC,0,-239234,0,-2.18M,CLOSE,0%
48251W104,KKR,KKR & CO INC,0,-26624,0,-2.46M,CLOSE,0%
77311W101,RKT,ROCKET COS INC,0,-178219,0,-2.54M,CLOSE,0%
82575P107,SBSW,SIBANYE STILLWATER LTD,19075936,-500000,161.95M,-4.25M,-2.6%,3.5%
594918104,MSFT,MICROSOFT CORP,0,-12517,0,-4.63M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-42410,0,-8.83M,CLOSE,0%
732908108,PONY,PONY AI INC,1817066,-1507002,12.63M,-10.47M,-45.3%,0.27%
G65163100,JOBY,JOBY AVIATION INC,2405253,-1337965,21.45M,-11.93M,-35.7%,0.46%
00187Y100,APG,API GROUP CORP,0,-307200,0,-12.45M,CLOSE,0%
75629V104,RXRX,RECURSION PHARMACEUTICALS IN,2206661,-3675077,8.1M,-13.49M,-62.5%,0.17%
66987E206,NG,NOVAGOLD RESOURCES INC,31531500,-5310513,188.24M,-31.7M,-14.4%,4.1%
46120E602,ISRG,INTUITIVE SURGICAL INC,49717,-81805,19.77M,-32.53M,-62.2%,0.43%
91822M502,VEON,VEON LTD,5265123,-776938,274.89M,-40.56M,-12.9%,5.9%
81762P102,NOW,SERVICENOW INC,0,-389886,0,-40.76M,CLOSE,0%
806857108,SLB,SLB LIMITED,4391097,-1015470,205.74M,-47.58M,-18.8%,4.4%
32076V103,AG,FIRST MAJESTIC SILVER CORP,5334603,-4681452,90.47M,-79.4M,-46.7%,1.9%
G9460G101,VAL,VALARIS LTD,2411493,-1295373,175.07M,-94.04M,-34.9%,3.8%
92189F791,GDXJ,VANECK ETF TRUST,0,-1990572,0,-238.95M,CLOSE,0%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,20205943,-7564914,684.58M,-256.3M,-27.2%,14.7%
Total,,,,,4.65B,331.61M,+6.6%,100%
