CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
72703X106,PL,Planet Labs PBC,398000,293000,13.19M,9.71M,+279%,2.6%
773121108,RKLB,Rocket Lab Corporation,645000,27000,65.56M,2.74M,+4.4%,12.9%
00217D100,ASTS,AST Spacemobile Inc,816500,26000,72.55M,2.31M,+3.3%,14.2%
67079K100,SMR,NuScale Power Corporation,680000,116900,6.82M,1.17M,+20.8%,1.3%
67000B104,NOVT,Novanta Inc,6600,6600,1.07M,1.07M,NEW,0.21%
87151X101,SYM,Symbotic Inc,50000,10000,2.25M,449.5K,+25%,0.44%
67066G104,NVDA,NVIDIA Corporation,562000,0,112.45M,0,NO CHANGE,22.1%
007903107,AMD,Advanced Micro Devices Inc,125300,0,72.79M,0,NO CHANGE,14.3%
22788C105,CRWD,CrowdStrike Holdings Inc,51000,0,38.92M,0,NO CHANGE,7.6%
037833100,AAPL,Apple Inc,80900,0,23.41M,0,NO CHANGE,4.6%
L8681T102,SPOT,Spotify Technology SA,40100,0,18.41M,0,NO CHANGE,3.6%
023135106,AMZN,Amazon Com Inc,70800,0,16.87M,0,NO CHANGE,3.3%
88160R101,TSLA,Tesla Inc,32000,0,13.46M,0,NO CHANGE,2.6%
594918104,MSFT,Microsoft Corp,33200,0,12.38M,0,NO CHANGE,2.4%
389637109,GBTC,Grayscale Bitcoin Trust ETF,107700,0,4.9M,0,NO CHANGE,0.96%
15643U104,LEU,Centrus Energy Corp,14000,0,2.35M,0,NO CHANGE,0.46%
292671708,UUUU,Energy Fuels Inc,110000,0,1.59M,0,NO CHANGE,0.31%
389930207,BTC,Grayscale Bitcoin Mini Trust ETF,21540,0,558.96K,0,NO CHANGE,0.11%
05605H100,BWXT,Bwx Technologies Inc,2500,0,486.62K,0,NO CHANGE,0.1%
765504105,RR,Richtech Robotics Inc,20000,0,42.2K,0,NO CHANGE,<.01%
81762P102,NOW,ServiceNow Inc,0,-25000,0,-2.61M,CLOSE,0%
46125A100,LUNR,Intuitive Machines Inc,50000,-190000,1.07M,-4.06M,-79.2%,0.21%
573874104,MRVL,Marvell Technology Inc,96700,-70300,28.81M,-20.94M,-42.1%,5.6%
Total,,,,,509.95M,-10.16M,-2.7%,100%
