CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
739128106,POWL,POWELL INDS INC,6835,4550,1.96M,1.3M,+199.1%,0.99%
77926X320,DRAM,ROUNDHILL ETF TRUST,14380,14380,1.06M,1.06M,NEW,0.54%
M5425M103,INMD,INMODE LTD,91500,65500,1.34M,957.61K,+251.9%,0.68%
00724F101,ADBE,ADOBE INC,3200,3200,656.06K,656.06K,NEW,0.33%
500767306,KWEB,KRANESHARES TRUST,23700,23700,579.94K,579.94K,NEW,0.29%
205887102,CAG,CONAGRA BRANDS INC,76200,42200,1.03M,568.01K,+124.1%,0.52%
46625H100,JPM,JPMORGAN CHASE & CO,1647,1647,539.17K,539.17K,NEW,0.27%
91913Y100,VLO,VALERO ENERGY CORP,2040,2040,531.3K,531.3K,NEW,0.27%
550021109,LULU,LULULEMON ATHLETICA INC,4650,4650,530.94K,530.94K,NEW,0.27%
531914109,LWAY,LIFEWAY FOODS INC,16000,16000,477.44K,477.44K,NEW,0.24%
500754106,KHC,KRAFT HEINZ CO,19400,19400,458.23K,458.23K,NEW,0.23%
48242W106,KBR,KBR INC,13000,13000,448.89K,448.89K,NEW,0.23%
464287200,IVV,ISHARES TR,498,498,372.89K,372.89K,NEW,0.19%
642045108,AESI,ATLAS ENERGY SOLUTIONS INC,102000,22000,1.69M,365.42K,+27.5%,0.86%
192108504,CDE,COEUR MNG INC,182709,18200,2.98M,297.02K,+11.1%,1.5%
922908363,VOO,VANGUARD INDEX FDS,406,406,278.85K,278.85K,NEW,0.14%
34379V103,FLNC,FLUENCE ENERGY INC,11800,11800,234.58K,234.58K,NEW,0.12%
11135F101,AVGO,BROADCOM INC,615,615,232.32K,232.32K,NEW,0.12%
05464C101,AXON,AXON ENTERPRISE INC,410,410,229.85K,229.85K,NEW,0.12%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,449,449,224.68K,224.68K,NEW,0.11%
403949100,DINO,HF SINCLAIR CORP,3200,3200,222.88K,222.88K,NEW,0.11%
N4732M103,JBS,JBS N.V.,191130,14500,2.26M,171.83K,+8.2%,1.1%
422704106,HL,HECLA MINING COMPANY,416180,7500,6.42M,115.72K,+1.8%,3.2%
697900108,PAAS,PAN AMERN SILVER CORP,133150,2300,5.96M,103.02K,+1.8%,3%
984245100,YPF,YPF SOCIEDAD ANONIMA,22000,2000,1M,90.94K,+10%,0.51%
533535100,LINC,LINCOLN EDL SVCS CORP,30290,1750,1.51M,87.33K,+6.1%,0.76%
00123Q104,AGNC,AGNC INVT CORP,94592,6000,1.03M,65.4K,+6.8%,0.52%
01609W102,BABA,ALIBABA GROUP HLDG LTD,5832,680,559.75K,65.27K,+13.2%,0.28%
008474108,AEM,AGNICO EAGLE MINES LTD,73769,390,11.44M,60.5K,+0.5%,5.8%
011532108,AGI,ALAMOS GOLD INC,73530,1800,2.23M,54.61K,+2.5%,1.1%
02079K107,GOOG,ALPHABET INC,13444,150,4.75M,53K,+1.1%,2.4%
42226A107,HQY,HEALTHEQUITY INC,7520,500,679.21K,45.16K,+7.1%,0.34%
N00985106,AER,AERCAP HOLDINGS NV,14450,270,2.11M,39.36K,+1.9%,1.1%
25461H572,SOXS,DIREXION SHARES ETF TRUST,11000,11000,35.64K,35.64K,NEW,0.02%
902494103,TSN,TYSON FOODS INC,7320,500,419.07K,28.62K,+7.3%,0.21%
G51502105,JCI,JOHNSON CONTROLS INTERNATION,2951,150,431.17K,21.92K,+5.4%,0.22%
30231G102,XOM,EXXON MOBIL CORP,75636,148,10.34M,20.23K,+0.2%,5.2%
620076307,MSI,MOTOROLA SOLUTIONS INC,1630,40,676.92K,16.61K,+2.5%,0.34%
68236H204,ONDS,ONDAS INC,21473,2000,176.94K,16.48K,+10.3%,0.09%
136385101,CNQ,CANADIAN NAT RES LTD MED TER,39380,400,1.56M,15.8K,+1%,0.79%
07725L102,ONC,BEONE MEDICINES LTD,1400,50,398.96K,14.25K,+3.7%,0.2%
056752108,BIDU,BAIDU INC,8225,100,940.03K,11.43K,+1.2%,0.48%
83671M105,SOBO,SOUTH BOW CORP,33920,300,1.2M,10.57K,+0.9%,0.6%
20337X109,VISN,VISTANCE NETWORKS INC,90100,600,1.15M,7.67K,+0.7%,0.58%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,36300,200,1.23M,6.78K,+0.6%,0.62%
00287Y109,ABBV,ABBVIE INC,2432,7,611.94K,1.76K,+0.3%,0.31%
060505104,BAC,BANK OF AMER CORP,6338,28,361.14K,1.6K,+0.4%,0.18%
718172109,PM,PHILIP MORRIS INTL INC,2589,4,468.44K,723.73,+0.2%,0.24%
67066G104,NVDA,NVIDIA CORPORATION,5074,3,1.02M,600.26,+0.1%,0.51%
478160104,JNJ,JOHNSON & JOHNSON,3301,2,838.36K,507.94,+0.1%,0.42%
166764100,CVX,CHEVRON CORPORATION,1488,3,246.59K,497.16,+0.2%,0.12%
75513E101,RTX,RTX CORPORATION,4828,2,916.02K,379.46,+0%,0.46%
369604301,GE,GE AEROSPACE,1267,1,473.65K,373.84,+0.1%,0.24%
66987V109,NVS,NOVARTIS AG,5769,2,904.12K,313.44,+0%,0.46%
58933Y105,MRK,MERCK & CO INC,5299,2,680.93K,257,+0%,0.34%
H11356104,BG,BUNGE GLOBAL SA,10343,2,1.1M,213.47,+0%,0.56%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,7480,0,7.22M,0,NO CHANGE,3.7%
969457100,WMB,WILLIAMS COS INC,49750,0,3.7M,0,NO CHANGE,1.9%
466313103,JBL,JABIL INC,9130,0,3.52M,0,NO CHANGE,1.8%
02079K305,GOOGL,ALPHABET INC,9489,0,3.39M,0,NO CHANGE,1.7%
38141G104,GS,GOLDMAN SACHS GROUP INC,2719,0,2.75M,0,NO CHANGE,1.4%
09260D107,BX,BLACKSTONE INC,20003,0,2.35M,0,NO CHANGE,1.2%
879360105,TDY,TELEDYNE TECHNOLOGIES INC,3316,0,2.21M,0,NO CHANGE,1.1%
023135106,AMZN,AMAZON COM INC,8187,0,1.95M,0,NO CHANGE,0.99%
300426103,ECG,EVERUS CONSTR GROUP,9850,0,1.63M,0,NO CHANGE,0.83%
532457108,LLY,ELI LILLY & CO,1197,0,1.44M,0,NO CHANGE,0.73%
767204100,RIO,RIO TINTO PLC,15020,0,1.43M,0,NO CHANGE,0.72%
464288281,EMB,ISHARES TR,13251,0,1.28M,0,NO CHANGE,0.65%
03957W106,AROC,ARCHROCK INC,30000,0,1.22M,0,NO CHANGE,0.62%
697435105,PANW,PALO ALTO NETWORKS INC,3344,0,1.14M,0,NO CHANGE,0.58%
48251W104,KKR,KKR & CO INC,10800,0,991.22K,0,NO CHANGE,0.5%
126650100,CVS,CVS HEALTH CORP,9175,0,949.15K,0,NO CHANGE,0.48%
