CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
146869102,CVNA,CARVANA CO,755616,608956,49.73M,40.08M,+415.2%,15%
595112103,MU,MICRON TECHNOLOGY INC,24245,24245,27.99M,27.99M,NEW,8.4%
N07059210,ASML,ASML HLDG NV,10837,10837,21.56M,21.56M,NEW,6.5%
N97284108,NBIS,NEBIUS GROUP N.V.,50710,50710,14M,14M,NEW,4.2%
093712107,BE,BLOOM ENERGY CORP,27455,27455,8.31M,8.31M,NEW,2.5%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,47665,47665,8.14M,8.14M,NEW,2.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MANUFAC,33145,5160,15.83M,2.46M,+18.4%,4.8%
02079K107,GOOG,ALPHABET INC,32100,0,11.34M,0,NO CHANGE,3.4%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,45315,-11585,5.29M,-1.35M,-20.4%,1.6%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,0,-81185,0,-3.03M,CLOSE,0%
00827B106,AFRM,AFFIRM HLDGS INC,98730,-46085,8.05M,-3.76M,-31.8%,2.4%
771049103,RBLX,ROBLOX CORP,0,-84710,0,-4.79M,CLOSE,0%
25809K105,DASH,DOORDASH INC,126525,-26315,23.35M,-4.86M,-17.2%,7%
44812J104,HUT,HUT 8 CORP,388290,-44190,44.83M,-5.1M,-10.2%,13.5%
03831W108,APP,APPLOVIN CORP,75290,-14160,38.79M,-7.3M,-15.8%,11.7%
770700102,HOOD,ROBINHOOD MKTS INC,551495,-97600,55.3M,-9.79M,-15%,16.6%
82509L107,SHOP,SHOPIFY INC,0,-128559,0,-15.25M,CLOSE,0%
Total,,,,,332.52M,67.33M,+29.7%,100%
