CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
68389X105,ORCL,ORACLE CORP,186831,186831,27.38M,27.38M,NEW,26.6%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,75712,75712,12.94M,12.94M,NEW,12.5%
01609W102,BABA,ALIBABA GROUP HLDG LTD,212815,63996,20.43M,6.14M,+43%,19.8%
67066G104,NVDA,NVIDIA CORPORATION,75411,20928,15.09M,4.19M,+38.4%,14.6%
74347Y730,VIXY,PROSHARES TR II,195325,106595,4.16M,2.27M,+120.1%,4%
722304102,PDD,PDD HOLDINGS INC,9973,9973,760.74K,760.74K,NEW,0.74%
775133101,ROG,ROGERS CORP,53563,0,8.77M,0,NO CHANGE,8.5%
48553T106,BZ,KANZHUN LIMITED,296444,0,3.82M,0,NO CHANGE,3.7%
86800UAB0,SMCI,SUPER MICRO COMPUTER INC,1000000,0,926.26K,0,NO CHANGE,0.9%
482497104,BEKE,KE HLDGS INC,0,-54,0,-808,CLOSE,0%
031652100,AMKR,AMKOR TECHNOLOGY INC,0,-39326,0,-1.77M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-13061,0,-4.04M,CLOSE,0%
19247G107,COHR,COHERENT CORP,0,-26400,0,-6.29M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,0,-10700,0,-7.52M,CLOSE,0%
47215PAJ5,JD,JD.COM INC,9000000,-12000000,8.85M,-11.8M,-57.1%,8.6%
01609WBG6,BABA,ALIBABA GROUP HLDG LTD,0,-12440000,0,-16.91M,CLOSE,0%
747525103,QCOM,QUALCOMM INC,0,-140886,0,-18.14M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-91478,0,-30.9M,CLOSE,0%
Total,,,,,103.11M,-43.7M,-29.5%,100%
