CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
60770K107,MRNA,MODERNA INC,53140,53140,3.72M,3.72M,NEW,1.1%
464287457,SHY,ISHARES TR,82750,43700,6.79M,3.59M,+111.9%,2%
84615Q103,SPCX,SPACE EXPLORATION TECHN CORP,12040,12040,2.06M,2.06M,NEW,0.6%
042068205,ARM,ARM HOLDINGS PLC,28860,3725,10.23M,1.32M,+14.8%,3%
76155X100,RVMD,REVOLUTION MEDICINES INC,3515,3515,658.29K,658.29K,NEW,0.19%
464287556,IBB,ISHARES TR,6600,1500,1.26M,285.29K,+29.4%,0.36%
02156V109,OKLO,OKLO INC,97240,4050,5.09M,211.94K,+4.3%,1.5%
30212P303,EXPE,EXPEDIA GROUP INC,800,800,204.7K,204.7K,NEW,0.06%
74347R206,QLD,PROSHARES TR,217975,1245,21.09M,120.47K,+0.6%,6.1%
G65163100,JOBY,JOBY AVIATION INC,40800,11650,363.94K,103.92K,+40%,0.11%
922908363,VOO,VANGUARD INDEX FDS,620,114,425.82K,78.3K,+22.5%,0.12%
023135106,AMZN,AMAZON COM INC,28837,301,6.87M,71.74K,+1.1%,2%
478160104,JNJ,JOHNSON & JOHNSON,1397,43,354.8K,10.92K,+3.2%,0.1%
02079K107,GOOG,ALPHABET INC,5889,12,2.08M,4.24K,+0.2%,0.6%
29273V100,ET,ENERGY TRANSFER L P,15546,46,297.24K,879.52,+0.3%,0.09%
25434V401,DFUS,DIMENSIONAL ETF TRUST,7420,0,608K,0,NO CHANGE,0.18%
247361702,DAL,DELTA AIR LINES INC,4750,0,444.88K,0,NO CHANGE,0.13%
31428X106,FDX,FEDEX CORP,775,0,242.68K,0,NO CHANGE,0.07%
22160K105,COST,COSTCO WHOLESALE CORPORATION,220,0,205.8K,0,NO CHANGE,0.06%
532457108,LLY,ELI LILLY & CO,259,-1,311.84K,-1.2K,-0.4%,0.09%
007903107,AMD,ADVANCED MICRO DEVICES INC,12667,-56,7.36M,-32.53K,-0.4%,2.1%
907818108,UNP,UNION PAC CORP,2250,-125,612K,-34K,-5.3%,0.18%
46625H100,JPM,JPMORGAN CHASE & CO,2528,-134,827.49K,-43.86K,-5%,0.24%
38141G104,GS,GOLDMAN SACHS GROUP INC,495,-50,500.63K,-50.57K,-9.2%,0.15%
464287721,IYW,ISHARES TR,5590,-220,1.41M,-55.49K,-3.8%,0.41%
46090E103,QQQ,INVESCO QQQ TR,4907,-78,3.61M,-57.45K,-1.6%,1%
90353T100,UBER,UBER TECHNOLOGIES INC,23467,-883,1.69M,-63.72K,-3.6%,0.49%
254687106,DIS,DISNEY WALT CO,3025,-880,291.16K,-84.7K,-22.5%,0.08%
697435105,PANW,PALO ALTO NETWORKS INC,14000,-300,4.77M,-102.31K,-2.1%,1.4%
78462F103,SPY,STATE STR SPDR S&P 500 ETF T,1191,-140,889.4K,-104.55K,-10.5%,0.26%
09260D107,BX,BLACKSTONE INC,2575,-1000,303K,-117.67K,-28%,0.09%
11135F101,AVGO,BROADCOM INC,44290,-425,16.73M,-160.54K,-1%,4.9%
931142103,WMT,WALMART INC,0,-1728,0,-214.76K,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,73544,-824,26.28M,-294.47K,-1.1%,7.6%
81762P102,NOW,SERVICENOW INC,0,-3425,0,-358.08K,CLOSE,0%
92189F676,SMH,VANECK ETF TRUST,13425,-600,8.81M,-393.53K,-4.3%,2.6%
68389X105,ORCL,ORACLE CORP,0,-3025,0,-445.01K,CLOSE,0%
25459W862,SPXL,DIREXION SHARES ETF TRUST,17335,-1875,4.69M,-507.51K,-9.8%,1.4%
037833100,AAPL,APPLE INC,40955,-1796,11.85M,-519.69K,-4.2%,3.4%
594918104,MSFT,MICROSOFT CORP,21778,-2283,8.12M,-851.6K,-9.5%,2.4%
25459W847,TNA,DIREXION SHARES ETF TRUST,13240,-11425,994.46K,-858.14K,-46.3%,0.29%
88160R101,TSLA,TESLA INC,19242,-2068,8.09M,-869.8K,-9.7%,2.3%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,32899,-10180,3.84M,-1.19M,-23.6%,1.1%
67066G104,NVDA,NVIDIA CORPORATION,556854,-6893,111.42M,-1.38M,-1.2%,32.3%
30303M102,META,META PLATFORMS INC,21050,-5713,11.86M,-3.22M,-21.3%,3.4%
25459W458,SOXL,DIREXION SHARES ETF TRUST,175015,-50530,46.68M,-13.48M,-22.4%,13.5%
Total,,,,,344.95M,-13.04M,-5.1%,100%
