"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001536411","Duquesne","Stanley Druckenmiller","Duquesne Family Office LLC","","https://www.duquesnefamily.com/"
"0001037389","Renaissance","Jim Simons","Renaissance Technologies LLC","","https://www.rentec.com/"
"0001421669","3G","Jorge Paulo Lehman","3G Capital Partners LP","","https://www.3g-capital.com/"
"0001540358","a16z","Ben Horowitz","a16z Capital Management, L.L.C.","","https://a16z.com/"
"0002029917","ADAPT","Clément Mary-Dauphin","ADAPT Investment Managers SA","","https://www.adapt-im.ch/"
"0001512073","Aft Forsyth","Larry Aft","Aft, Forsyth & Company, Inc.","","https://aftforsyth.com/"
"0002047606","AG2R","Fabrice Heyriès","AG2R La Mondiale Gestion d'actifs","","https://www.ag2rlamondiale.fr/"
"0001933952","AI-Squared","Darren Kimura","AI-Squared Management Ltd","","https://aisquared.ai/"
"0001230239","Alkeon","Panayotis Sparaggis","Alkeon Capital Management LLC","","https://www.alkeon.com/"
"0001389544","Allen Operations","Herbert Allen III","Allen Operations LLC","","https://www.allenandcompany.net/"
"0002076121","Amanah","Karim Al-Mansour","Amanah Holdings Trust","","https://amanahcapital.uk/"
"0001807559","Amitell","Irene Tedja","Amitell Capital Pte Ltd","","https://www.amitellcapital.com/"
"0001480751","Amova","Stefanie Drews","Amova Asset Management Americas, Inc.","","https://www.amova-sec.com/"
"0001822480","Anabranch","Alexander Shapiro & Daniel Wolf","Anabranch Capital Management, LP","","https://www.anabranchcap.com/"
"0001753384","Analog","Val Zlatev","Analog Century Management LP","","https://www.analogcm.com/"
"0002007642","Anchorage","Yale Baron & Thibault Gournay","Anchorage Capital Advisors, L.P.","","https://anchoragecapital.com/"
"0001426749","Ancient Art","Quincy Lee","Ancient Art, L.P.","","https://ancient.co/"
"0001805591","Andar","Wen Han Li","Andar Capital Management HK Ltd","",""
"0001835730","Ardmore Road","Chris Connor","Ardmore Road Asset Management","","https://www.ardmoreroad.com/"
"0001833078","Arena","Jeremy Sagi","Arena Capital Advisors, LLC- CA","","https://www.arenaca.com/"
"0001916757","ASR","Patrick Klijnsmit","ASR Vermogensbeheer N.V.","","https://www.asr.nl/"
"0001832439","Atmos","Bruno Levacov","Atmos Capital Gestao De Recursos Ltda","","https://www.atmoscapital.com.br/"
"0001777813","Atreides","Gavin Baker","Atreides Management, LP","","https://atreidesmgmt.com/"
